SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
io.restassured.internal.ResponseSpecificationImpl$_body_closure11,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_getUnnamedPathParamValues_closure43,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_getUndefinedPathParamPlaceholders_closure46,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.TestSpecificationImpl,io.rest-assured:rest-assured:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_removeMergedHeadersIfNeeded_closure7$_closure50,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.MapCreator$_createArgumentArrayFromKeyAndValue_closure3,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_noFiltersOfType_closure47,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.ResponseSpecificationImpl$_headers_closure5,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_getMultiPartParams_closure45,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
org.apache.http.client.methods.HttpEntityEnclosingRequestBase,org.apache.httpcomponents:httpclient:4.5.13,org.apache.http.HttpEntityEnclosingRequest,public,org.apache.httpcomponents:httpcore:4.4.13,1
org.eclipse.yasson.internal.Marshaller,org.eclipse:yasson:1.0.6,javax.json.bind.serializer.SerializationContext,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
org.glassfish.json.JsonProviderImpl,org.glassfish:jakarta.json:module,javax.json.spi.JsonProvider,public,jakarta.json:jakarta.json-api:1.1.6,1
io.restassured.internal.support.PathSupport,io.rest-assured:rest-assured:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
org.eclipse.yasson.internal.JsonBindingBuilder,org.eclipse:yasson:1.0.6,javax.json.bind.JsonbBuilder,public,jakarta.json.bind:jakarta.json.bind-api:1.0.2,1
io.restassured.internal.RestAssuredResponseOptionsGroovyImpl,io.rest-assured:rest-assured:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.assertion.BodyMatcherGroup$_leftShift_closure1,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.multipart.MultiPartInternal,io.rest-assured:rest-assured:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.MapCreator$CollisionStrategy,io.rest-assured:rest-assured:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.http.HttpResponseException,io.rest-assured:rest-assured:4.4.0,org.apache.http.client.HttpResponseException,public,org.apache.httpcomponents:httpclient:4.5.13,1
io.restassured.internal.RequestSpecificationImpl$_removeUnnamedPathParam_closure3,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_getPathParams_closure40,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_removeMergedHeadersIfNeeded_closure7,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.MapCreator,io.rest-assured:rest-assured:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.path.json.mapping.JsonPathJsonbObjectDeserializer,io.rest-assured:json-path:4.4.0,groovy.lang.GroovyObject,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.ResponseSpecificationImpl$_contentType_closure13,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.ResponseSpecificationImpl$_contentType_closure12,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.ResponseSpecificationImpl$_body_closure1$_closure16,io.rest-assured:rest-assured:4.4.0,groovy.lang.Closure,public,org.codehaus.groovy:groovy:3.0.8,1
io.restassured.internal.RequestSpecificationImpl$_partiallyApplyPathParams_closure36,io.rest-assured:rest-assured:4.4.0,org.codehaus.groovy.runtime.GeneratedClosure,public,org.codehaus.groovy:groovy:3.0.8,1
