Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
io.searchbox:jest-common:6.3.1	io.searchbox.core.SearchResultTest$TestObject::id	io.searchbox.core.SearchResultTest$TestObject	io.searchbox.core.SearchResultTest$TestObject	java.lang.String	FALSE	private	unknownLib	TRUE	6
io.searchbox:jest-common:6.3.1	io.searchbox.core.SearchResultTest$TestObject::version	io.searchbox.core.SearchResultTest$TestObject	io.searchbox.core.SearchResultTest$TestObject	java.lang.Long	FALSE	private	unknownLib	TRUE	6
com.google.code.gson:gson:2.8.0	io.searchbox.client.JestResultTest$Twitter::user	io.searchbox.client.JestResultTest$Twitter	io.searchbox.client.JestResultTest$Twitter	java.lang.String	FALSE	default	unknownLib	TRUE	5
org.slf4j:slf4j-log4j12:1.7.25	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	6
org.slf4j:slf4j-log4j12:1.7.25	org.apache.log4j.Level::ERROR	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	10
com.google.code.gson:gson:2.8.0	io.searchbox.client.JestResultTest$SimpleComment::message	io.searchbox.client.JestResultTest$SimpleComment	io.searchbox.client.JestResultTest$SimpleComment	java.lang.String	FALSE	default	unknownLib	TRUE	1
com.google.code.gson:gson:2.8.0	io.searchbox.client.JestResultTest$Twitter::postDate	io.searchbox.client.JestResultTest$Twitter	io.searchbox.client.JestResultTest$Twitter	java.lang.String	FALSE	default	unknownLib	TRUE	5
io.searchbox:jest-common:6.3.1	io.searchbox.client.JestResultTest$Comment::someIdName	io.searchbox.client.JestResultTest$Base	io.searchbox.client.JestResultTest$Comment	java.lang.Long	FALSE	default	unknownLib	TRUE	1
io.searchbox:jest-common:6.3.1	io.searchbox.client.JestResultTest$SimpleComment::someIdName	io.searchbox.client.JestResultTest$SimpleComment	io.searchbox.client.JestResultTest$SimpleComment	java.lang.Long	FALSE	default	unknownLib	TRUE	2
io.searchbox:jest-common:6.3.1	com.google.gson.JsonNull::INSTANCE	com.google.gson.JsonNull	com.google.gson.JsonNull	com.google.gson.JsonNull	TRUE	public	com.google.code.gson:gson:2.8.0	FALSE	2
com.google.code.gson:gson:2.8.0	io.searchbox.client.JestResultTest$Comment::someIdName	io.searchbox.client.JestResultTest$Base	io.searchbox.client.JestResultTest$Comment	java.lang.Long	FALSE	default	unknownLib	TRUE	1
org.slf4j:slf4j-log4j12:1.7.25	org.apache.log4j.Level::WARN	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	10
org.slf4j:slf4j-log4j12:1.7.25	org.apache.log4j.Level::TRACE	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	7
org.slf4j:slf4j-api:1.7.25	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	TRUE	public	org.slf4j:slf4j-log4j12:1.7.25	FALSE	1
org.slf4j:slf4j-log4j12:1.7.25	org.apache.log4j.Level::DEBUG	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	12
com.google.code.gson:gson:2.8.0	io.searchbox.client.JestResultTest$Twitter::message	io.searchbox.client.JestResultTest$Twitter	io.searchbox.client.JestResultTest$Twitter	java.lang.String	FALSE	default	unknownLib	TRUE	5
com.google.code.gson:gson:2.8.0	io.searchbox.client.JestResultTest$Comment::message	io.searchbox.client.JestResultTest$Comment	io.searchbox.client.JestResultTest$Comment	java.lang.String	FALSE	default	unknownLib	TRUE	1
io.searchbox:jest-common:6.3.1	io.searchbox.action.AbstractActionTest$Source::email	io.searchbox.action.AbstractActionTest$Source	io.searchbox.action.AbstractActionTest$Source	java.lang.String	FALSE	default	unknownLib	TRUE	2
