Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
io.searchbox.client.JestResult::setJsonMap(Ljava/util/Map;)V	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonElement::getAsJsonObject()Lcom/google/gson/JsonObject;	com.google.code.gson:gson:2.8.0	com.google.gson.JsonObject::getAsJsonObject()Lcom/google/gson/JsonObject;	com.google.code.gson:gson:2.8.0	36	false	false	
org.slf4j.impl.Log4jLoggerAdapter::info(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.slf4j:slf4j-log4j12:1.7.25	public	org.apache.log4j.Logger::isInfoEnabled()Z	log4j:log4j:1.2.17	org.apache.log4j.Logger::isInfoEnabled()Z	log4j:log4j:1.2.17	3	false	false	
io.searchbox.client.config.discovery.NodeChecker::runOneIteration()V	io.searchbox:jest-common:6.3.1	public	org.slf4j.Logger::isDebugEnabled()Z	org.slf4j:slf4j-api:1.7.25	org.slf4j.impl.Log4jLoggerAdapter::isDebugEnabled()Z	org.slf4j:slf4j-log4j12:1.7.25	8	false	false	
io.searchbox.client.config.discovery.NodeChecker::runOneIteration()V	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonObject::has(Ljava/lang/String;)Z	com.google.code.gson:gson:2.8.0	com.google.gson.JsonObject::has(Ljava/lang/String;)Z	com.google.code.gson:gson:2.8.0	20	false	false	
io.searchbox.core.BulkResult$BulkResultItem::BulkResult$BulkResultItem(Lio/searchbox/core/BulkResult;Ljava/lang/String;Lcom/google/gson/JsonObject;)V	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonElement::isJsonObject()Z	com.google.code.gson:gson:2.8.0	com.google.gson.JsonObject::isJsonObject()Z	com.google.code.gson:gson:2.8.0	5	false	false	
io.searchbox.client.JestResult::extractSource(Z)Ljava/util/List;	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonElement::isJsonObject()Z	com.google.code.gson:gson:2.8.0	com.google.gson.JsonArray::isJsonObject()Z	com.google.code.gson:gson:2.8.0	13	false	false	
io.searchbox.cloning.CloneUtils::deepCloneObject(Lcom/google/gson/JsonElement;)Lcom/google/gson/JsonElement;	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonObject::add(Ljava/lang/String;Lcom/google/gson/JsonElement;)V	com.google.code.gson:gson:2.8.0	com.google.gson.JsonObject::add(Ljava/lang/String;Lcom/google/gson/JsonElement;)V	com.google.code.gson:gson:2.8.0	95	false	false	
io.searchbox.core.BulkResult::getFailedItems()Ljava/util/List;	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonElement::getAsJsonObject()Lcom/google/gson/JsonObject;	com.google.code.gson:gson:2.8.0	com.google.gson.JsonObject::getAsJsonObject()Lcom/google/gson/JsonObject;	com.google.code.gson:gson:2.8.0	6	false	false	
io.searchbox.core.MultiGet::docsToMaps(Ljava/util/List;)Ljava/lang/Object;	io.searchbox:jest-common:6.3.1	public	com.google.common.collect.Lists::transform(Ljava/util/List;Lcom/google/common/base/Function;)Ljava/util/List;	com.google.guava:guava:21.0	com.google.common.collect.Lists::transform(Ljava/util/List;Lcom/google/common/base/Function;)Ljava/util/List;	com.google.guava:guava:21.0	5	false	false	
io.searchbox.indices.aliases.GetAliases$Builder::getJoinedAliases()Ljava/lang/String;	io.searchbox:jest-common:6.3.1	public	com.google.common.base.Joiner::join(Ljava/lang/Iterable;)Ljava/lang/String;	com.google.guava:guava:21.0	com.google.common.base.Joiner::join(Ljava/lang/Iterable;)Ljava/lang/String;	com.google.guava:guava:21.0	2	false	false	
io.searchbox.core.search.aggregation.TermsAggregation::parseBuckets(Lcom/google/gson/JsonArray;)V	io.searchbox:jest-common:6.3.1	public	com.google.gson.JsonArray::iterator()Ljava/util/Iterator;	com.google.code.gson:gson:2.8.0	com.google.gson.JsonArray::iterator()Ljava/util/Iterator;	com.google.code.gson:gson:2.8.0	3	false	false	
