Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.google.gson.internal.UnsafeAllocator::create()Lcom/google/gson/internal/UnsafeAllocator;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	private	sun.misc.Unsafe::theUnsafe	sun.misc.Unsafe	unknownLib
io.searchbox.client.JestResult::setAnnotatedField(Ljava/lang/Object;Lcom/google/gson/JsonElement;Ljava/lang/reflect/Field;Ljava/lang/String;)Z	io.searchbox:jest-common:6.3.1	java.lang.reflect.Field	private	io.searchbox.core.SearchResultTest$TestObject::version	java.lang.Long	unknownLib
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Constructor	public	com.google.gson.internal.LinkedTreeMap::com.google.gson.internal.LinkedTreeMap()V		com.google.code.gson:gson:2.8.0
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Constructor	public	java.util.LinkedList::java.util.LinkedList()V		unknownLib
io.searchbox.action.AbstractAction::getIdFromSource(Ljava/lang/Object;)Ljava/lang/String;	io.searchbox:jest-common:6.3.1	java.lang.reflect.Field	default	io.searchbox.action.AbstractActionTest$Source::email	java.lang.String	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$Twitter::message	java.lang.String	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$SimpleComment::message	java.lang.String	unknownLib
io.searchbox.client.JestResult::setAnnotatedField(Ljava/lang/Object;Lcom/google/gson/JsonElement;Ljava/lang/reflect/Field;Ljava/lang/String;)Z	io.searchbox:jest-common:6.3.1	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$Base::someIdName	java.lang.Long	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	private	io.searchbox.core.SearchResultTest$TestObject::version	java.lang.Long	unknownLib
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Constructor	public	java.util.LinkedHashMap::java.util.LinkedHashMap()V		unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	private	io.searchbox.core.SearchResultTest$TestObject::id	java.lang.String	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$Comment::message	java.lang.String	unknownLib
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Constructor	public	java.util.HashMap::java.util.HashMap()V		unknownLib
com.google.gson.internal.ConstructorConstructor::newDefaultConstructor(Ljava/lang/Class;)Lcom/google/gson/internal/ObjectConstructor;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Constructor	public	java.util.ArrayList::java.util.ArrayList()V		unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$Twitter::user	java.lang.String	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$SimpleComment::someIdName	java.lang.Long	unknownLib
io.searchbox.client.JestResult::setAnnotatedField(Ljava/lang/Object;Lcom/google/gson/JsonElement;Ljava/lang/reflect/Field;Ljava/lang/String;)Z	io.searchbox:jest-common:6.3.1	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$SimpleComment::someIdName	java.lang.Long	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$Base::someIdName	java.lang.Long	unknownLib
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory::getBoundFields(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;Ljava/lang/Class;)Ljava/util/Map;	com.google.code.gson:gson:2.8.0	java.lang.reflect.Field	default	io.searchbox.client.JestResultTest$Twitter::postDate	java.lang.String	unknownLib
io.searchbox.client.JestResult::setAnnotatedField(Ljava/lang/Object;Lcom/google/gson/JsonElement;Ljava/lang/reflect/Field;Ljava/lang/String;)Z	io.searchbox:jest-common:6.3.1	java.lang.reflect.Field	private	io.searchbox.core.SearchResultTest$TestObject::id	java.lang.String	unknownLib
