Class Name,Class Visibility,Class Library,Usage,Used In Library
org.apache.http.impl.conn.CPool,default,org.apache.httpcomponents:httpclient:4.5.3,method call,org.apache.httpcomponents:httpcore:4.4.5
org.apache.http.impl.conn.PoolingHttpClientConnectionManager,public,org.apache.httpcomponents:httpclient:4.5.3,instantiation,io.searchbox:jest:6.3.1
org.apache.http.impl.conn.DefaultProxyRoutePlanner,public,org.apache.httpcomponents:httpclient:4.5.3,instantiation,io.searchbox:jest:6.3.1
org.apache.http.nio.pool.AbstractNIOConnPool,public,org.apache.httpcomponents:httpcore-nio:4.4.6,subtyping,org.apache.httpcomponents:httpasyncclient:4.1.3
org.slf4j.ILoggerFactory,public,org.slf4j:slf4j-api:1.7.25,subtyping,org.slf4j:slf4j-log4j12:1.7.25
org.apache.http.impl.DefaultHttpResponseFactory,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpcore-nio:4.4.6
org.apache.http.entity.StringEntity,public,org.apache.httpcomponents:httpcore:4.4.5,instantiation,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.impl.execchain.ResponseEntityProxy,default,org.apache.httpcomponents:httpclient:4.5.3,method call,org.apache.httpcomponents:httpcore:4.4.5
org.apache.http.impl.nio.conn.PoolingNHttpClientConnectionManager,public,org.apache.httpcomponents:httpasyncclient:4.1.3,method call,io.searchbox:jest:6.3.1
org.apache.http.util.CharArrayBuffer,public,org.apache.httpcomponents:httpcore:4.4.5,cast,org.apache.httpcomponents:httpcore-nio:4.4.6
org.apache.http.client.protocol.ResponseContentEncoding,public,org.apache.httpcomponents:httpclient:4.5.3,method call,org.apache.httpcomponents:httpcore:4.4.5
org.apache.http.NoHttpResponseException,public,org.apache.httpcomponents:httpcore:4.4.5,instantiation,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.message.BufferedHeader,public,org.apache.httpcomponents:httpcore:4.4.5,method call,io.searchbox:jest:6.3.1
org.apache.http.message.BufferedHeader,public,org.apache.httpcomponents:httpcore:4.4.5,instantiation,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.params.BasicHttpParams,public,org.apache.httpcomponents:httpcore:4.4.5,instantiation,org.apache.httpcomponents:httpcore-nio:4.4.6
org.apache.http.HttpInetConnection,public,org.apache.httpcomponents:httpcore:4.4.5,subtyping,org.apache.httpcomponents:httpasyncclient:4.1.3
org.apache.http.client.config.RequestConfig,public,org.apache.httpcomponents:httpclient:4.5.3,method call,org.apache.httpcomponents:httpasyncclient:4.1.3
org.apache.http.message.BasicLineParser,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpcore-nio:4.4.6
org.apache.http.util.Args,default,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpclient:4.5.3
org.apache.logging.log4j.util.LoaderUtil,public,org.apache.logging.log4j.util,method call,org.apache.logging.log4j.core.util
org.apache.http.util.TextUtils,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpasyncclient:4.1.3
org.apache.http.client.protocol.HttpClientContext,default,org.apache.httpcomponents:httpclient:4.5.3,method call,org.apache.httpcomponents:httpasyncclient:4.1.3
org.apache.http.impl.client.BasicCredentialsProvider,public,org.apache.httpcomponents:httpclient:4.5.3,instantiation,io.searchbox:jest:6.3.1
org.apache.http.util.Asserts,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpcore-nio:4.4.6
org.apache.http.entity.BasicHttpEntity,public,org.apache.httpcomponents:httpcore:4.4.5,instantiation,org.apache.httpcomponents:httpcore-nio:4.4.6
org.apache.http.message.BasicHeaderElementIterator,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.HttpResponse,public,org.apache.httpcomponents:httpcore:4.4.5,cast,org.apache.httpcomponents:httpasyncclient:4.1.3
org.apache.http.message.BasicLineParser,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.entity.BufferedHttpEntity,public,org.apache.httpcomponents:httpcore:4.4.5,instantiation,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.impl.cookie.IgnoreSpecProvider,public,org.apache.httpcomponents:httpclient:4.5.3,instantiation,org.apache.httpcomponents:httpasyncclient:4.1.3
java.sql.Date,public,java.sql,cast,com.google.code.gson:gson:2.8.0
com.google.common.collect.LinkedHashMultimap,protected,com.google.guava:guava:21.0,method call,io.searchbox:jest-common:6.3.1
org.apache.http.util.CharsetUtils,public,org.apache.httpcomponents:httpcore:4.4.5,method call,org.apache.httpcomponents:httpclient:4.5.3
org.apache.http.HttpEntityEnclosingRequest,public,org.apache.httpcomponents:httpcore:4.4.5,cast,io.searchbox:jest:6.3.1
