Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.client.DefaultRedirectStrategy::INSTANCE,org.apache.http.impl.client.DefaultRedirectStrategy,org.apache.http.impl.client.DefaultRedirectStrategy,org.apache.http.impl.client.DefaultRedirectStrategy,true,public,org.apache.httpcomponents:httpclient:4.5.3,false,1
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.conn.SystemDefaultDnsResolver::INSTANCE,org.apache.http.impl.conn.SystemDefaultDnsResolver,org.apache.http.impl.conn.SystemDefaultDnsResolver,org.apache.http.impl.conn.SystemDefaultDnsResolver,true,public,org.apache.httpcomponents:httpclient:4.5.3,false,1
org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.impl.DefaultConnectionReuseStrategy::INSTANCE,org.apache.http.impl.DefaultConnectionReuseStrategy,org.apache.http.impl.DefaultConnectionReuseStrategy,org.apache.http.impl.DefaultConnectionReuseStrategy,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,1
commons-logging:commons-logging:1.1.3,org.apache.log4j.Level::INFO,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,2
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.client.TargetAuthenticationStrategy::INSTANCE,org.apache.http.impl.client.TargetAuthenticationStrategy,org.apache.http.impl.client.TargetAuthenticationStrategy,org.apache.http.impl.client.TargetAuthenticationStrategy,true,public,org.apache.httpcomponents:httpclient:4.5.3,false,1
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.util.HeapByteBufferAllocator::INSTANCE,org.apache.http.nio.util.HeapByteBufferAllocator,org.apache.http.nio.util.HeapByteBufferAllocator,org.apache.http.nio.util.HeapByteBufferAllocator,true,public,org.apache.httpcomponents:httpcore-nio:4.4.6,false,1
org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.entity.ContentType::DEFAULT_TEXT,org.apache.http.entity.ContentType,org.apache.http.entity.ContentType,org.apache.http.entity.ContentType,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,1
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.reactor.ssl.SSLMode::CLIENT,org.apache.http.nio.reactor.ssl.SSLMode,org.apache.http.nio.reactor.ssl.SSLMode,org.apache.http.nio.reactor.ssl.SSLMode,true,public,org.apache.httpcomponents:httpcore-nio:4.4.6,false,1
io.searchbox:jest:6.3.1,org.apache.http.auth.AuthScope::ANY,org.apache.http.auth.AuthScope,org.apache.http.auth.AuthScope,org.apache.http.auth.AuthScope,true,public,org.apache.httpcomponents:httpclient:4.5.3,false,1
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.HttpVersion::HTTP_1_1,org.apache.http.HttpVersion,org.apache.http.HttpVersion,org.apache.http.HttpVersion,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,1
org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.config.MessageConstraints::DEFAULT,org.apache.http.config.MessageConstraints,org.apache.http.config.MessageConstraints,org.apache.http.config.MessageConstraints,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,5
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.client.NoopUserTokenHandler::INSTANCE,org.apache.http.impl.client.NoopUserTokenHandler,org.apache.http.impl.client.NoopUserTokenHandler,org.apache.http.impl.client.NoopUserTokenHandler,true,public,org.apache.httpcomponents:httpclient:4.5.3,false,1
io.searchbox:jest:6.3.1,io.searchbox.client.config.ElasticsearchVersion::UNKNOWN,io.searchbox.client.config.ElasticsearchVersion,io.searchbox.client.config.ElasticsearchVersion,io.searchbox.client.config.ElasticsearchVersion,true,public,io.searchbox:jest-common:6.3.1,false,4
org.slf4j:slf4j-log4j12:1.7.25,org.apache.log4j.Level::INFO,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,6
org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.nio.reactor.IOReactorConfig::DEFAULT,org.apache.http.impl.nio.reactor.IOReactorConfig,org.apache.http.impl.nio.reactor.IOReactorConfig,org.apache.http.impl.nio.reactor.IOReactorConfig,true,public,org.apache.httpcomponents:httpcore-nio:4.4.6,false,1
commons-logging:commons-logging:1.1.3,org.apache.log4j.Level::WARN,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,3
org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.impl.entity.StrictContentLengthStrategy::INSTANCE,org.apache.http.impl.entity.StrictContentLengthStrategy,org.apache.http.impl.entity.StrictContentLengthStrategy,org.apache.http.impl.entity.StrictContentLengthStrategy,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,1
org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.message.BasicHeaderValueParser::INSTANCE,org.apache.http.message.BasicHeaderValueParser,org.apache.http.message.BasicHeaderValueParser,org.apache.http.message.BasicHeaderValueParser,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,1
org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.impl.DefaultHttpResponseFactory::INSTANCE,org.apache.http.impl.DefaultHttpResponseFactory,org.apache.http.impl.DefaultHttpResponseFactory,org.apache.http.impl.DefaultHttpResponseFactory,true,public,org.apache.httpcomponents:httpcore:4.4.5,false,2
