Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.impl.client.DefaultRedirectStrategy::INSTANCE	org.apache.http.impl.client.DefaultRedirectStrategy	org.apache.http.impl.client.DefaultRedirectStrategy	org.apache.http.impl.client.DefaultRedirectStrategy	TRUE	public	org.apache.httpcomponents:httpclient:4.5.3	FALSE	1
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.impl.conn.SystemDefaultDnsResolver::INSTANCE	org.apache.http.impl.conn.SystemDefaultDnsResolver	org.apache.http.impl.conn.SystemDefaultDnsResolver	org.apache.http.impl.conn.SystemDefaultDnsResolver	TRUE	public	org.apache.httpcomponents:httpclient:4.5.3	FALSE	1
org.apache.httpcomponents:httpclient:4.5.3	org.apache.http.impl.DefaultConnectionReuseStrategy::INSTANCE	org.apache.http.impl.DefaultConnectionReuseStrategy	org.apache.http.impl.DefaultConnectionReuseStrategy	org.apache.http.impl.DefaultConnectionReuseStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.5	FALSE	1
commons-logging:commons-logging:1.1.3	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	2
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.impl.client.TargetAuthenticationStrategy::INSTANCE	org.apache.http.impl.client.TargetAuthenticationStrategy	org.apache.http.impl.client.TargetAuthenticationStrategy	org.apache.http.impl.client.TargetAuthenticationStrategy	TRUE	public	org.apache.httpcomponents:httpclient:4.5.3	FALSE	1
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.nio.util.HeapByteBufferAllocator::INSTANCE	org.apache.http.nio.util.HeapByteBufferAllocator	org.apache.http.nio.util.HeapByteBufferAllocator	org.apache.http.nio.util.HeapByteBufferAllocator	TRUE	public	org.apache.httpcomponents:httpcore-nio:4.4.6	FALSE	1
org.apache.httpcomponents:httpclient:4.5.3	org.apache.http.entity.ContentType::DEFAULT_TEXT	org.apache.http.entity.ContentType	org.apache.http.entity.ContentType	org.apache.http.entity.ContentType	TRUE	public	org.apache.httpcomponents:httpcore:4.4.5	FALSE	1
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.nio.reactor.ssl.SSLMode::CLIENT	org.apache.http.nio.reactor.ssl.SSLMode	org.apache.http.nio.reactor.ssl.SSLMode	org.apache.http.nio.reactor.ssl.SSLMode	TRUE	public	org.apache.httpcomponents:httpcore-nio:4.4.6	FALSE	1
io.searchbox:jest:6.3.1	org.apache.http.auth.AuthScope::ANY	org.apache.http.auth.AuthScope	org.apache.http.auth.AuthScope	org.apache.http.auth.AuthScope	TRUE	public	org.apache.httpcomponents:httpclient:4.5.3	FALSE	1
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.HttpVersion::HTTP_1_1	org.apache.http.HttpVersion	org.apache.http.HttpVersion	org.apache.http.HttpVersion	TRUE	public	org.apache.httpcomponents:httpcore:4.4.5	FALSE	1
org.apache.httpcomponents:httpcore-nio:4.4.6	org.apache.http.config.MessageConstraints::DEFAULT	org.apache.http.config.MessageConstraints	org.apache.http.config.MessageConstraints	org.apache.http.config.MessageConstraints	TRUE	public	org.apache.httpcomponents:httpcore:4.4.5	FALSE	5
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.impl.client.NoopUserTokenHandler::INSTANCE	org.apache.http.impl.client.NoopUserTokenHandler	org.apache.http.impl.client.NoopUserTokenHandler	org.apache.http.impl.client.NoopUserTokenHandler	TRUE	public	org.apache.httpcomponents:httpclient:4.5.3	FALSE	1
io.searchbox:jest:6.3.1	io.searchbox.client.config.ElasticsearchVersion::UNKNOWN	io.searchbox.client.config.ElasticsearchVersion	io.searchbox.client.config.ElasticsearchVersion	io.searchbox.client.config.ElasticsearchVersion	TRUE	public	io.searchbox:jest-common:6.3.1	FALSE	4
org.slf4j:slf4j-log4j12:1.7.25	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	6
org.apache.httpcomponents:httpasyncclient:4.1.3	org.apache.http.impl.nio.reactor.IOReactorConfig::DEFAULT	org.apache.http.impl.nio.reactor.IOReactorConfig	org.apache.http.impl.nio.reactor.IOReactorConfig	org.apache.http.impl.nio.reactor.IOReactorConfig	TRUE	public	org.apache.httpcomponents:httpcore-nio:4.4.6	FALSE	1
commons-logging:commons-logging:1.1.3	org.apache.log4j.Level::WARN	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
org.apache.httpcomponents:httpclient:4.5.3	org.apache.http.impl.entity.StrictContentLengthStrategy::INSTANCE	org.apache.http.impl.entity.StrictContentLengthStrategy	org.apache.http.impl.entity.StrictContentLengthStrategy	org.apache.http.impl.entity.StrictContentLengthStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.5	FALSE	1
org.apache.httpcomponents:httpclient:4.5.3	org.apache.http.message.BasicHeaderValueParser::INSTANCE	org.apache.http.message.BasicHeaderValueParser	org.apache.http.message.BasicHeaderValueParser	org.apache.http.message.BasicHeaderValueParser	TRUE	public	org.apache.httpcomponents:httpcore:4.4.5	FALSE	1
