SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.apache.http.client.methods.HttpUriRequest,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpRequest,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.nio.NHttpConnection,org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.HttpConnection,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.conn.PoolingHttpClientConnectionManager$InternalConnectionFactory,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.pool.ConnFactory,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.http.apache.HttpGetWithEntity,io.searchbox:jest:6.3.1,org.apache.http.client.methods.HttpEntityEnclosingRequestBase,public,org.apache.httpcomponents:httpclient:4.5.3,1
org.apache.http.conn.ManagedHttpClientConnection,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpInetConnection,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.nio.conn.CPool,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.pool.AbstractNIOConnPool,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.http.impl.execchain.ResponseEntityProxy,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.entity.HttpEntityWrapper,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.client.methods.HttpRequestWrapper,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.message.AbstractHttpMessage,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.logging.log4j.util.LoaderUtil$ThreadContextClassLoaderGetter,org.apache.logging.log4j.util,java.security.PrivilegedAction,public,java.security,1
org.apache.http.client.protocol.RequestDefaultHeaders,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.nio.entity.ContentBufferEntity,org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.entity.BasicHttpEntity,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.commons.logging.LogFactory$1,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.apache.http.nio.pool.AbstractNIOConnPool,org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.pool.ConnPoolControl,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.commons.logging.LogFactory$6,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.slf4j.impl.StaticLoggerBinder,org.slf4j:slf4j-log4j12:1.7.25,org.slf4j.spi.LoggerFactoryBinder,public,org.slf4j:slf4j-api:1.7.25,1
org.apache.http.impl.nio.conn.PoolingNHttpClientConnectionManager$InternalConnectionFactory,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.pool.NIOConnFactory,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.commons.logging.LogFactory$2,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.apache.commons.logging.LogFactory$3,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.apache.commons.logging.LogFactory$4,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.apache.http.auth.MalformedChallengeException,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.ProtocolException,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.slf4j.impl.Log4jLoggerAdapter,org.slf4j:slf4j-log4j12:1.7.25,org.slf4j.spi.LocationAwareLogger,public,org.slf4j:slf4j-api:1.7.25,1
org.apache.http.impl.conn.CPool,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.pool.AbstractConnPool,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.nio.client.methods.HttpAsyncMethods$RequestProducerImpl,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.protocol.BasicAsyncRequestProducer,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.http.impl.conn.DefaultManagedHttpClientConnection,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.impl.DefaultBHttpClientConnection,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.execchain.ConnectionHolder,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.concurrent.Cancellable,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.nio.client.DefaultAsyncUserTokenHandler,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.client.UserTokenHandler,public,org.apache.httpcomponents:httpclient:4.5.3,1
org.apache.commons.logging.impl.LogFactoryImpl$1,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.apache.http.impl.nio.conn.PoolingNHttpClientConnectionManager$InternalAddressResolver,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.pool.SocketAddressResolver,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.http.impl.conn.DefaultHttpResponseParser,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.impl.io.AbstractMessageParser,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.nio.conn.ManagedNHttpClientConnection,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.nio.NHttpClientConnection,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.http.client.protocol.RequestAuthCache,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.client.RedirectException,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.ProtocolException,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.execchain.RequestEntityProxy,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpEntity,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.commons.logging.impl.LogFactoryImpl$2,commons-logging:commons-logging:1.1.3,java.security.PrivilegedAction,public,java.security,1
org.apache.http.impl.nio.conn.CPoolEntry,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.pool.PoolEntry,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.http.JestHttpClient,io.searchbox:jest:6.3.1,io.searchbox.client.AbstractJestClient,public,io.searchbox:jest-common:6.3.1,1
org.apache.http.conn.ManagedHttpClientConnection,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpClientConnection,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.client.protocol.RequestExpectContinue,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.nio.conn.ManagedNHttpClientConnectionImpl,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.nio.DefaultNHttpClientConnection,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.http.client.protocol.HttpClientContext,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.protocol.HttpCoreContext,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.nio.pool.AbstractNIOConnPool,org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.pool.ConnPool,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.conn.DefaultManagedHttpClientConnection,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.protocol.HttpContext,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.config.discovery.NodeChecker,io.searchbox:jest-common:6.3.1,com.google.common.util.concurrent.AbstractScheduledService,public,com.google.guava:guava:21.0,1
org.apache.http.client.methods.HttpEntityEnclosingRequestBase,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpEntityEnclosingRequest,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.config.HttpClientConfig,io.searchbox:jest:6.3.1,io.searchbox.client.config.ClientConfig,public,io.searchbox:jest-common:6.3.1,1
org.apache.http.client.entity.GzipCompressingEntity,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.entity.HttpEntityWrapper,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.nio.client.InternalIODispatch,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.impl.nio.reactor.AbstractIODispatch,public,org.apache.httpcomponents:httpcore-nio:4.4.6,1
org.apache.http.impl.client.DefaultClientConnectionReuseStrategy,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.impl.DefaultConnectionReuseStrategy,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.nio.protocol.HttpAsyncClientExchangeHandler,org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.concurrent.Cancellable,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.execchain.TunnelRefusedException,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpException,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.client.protocol.RequestAcceptEncoding,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.config.discovery.NodeChecker$1,io.searchbox:jest-common:6.3.1,com.google.common.util.concurrent.Service$Listener,public,com.google.guava:guava:21.0,1
org.apache.http.impl.nio.SessionHttpContext,org.apache.httpcomponents:httpcore-nio:4.4.6,org.apache.http.protocol.HttpContext,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.client.NonRepeatableRequestException,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.ProtocolException,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.slf4j.impl.Log4jLoggerFactory,org.slf4j:slf4j-log4j12:1.7.25,org.slf4j.ILoggerFactory,public,org.slf4j:slf4j-api:1.7.25,1
org.apache.http.impl.nio.conn.PoolingNHttpClientConnectionManager$1,org.apache.httpcomponents:httpasyncclient:4.1.3,org.apache.http.concurrent.FutureCallback,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.config.HttpClientConfig$Builder,io.searchbox:jest:6.3.1,io.searchbox.client.config.ClientConfig$AbstractBuilder,protected,io.searchbox:jest-common:6.3.1,1
org.apache.http.client.protocol.RequestClientConnControl,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.5,1
org.apache.http.impl.conn.DefaultHttpResponseParserFactory,org.apache.httpcomponents:httpclient:4.5.3,org.apache.http.io.HttpMessageParserFactory,public,org.apache.httpcomponents:httpcore:4.4.5,1
io.searchbox.client.config.idle.IdleConnectionReaper,io.searchbox:jest-common:6.3.1,com.google.common.util.concurrent.AbstractScheduledService,public,com.google.guava:guava:21.0,1
