Class Name	Class Visibility	Class Library	Usage	Used In Library
org.json.JSONTokener	public	org.json:json:20090211	method call	io.socket:socket.io-client:2.0.1
okhttp3.OkHttpClient	public	com.squareup.okhttp3:okhttp:3.12.12	instantiation	io.socket:engine.io-client:2.0.0
okhttp3.OkHttpClient	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
io.socket.emitter.Emitter$Listener	public	io.socket:engine.io-client:2.0.0	subtyping	io.socket:socket.io-client:2.0.1
org.json.JSONObject	public	org.json:json:20090211	instantiation	io.socket:engine.io-client:2.0.0
okhttp3.Request$Builder	public	com.squareup.okhttp3:okhttp:3.12.12	instantiation	io.socket:engine.io-client:2.0.0
okio.AsyncTimeout	public	com.squareup.okio:okio:1.15.0	subtyping	com.squareup.okhttp3:okhttp:3.12.12
okhttp3.internal.ws.RealWebSocket	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
org.json.JSONObject	public	org.json:json:20090211	instantiation	io.socket:socket.io-client:2.0.1
okhttp3.RealCall	default	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
okio.ByteString	public	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
okhttp3.Response	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
io.socket.engineio.client.Socket$Options	public	io.socket:engine.io-client:2.0.0	subtyping	io.socket:socket.io-client:2.0.1
okhttp3.internal.http.CallServerInterceptor$CountingSink	default	com.squareup.okhttp3:okhttp:3.12.12	method call	com.squareup.okio:okio:1.15.0
okio.Okio	public	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
org.json.JSONArray	public	org.json:json:20090211	cast	io.socket:socket.io-client:2.0.1
okio.Okio$4	default	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
okio.Buffer	public	com.squareup.okio:okio:1.15.0	instantiation	com.squareup.okhttp3:okhttp:3.12.12
io.socket.client.Socket$2$3	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
io.socket.client.Socket$2$4	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
io.socket.client.Socket$2$1	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
okio.Buffer	public	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
io.socket.client.Socket$2$2	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
io.socket.thread.EventThread	default	io.socket:engine.io-client:2.0.0	method call	io.socket:socket.io-client:2.0.1
okio.ForwardingTimeout	public	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
org.json.JSONArray	public	org.json:json:20090211	method call	io.socket:engine.io-client:2.0.0
okhttp3.Headers	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
okio.RealBufferedSink	default	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
io.socket.client.Manager$1$1	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
okhttp3.Request$Builder	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
org.json.JSONObject	public	org.json:json:20090211	method call	io.socket:engine.io-client:2.0.0
io.socket.client.Manager$1$3	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
io.socket.client.Manager$1$2	default	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
okhttp3.internal.http.RealResponseBody	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
okhttp3.HttpUrl	public	com.squareup.okhttp3:okhttp:3.12.12	method call	io.socket:engine.io-client:2.0.0
okio.GzipSource	public	com.squareup.okio:okio:1.15.0	instantiation	com.squareup.okhttp3:okhttp:3.12.12
io.socket.client.Socket	public	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
okio.ByteString	default	com.squareup.okio:okio:1.15.0	method call	io.socket:engine.io-client:2.0.0
okio.RealBufferedSource	default	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
okio.ByteString	public	com.squareup.okio:okio:1.15.0	method call	io.socket:engine.io-client:2.0.0
okhttp3.internal.http1.Http1Codec$FixedLengthSink	private	com.squareup.okhttp3:okhttp:3.12.12	method call	com.squareup.okio:okio:1.15.0
io.socket.engineio.client.transports.WebSocket$1	default	io.socket:engine.io-client:2.0.0	method call	com.squareup.okhttp3:okhttp:3.12.12
org.json.JSONArray	public	org.json:json:20090211	instantiation	io.socket:socket.io-client:2.0.1
okio.Buffer$UnsafeCursor	public	com.squareup.okio:okio:1.15.0	method call	com.squareup.okhttp3:okhttp:3.12.12
io.socket.client.Manager$Engine	private	io.socket:socket.io-client:2.0.1	method call	io.socket:engine.io-client:2.0.0
okio.ForwardingSink	public	com.squareup.okio:okio:1.15.0	subtyping	com.squareup.okhttp3:okhttp:3.12.12
