Class Name	Class Visibility	Class Library	Usage	Used In Library
com.google.common.collect.Sets	public	com.google.guava:guava:20.0	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.sun.crypto.provider.AESCipher$General	public	unknownLib	Class.forName	java.security
javax.xml.datatype.XMLGregorianCalendar	public	javax.xml.datatype	cast	ma.glasnost.orika:orika-core:1.5.0
com.fasterxml.jackson.annotation.JsonInclude$Value	public	com.fasterxml.jackson.core:jackson-annotations:2.8.0	method call	com.fasterxml.jackson.core:jackson-databind:2.8.6
com.fasterxml.jackson.core.util.Instantiatable	public	com.fasterxml.jackson.core:jackson-core:2.8.6	cast	com.fasterxml.jackson.core:jackson-databind:2.8.6
com.fasterxml.jackson.databind.ObjectMapper	public	com.fasterxml.jackson.core:jackson-databind:2.8.6	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.fasterxml.jackson.core.util.InternCache	public	com.fasterxml.jackson.core:jackson-core:2.8.6	method call	com.fasterxml.jackson.core:jackson-databind:2.8.6
java.security.MessageDigest$Delegate	default	java.security	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.fasterxml.jackson.core.JsonLocation	public	com.fasterxml.jackson.core:jackson-core:2.8.6	instantiation	com.fasterxml.jackson.core:jackson-databind:2.8.6
com.fasterxml.jackson.annotation.JsonFormat$Value	public	com.fasterxml.jackson.core:jackson-annotations:2.8.0	method call	com.fasterxml.jackson.core:jackson-databind:2.8.6
com.google.common.primitives.Doubles	public	com.google.guava:guava:20.0	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.fasterxml.jackson.core.filter.JsonPointerBasedFilter	public	com.fasterxml.jackson.core:jackson-core:2.8.6	instantiation	com.fasterxml.jackson.core:jackson-databind:2.8.6
org.apache.commons.lang3.time.DateUtils	public	org.apache.commons:commons-lang3:3.5	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.google.common.hash.HashCode$IntHashCode	private	com.google.guava:guava:20.0	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.google.common.hash.Murmur3_128HashFunction	default	com.google.guava:guava:20.0	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.fasterxml.jackson.core.JsonGenerator	public	com.fasterxml.jackson.core:jackson-core:2.8.6	subtyping	com.fasterxml.jackson.core:jackson-databind:2.8.6
java.sql.Time	public	java.sql	cast	ma.glasnost.orika:orika-core:1.5.0
com.google.common.math.LongMath	public	com.google.guava:guava:20.0	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.fasterxml.jackson.core.JsonFactory	public	com.fasterxml.jackson.core:jackson-core:2.8.6	subtyping	com.fasterxml.jackson.core:jackson-databind:2.8.6
com.google.common.collect.SortedSetMultimap	public	com.google.guava:guava:20.0	cast	io.springside:springside-utils:5.0.0-SNAPSHOT
org.apache.commons.lang3.time.FastDateFormat	public	org.apache.commons:commons-lang3:3.5	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
com.fasterxml.jackson.annotation.JsonSetter	public	com.fasterxml.jackson.core:jackson-annotations:2.8.0	cast	com.fasterxml.jackson.core:jackson-databind:2.8.6
net.sf.cglib.reflect.FastClass	default	cglib:cglib:3.2.4	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
java.security.SecureRandom	public	java.security	method call	io.springside:springside-utils:5.0.0-SNAPSHOT
