Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
org.springside.modules.utils.text.EncodeUtil::encodeHex([B)Ljava/lang/String;,io.springside:springside-utils:5.0.0-SNAPSHOT,public,com.google.common.io.BaseEncoding::base16()Lcom/google/common/io/BaseEncoding;,com.google.guava:guava:20.0,com.google.common.io.BaseEncoding::base16()Lcom/google/common/io/BaseEncoding;,com.google.guava:guava:20.0,9,false,false,
com.fasterxml.jackson.databind.util.JSONPObject::serialize(Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,com.fasterxml.jackson.core:jackson-databind:2.8.6,public,com.fasterxml.jackson.core.JsonGenerator::writeRaw(C)V,com.fasterxml.jackson.core:jackson-core:2.8.6,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator::writeRaw(C)V,com.fasterxml.jackson.core:jackson-core:2.8.6,2,false,false,
org.springside.modules.utils.mapper.BeanMapper::map(Ljava/lang/Object;Lma/glasnost/orika/metadata/Type;Lma/glasnost/orika/metadata/Type;)Ljava/lang/Object;,io.springside:springside-utils:5.0.0-SNAPSHOT,public,ma.glasnost.orika.MapperFacade::map(Ljava/lang/Object;Lma/glasnost/orika/metadata/Type;Lma/glasnost/orika/metadata/Type;)Ljava/lang/Object;,ma.glasnost.orika:orika-core:1.5.0,ma.glasnost.orika.impl.MapperFacadeImpl::map(Ljava/lang/Object;Lma/glasnost/orika/metadata/Type;Lma/glasnost/orika/metadata/Type;)Ljava/lang/Object;,ma.glasnost.orika:orika-core:1.5.0,1,false,false,
com.fasterxml.jackson.databind.ser.BeanSerializer::serialize(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,com.fasterxml.jackson.core:jackson-databind:2.8.6,public,com.fasterxml.jackson.core.JsonGenerator::writeStartObject(Ljava/lang/Object;)V,com.fasterxml.jackson.core:jackson-core:2.8.6,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator::writeStartObject(Ljava/lang/Object;)V,com.fasterxml.jackson.core:jackson-core:2.8.6,9,false,false,
org.springside.modules.utils.number.MathUtil::isPowerOfTwo(I)Z,io.springside:springside-utils:5.0.0-SNAPSHOT,public,com.google.common.math.IntMath::isPowerOfTwo(I)Z,com.google.guava:guava:20.0,com.google.common.math.IntMath::isPowerOfTwo(I)Z,com.google.guava:guava:20.0,3,false,false,
org.springside.modules.utils.collection.ArrayUtil::asList(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/util/List;,io.springside:springside-utils:5.0.0-SNAPSHOT,public,com.google.common.collect.Lists::asList(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/util/List;,com.google.guava:guava:20.0,com.google.common.collect.Lists::asList(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/util/List;,com.google.guava:guava:20.0,1,false,false,
org.springside.modules.utils.time.DateFormatUtil::formatDate(Ljava/lang/String;Ljava/util/Date;)Ljava/lang/String;,io.springside:springside-utils:5.0.0-SNAPSHOT,public,org.apache.commons.lang3.time.FastDateFormat::getInstance(Ljava/lang/String;)Lorg/apache/commons/lang3/time/FastDateFormat;,org.apache.commons:commons-lang3:3.5,org.apache.commons.lang3.time.FastDateFormat::getInstance(Ljava/lang/String;)Lorg/apache/commons/lang3/time/FastDateFormat;,org.apache.commons:commons-lang3:3.5,1,false,false,
com.fasterxml.jackson.databind.deser.std.MapDeserializer::deserialize(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;)Ljava/util/Map;,com.fasterxml.jackson.core:jackson-databind:2.8.6,public,com.fasterxml.jackson.core.JsonParser::getCurrentToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.8.6,com.fasterxml.jackson.core.json.ReaderBasedJsonParser::getCurrentToken()Lcom/fasterxml/jackson/core/JsonToken;,com.fasterxml.jackson.core:jackson-core:2.8.6,1,false,false,
org.springside.modules.utils.io.ResourceUtil::asUrl(Ljava/lang/String;)Ljava/net/URL;,io.springside:springside-utils:5.0.0-SNAPSHOT,public,com.google.common.io.Resources::getResource(Ljava/lang/String;)Ljava/net/URL;,com.google.guava:guava:20.0,com.google.common.io.Resources::getResource(Ljava/lang/String;)Ljava/net/URL;,com.google.guava:guava:20.0,3,false,false,
org.springside.modules.utils.number.MathUtil::mod(JI)J,io.springside:springside-utils:5.0.0-SNAPSHOT,public,com.google.common.math.LongMath::mod(JI)I,com.google.guava:guava:20.0,com.google.common.math.LongMath::mod(JI)I,com.google.guava:guava:20.0,3,false,false,
