SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
com.fasterxml.jackson.databind.JsonMappingException,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.JsonProcessingException,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
org.springside.modules.utils.concurrent.jsr166e.Striped64$1,io.springside:springside-utils:5.0.0-SNAPSHOT,java.security.PrivilegedExceptionAction,public,java.security,1
javax.xml.bind.GetPropertyAction,javax.xml.bind,java.security.PrivilegedAction,public,java.security,1
com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
com.fasterxml.jackson.databind.node.TreeTraversingParser,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.base.ParserMinimalBase,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
org.springside.modules.utils.log.ThrottledSlf4jLogger,io.springside:springside-utils:5.0.0-SNAPSHOT,org.slf4j.Logger,public,org.slf4j:slf4j-api:1.7.22,1
javassist.util.proxy.SecurityActions$3,org.javassist:javassist:3.19.0-GA,java.security.PrivilegedExceptionAction,public,java.security,1
javax.xml.bind.UnmarshallerHandler,javax.xml.bind,org.xml.sax.ContentHandler,public,org.xml.sax,1
com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8$1,com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru:1.4.2,java.security.PrivilegedExceptionAction,public,java.security,1
net.sf.cglib.core.DebuggingClassWriter,cglib:cglib:3.2.4,org.objectweb.asm.ClassVisitor,public,org.ow2.asm:asm:5.1,1
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.8.0,1
com.fasterxml.jackson.databind.MappingJsonFactory,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.JsonFactory,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
com.fasterxml.jackson.databind.util.TokenBuffer,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.JsonGenerator,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
javax.xml.parsers.FactoryFinder$1,javax.xml.parsers,java.security.PrivilegedAction,public,java.security,1
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
org.springside.modules.utils.io.FileTreeWalker$FileExtensionFilter,io.springside:springside-utils:5.0.0-SNAPSHOT,com.google.common.base.Predicate,public,com.google.guava:guava:20.0,1
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
com.fasterxml.jackson.databind.ser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.8.0,1
javax.xml.parsers.SecuritySupport$1,javax.xml.parsers,java.security.PrivilegedAction,public,java.security,1
org.springside.modules.utils.io.FileTreeWalker$WildcardFileNameFilter,io.springside:springside-utils:5.0.0-SNAPSHOT,com.google.common.base.Predicate,public,com.google.guava:guava:20.0,1
javax.xml.parsers.SecuritySupport$2,javax.xml.parsers,java.security.PrivilegedAction,public,java.security,1
javax.xml.datatype.SecuritySupport$5,javax.xml.datatype,java.security.PrivilegedAction,public,java.security,1
javax.xml.datatype.FactoryFinder$1,javax.xml.datatype,java.security.PrivilegedAction,public,java.security,1
javax.xml.parsers.SecuritySupport$5,javax.xml.parsers,java.security.PrivilegedAction,public,java.security,1
org.springside.modules.utils.io.FileTreeWalker$RegexFileNameFilter,io.springside:springside-utils:5.0.0-SNAPSHOT,com.google.common.base.Predicate,public,com.google.guava:guava:20.0,1
com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.TreeNode,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
javax.xml.datatype.SecuritySupport$2,javax.xml.datatype,java.security.PrivilegedAction,public,java.security,1
com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.core:jackson-databind:2.8.6,com.fasterxml.jackson.core.type.ResolvedType,public,com.fasterxml.jackson.core:jackson-core:2.8.6,1
javax.xml.datatype.SecuritySupport$1,javax.xml.datatype,java.security.PrivilegedAction,public,java.security,1
org.springside.modules.utils.io.FileTreeWalker$AntPathFilter,io.springside:springside-utils:5.0.0-SNAPSHOT,com.google.common.base.Predicate,public,com.google.guava:guava:20.0,1
