Class Name	Class Visibility	Class Library	Usage	Used In Library
com.fasterxml.jackson.databind.module.SimpleModule	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	instantiation	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.properties.DateProperty	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.properties.RefProperty	public	io.swagger:swagger-models:1.6.3	instantiation	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
com.fasterxml.jackson.dataformat.yaml.YAMLFactory	public	com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.1	instantiation	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.properties.Property	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
com.fasterxml.jackson.databind.node.ObjectNode	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.Path	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.properties.LongProperty	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.properties.StringProperty	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
org.slf4j.Logger	public	org.slf4j:slf4j-api:1.7.12	cast	org.slf4j:slf4j-simple:1.7.12
io.swagger.models.properties.ArrayProperty	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
com.google.common.collect.ImmutableMap$Builder	public	com.google.guava:guava:27.0.1-android	instantiation	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
org.slf4j.ILoggerFactory	public	org.slf4j:slf4j-api:1.7.12	subtyping	org.slf4j:slf4j-simple:1.7.12
io.swagger.models.properties.RefProperty	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
org.slf4j.helpers.MarkerIgnoringBase	public	org.slf4j:slf4j-api:1.7.12	subtyping	org.slf4j:slf4j-simple:1.7.12
io.swagger.models.parameters.FormParameter	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
io.swagger.models.parameters.BodyParameter	public	io.swagger:swagger-models:1.6.3	cast	io.swagger:swagger-codegen:2.4.24-SNAPSHOT
