Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.google.common.base.CaseFormat::UPPER_CAMEL	com.google.common.base.CaseFormat	com.google.common.base.CaseFormat	com.google.common.base.CaseFormat	true	public	com.google.guava:guava:27.0.1-android	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.databind.SerializationFeature::WRITE_DATES_AS_TIMESTAMPS	com.fasterxml.jackson.databind.SerializationFeature	com.fasterxml.jackson.databind.SerializationFeature	com.fasterxml.jackson.databind.SerializationFeature	true	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.databind.DeserializationFeature::FAIL_ON_UNKNOWN_PROPERTIES	com.fasterxml.jackson.databind.DeserializationFeature	com.fasterxml.jackson.databind.DeserializationFeature	com.fasterxml.jackson.databind.DeserializationFeature	true	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.annotation.JsonInclude$Include::NON_NULL	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	io.swagger.models.properties.PropertyBuilder$PropertyId::ENUM	io.swagger.models.properties.PropertyBuilder$PropertyId	io.swagger.models.properties.PropertyBuilder$PropertyId	io.swagger.models.properties.PropertyBuilder$PropertyId	true	public	io.swagger:swagger-models:1.6.3	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature::SPLIT_LINES	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	true	public	com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.1	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	io.swagger.models.auth.In::HEADER	io.swagger.models.auth.In	io.swagger.models.auth.In	io.swagger.models.auth.In	true	public	io.swagger:swagger-models:1.6.3	false	1
org.slf4j:slf4j-api:1.7.12	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	true	public	org.slf4j:slf4j-simple:1.7.12	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.databind.SerializationFeature::FAIL_ON_EMPTY_BEANS	com.fasterxml.jackson.databind.SerializationFeature	com.fasterxml.jackson.databind.SerializationFeature	com.fasterxml.jackson.databind.SerializationFeature	true	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.google.common.base.CaseFormat::LOWER_CAMEL	com.google.common.base.CaseFormat	com.google.common.base.CaseFormat	com.google.common.base.CaseFormat	true	public	com.google.guava:guava:27.0.1-android	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature::ALWAYS_QUOTE_NUMBERS_AS_STRINGS	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	true	public	com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.1	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Escapers::NONE	com.samskivert.mustache.Escapers	com.samskivert.mustache.Escapers	com.samskivert.mustache.Mustache$Escaper	true	public	com.samskivert:jmustache:1.12	false	1
io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature::MINIMIZE_QUOTES	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	com.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature	true	public	com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.11.1	false	1
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenModel::allowableValues	io.swagger.codegen.CodegenModel	io.swagger.codegen.CodegenModel	java.util.Map<java.lang.String, java.lang.Object>	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	2
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenOperation::produces	io.swagger.codegen.CodegenOperation	io.swagger.codegen.CodegenOperation	java.util.List<java.util.Map<java.lang.String, java.lang.String>>	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	261
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.JsonFormat$Shape::ARRAY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	4
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenProperty::isMapContainer	io.swagger.codegen.CodegenProperty	io.swagger.codegen.CodegenProperty	boolean	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	98
com.fasterxml.jackson.core:jackson-databind:2.11.1	io.swagger.codegen.CodegenModel::vendorExtensions	io.swagger.codegen.CodegenModel	io.swagger.codegen.CodegenModel	java.util.Map<java.lang.String, java.lang.Object>	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	3
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenOperation::externalDocs	io.swagger.codegen.CodegenOperation	io.swagger.codegen.CodegenOperation	io.swagger.models.ExternalDocs	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	81
com.fasterxml.jackson.core:jackson-databind:2.11.1	io.swagger.codegen.CodegenProperty::vendorExtensions	io.swagger.codegen.CodegenProperty	io.swagger.codegen.CodegenProperty	java.util.Map<java.lang.String, java.lang.Object>	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	29
com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.JsonTypeInfo$As::WRAPPER_ARRAY	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	true	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	false	2
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenProperty::isReadOnly	io.swagger.codegen.CodegenProperty	io.swagger.codegen.CodegenProperty	boolean	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	234
io.swagger:swagger-core:1.6.3	io.swagger.models.properties.PropertyBuilder$PropertyId::VENDOR_EXTENSIONS	io.swagger.models.properties.PropertyBuilder$PropertyId	io.swagger.models.properties.PropertyBuilder$PropertyId	io.swagger.models.properties.PropertyBuilder$PropertyId	true	public	io.swagger:swagger-models:1.6.3	false	1
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenProperty::isPrimitiveType	io.swagger.codegen.CodegenProperty	io.swagger.codegen.CodegenProperty	boolean	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	206
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenProperty::example	io.swagger.codegen.CodegenProperty	io.swagger.codegen.CodegenProperty	java.lang.String	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	102
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenModel::description	io.swagger.codegen.CodegenModel	io.swagger.codegen.CodegenModel	java.lang.String	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	89
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenOperation::bodyParam	io.swagger.codegen.CodegenOperation	io.swagger.codegen.CodegenOperation	io.swagger.codegen.CodegenParameter	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	164
com.samskivert:jmustache:1.12	io.swagger.codegen.CodegenModel::classname	io.swagger.codegen.CodegenModel	io.swagger.codegen.CodegenModel	java.lang.String	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	367
com.fasterxml.jackson.core:jackson-databind:2.11.1	io.swagger.codegen.CodegenProperty::isLong	io.swagger.codegen.CodegenProperty	io.swagger.codegen.CodegenProperty	boolean	false	public	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	true	29
