Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.slf4j.LoggerFactory::getLogger(Ljava/lang/String;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.12	public	org.slf4j.ILoggerFactory::getLogger(Ljava/lang/String;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.12	org.slf4j.impl.SimpleLoggerFactory::getLogger(Ljava/lang/String;)Lorg/slf4j/Logger;	org.slf4j:slf4j-simple:1.7.12	4	false	false	
io.swagger.codegen.languages.AkkaScalaClientCodegen::AkkaScalaClientCodegen()V	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	public	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.12	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.12	1	false	false	
org.slf4j.LoggerFactory::getILoggerFactory()Lorg/slf4j/ILoggerFactory;	org.slf4j:slf4j-api:1.7.12	public	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	org.slf4j:slf4j-simple:1.7.12	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	org.slf4j:slf4j-simple:1.7.12	4	false	false	
org.slf4j.LoggerFactory::bind()V	org.slf4j:slf4j-api:1.7.12	public	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	org.slf4j:slf4j-simple:1.7.12	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	org.slf4j:slf4j-simple:1.7.12	1	false	false	
org.slf4j.LoggerFactory::getILoggerFactory()Lorg/slf4j/ILoggerFactory;	org.slf4j:slf4j-api:1.7.12	public	org.slf4j.impl.StaticLoggerBinder::getLoggerFactory()Lorg/slf4j/ILoggerFactory;	org.slf4j:slf4j-simple:1.7.12	org.slf4j.impl.StaticLoggerBinder::getLoggerFactory()Lorg/slf4j/ILoggerFactory;	org.slf4j:slf4j-simple:1.7.12	4	false	false	
io.swagger.codegen.languages.AbstractJavaCodegen::sanitizePackageName(Ljava/lang/String;)Ljava/lang/String;	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	public	com.google.common.base.Strings::isNullOrEmpty(Ljava/lang/String;)Z	com.google.guava:guava:27.0.1-android	com.google.common.base.Strings::isNullOrEmpty(Ljava/lang/String;)Z	com.google.guava:guava:27.0.1-android	24	false	false	
io.swagger.parser.util.DeserializationUtils::buildSnakeYaml(Lorg/yaml/snakeyaml/constructor/BaseConstructor;)Lorg/yaml/snakeyaml/Yaml;	io.swagger:swagger-parser:1.0.56	public	org.yaml.snakeyaml.LoaderOptions::setMaxAliasesForCollections(I)V	org.yaml:snakeyaml:1.29	org.yaml.snakeyaml.LoaderOptions::setMaxAliasesForCollections(I)V	org.yaml:snakeyaml:1.29	44	true	false	
io.swagger.parser.util.SwaggerDeserializer::parameter(Lcom/fasterxml/jackson/databind/node/ObjectNode;Ljava/lang/String;Lio/swagger/parser/util/SwaggerDeserializer$ParseResult;)Lio/swagger/models/parameters/Parameter;	io.swagger:swagger-parser:1.0.56	public	com.fasterxml.jackson.databind.JsonNode::asText()Ljava/lang/String;	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.databind.node.DoubleNode::asText()Ljava/lang/String;	com.fasterxml.jackson.core:jackson-databind:2.11.1	18	false	false	
io.swagger.codegen.auth.AuthParser::parse(Ljava/lang/String;)Ljava/util/List;	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	public	org.apache.commons.lang3.StringUtils::isNotEmpty(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	org.apache.commons.lang3.StringUtils::isNotEmpty(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	1	false	false	
com.fasterxml.jackson.databind.ser.BasicSerializerFactory::buildCollectionSerializer(Lcom/fasterxml/jackson/databind/SerializerProvider;Lcom/fasterxml/jackson/databind/type/CollectionType;Lcom/fasterxml/jackson/databind/BeanDescription;ZLcom/fasterxml/jackson/databind/jsontype/TypeSerializer;Lcom/fasterxml/jackson/databind/JsonSerializer;)Lcom/fasterxml/jackson/databind/JsonSerializer;	com.fasterxml.jackson.core:jackson-databind:2.11.1	public	com.fasterxml.jackson.annotation.JsonFormat$Value::getShape()Lcom/fasterxml/jackson/annotation/JsonFormat$Shape;	com.fasterxml.jackson.core:jackson-annotations:2.11.1	com.fasterxml.jackson.annotation.JsonFormat$Value::getShape()Lcom/fasterxml/jackson/annotation/JsonFormat$Shape;	com.fasterxml.jackson.core:jackson-annotations:2.11.1	10	false	false	
