SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.slf4j.impl.StaticLoggerBinder	org.slf4j:slf4j-simple:1.7.12	org.slf4j.spi.LoggerFactoryBinder	public	org.slf4j:slf4j-api:1.7.12	1
io.swagger.codegen.languages.AkkaScalaClientCodegen$CustomLambda	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
org.slf4j.impl.SimpleLogger$1	org.slf4j:slf4j-simple:1.7.12	java.security.PrivilegedAction	public	java.security	1
org.slf4j.impl.SimpleLoggerFactory	org.slf4j:slf4j-simple:1.7.12	org.slf4j.ILoggerFactory	public	org.slf4j:slf4j-api:1.7.12	1
org.slf4j.impl.SimpleLogger	org.slf4j:slf4j-simple:1.7.12	org.slf4j.helpers.MarkerIgnoringBase	public	org.slf4j:slf4j-api:1.7.12	1
com.fasterxml.jackson.databind.Module	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
com.fasterxml.jackson.databind.AnnotationIntrospector	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
com.fasterxml.jackson.databind.MappingJsonFactory	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.JsonFactory	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
io.swagger.codegen.mustache.LowercaseLambda	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.util.ResponseDeserializer	io.swagger:swagger-core:1.6.3	com.fasterxml.jackson.databind.JsonDeserializer	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	1
io.swagger.parser.SwaggerCompatConverter	io.swagger:swagger-compat-spec-parser:1.0.56	io.swagger.parser.SwaggerParserExtension	public	io.swagger:swagger-parser:1.0.56	1
com.fasterxml.jackson.databind.util.TokenBufferReadContext	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.JsonStreamContext	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
io.swagger.codegen.mustache.CamelCaseLambda	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.ObjectCodec	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
io.swagger.codegen.languages.ElixirClientCodegen$2	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.ElixirClientCodegen$1	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
com.fasterxml.jackson.databind.ObjectReader	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
io.swagger.codegen.languages.SpringCodegen$1	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.SpringCodegen$2	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.mustache.IndentedLambda	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.NodeJSServerCodegen$1	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.fasterxml.jackson.databind.JsonSerializer	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	1
io.swagger.parser.util.DeserializationUtils$CustomSnakeYamlConstructor	io.swagger:swagger-parser:1.0.56	org.yaml.snakeyaml.constructor.SafeConstructor	public	org.yaml:snakeyaml:1.29	1
com.fasterxml.jackson.databind.ObjectWriter	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.core.Versioned	public	com.fasterxml.jackson.core:jackson-core:2.11.1	1
io.swagger.codegen.languages.JavascriptClientCodegen$1	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.util.ParameterDeserializer	io.swagger:swagger-core:1.6.3	com.fasterxml.jackson.databind.JsonDeserializer	public	com.fasterxml.jackson.core:jackson-databind:2.11.1	1
io.swagger.codegen.languages.JavascriptClientCodegen$3	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.JavascriptClientCodegen$4	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.JavascriptClientCodegen$5	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator	com.fasterxml.jackson.core:jackson-databind:2.11.1	com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator	public	com.fasterxml.jackson.core:jackson-annotations:2.11.1	1
io.swagger.codegen.languages.JavascriptClientCodegen$6	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.JavascriptClientCodegen$7	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
io.swagger.codegen.languages.JavascriptClientCodegen$8	io.swagger:swagger-codegen:2.4.24-SNAPSHOT	com.samskivert.mustache.Mustache$Lambda	public	com.samskivert:jmustache:1.12	1
