Callee Library,Field Name,Field Signature,Field Library,Count
jetty-servlet-9.4.26.v20200117,javax.servlet.DispatcherType::ASYNC,Ljavax/servlet/DispatcherType;,javax.servlet-api-3.1.0,4
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::ACCEPT,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::CONTENT_LANGUAGE,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,javax.servlet.DispatcherType::INCLUDE,Ljavax/servlet/DispatcherType;,javax.servlet-api-3.1.0,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::SET_COOKIE,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpMethod::CONNECT,Lorg/eclipse/jetty/http/HttpMethod;,jetty-http-9.4.26.v20200117,3
jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.thread.Invocable$InvocationType::EITHER,Lorg/eclipse/jetty/util/thread/Invocable$InvocationType;,jetty-util-9.4.26.v20200117,4
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::DATE,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,2
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.QuotedQualityCSV::MOST_SPECIFIC_MIME_ORDERING,Ljava/util/function/ToIntFunction;,jetty-http-9.4.26.v20200117,1
jetty-servlet-9.4.26.v20200117,javax.servlet.DispatcherType::INCLUDE,Ljavax/servlet/DispatcherType;,javax.servlet-api-3.1.0,7
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::CONTENT_TYPE,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,10
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MimeTypes$Type::TEXT_HTML,Lorg/eclipse/jetty/http/MimeTypes$Type;,jetty-http-9.4.26.v20200117,3
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpScheme::HTTPS,Lorg/eclipse/jetty/http/HttpScheme;,jetty-http-9.4.26.v20200117,4
jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::LOCATION,Lorg/eclipse/jetty/http/HttpHeader;,jetty-http-9.4.26.v20200117,1
jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.BufferUtil::EMPTY_BUFFER,Ljava/nio/ByteBuffer;,jetty-util-9.4.26.v20200117,11
