Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.eclipse.jetty.util.component.ContainerLifeCycle::doStart()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::doStart()V,org.eclipse.jetty.server.ServerConnector::doStart()V,jetty-server-9.4.26.v20200117,1
javax.servlet.http.HttpServlet::service(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,javax.servlet-api-3.1.0,javax.servlet.http.HttpServletRequest::getMethod()Ljava/lang/String;,org.eclipse.jetty.server.Request::getMethod()Ljava/lang/String;,jetty-server-9.4.26.v20200117,56
org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,org.eclipse.jetty.server.HttpConnectionFactory::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.http.HttpGenerator::generateResponse(Lorg/eclipse/jetty/http/MetaData$Response;ZLjava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Z)Lorg/eclipse/jetty/http/HttpGenerator$Result;,jetty-http-9.4.26.v20200117,org.eclipse.jetty.util.BufferUtil::length(Ljava/nio/ByteBuffer;)I,org.eclipse.jetty.util.BufferUtil::length(Ljava/nio/ByteBuffer;)I,jetty-util-9.4.26.v20200117,56
org.junit.runner.notification.SynchronizedRunListener::testStarted(Lorg/junit/runner/Description;)V,junit-4.12,org.junit.runner.notification.RunListener::testStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4.JUnit4RunListener::testStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4,771
org.eclipse.jetty.http.HttpParser::parseFields(Ljava/nio/ByteBuffer;)Z,jetty-http-9.4.26.v20200117,org.eclipse.jetty.util.Trie::getBest(Ljava/nio/ByteBuffer;II)Ljava/lang/Object;,org.eclipse.jetty.util.ArrayTrie::getBest(Ljava/nio/ByteBuffer;II)Ljava/lang/Object;,jetty-util-9.4.26.v20200117,152
org.eclipse.jetty.server.AbstractConnector::getConnectionFactory(Ljava/lang/Class;)Ljava/lang/Object;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.thread.Locker$Lock::close()V,org.eclipse.jetty.util.thread.Locker$Lock::close()V,jetty-util-9.4.26.v20200117,1
org.eclipse.jetty.server.handler.HandlerWrapper::setHandler(Lorg/eclipse/jetty/server/Handler;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.server.HandlerContainer::getChildHandlers()[Lorg/eclipse/jetty/server/Handler;,org.eclipse.jetty.servlet.ServletHandler::getChildHandlers()[Lorg/eclipse/jetty/server/Handler;,jetty-servlet-9.4.26.v20200117,1
org.eclipse.jetty.util.component.AbstractLifeCycle::start()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::doStart()V,org.eclipse.jetty.server.ServerConnector$ServerConnectorManager::doStart()V,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.server.handler.ScopedHandler::nextScope(Ljava/lang/String;Lorg/eclipse/jetty/server/Request;Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.server.handler.ScopedHandler::doHandle(Ljava/lang/String;Lorg/eclipse/jetty/server/Request;Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,org.eclipse.jetty.servlet.ServletHandler::doHandle(Ljava/lang/String;Lorg/eclipse/jetty/server/Request;Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,jetty-servlet-9.4.26.v20200117,56
javax.servlet.http.HttpServlet::service(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,javax.servlet-api-3.1.0,javax.servlet.http.HttpServlet::getLastModified(Ljavax/servlet/http/HttpServletRequest;)J,org.jsoup.integration.servlets.HelloServlet::getLastModified(Ljavax/servlet/http/HttpServletRequest;)J,org.jsoup.integration.servlets,2
org.eclipse.jetty.server.HttpConnection::onCompleted()V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.io.ByteBufferPool::release(Ljava/nio/ByteBuffer;)V,org.eclipse.jetty.io.ArrayByteBufferPool::release(Ljava/nio/ByteBuffer;)V,jetty-io-9.4.26.v20200117,5
