Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Label
org.apache.rocketmq.srvutil.FileWatchService::FileWatchService([Ljava/lang/String;Lorg/apache/rocketmq/srvutil/FileWatchService$Listener;)V	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	-	-	1	false	false	LibToLib
org.yaml.snakeyaml.introspector.PropertyUtils::isTransient(Ljava/beans/FeatureDescriptor;)Z	org.yaml:snakeyaml:1.19	public	java.util.logging.Logger::fine(Ljava/lang/String;)V	java.util.logging	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.common.AclUtils::combineRequestContent(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/util/SortedMap;)[B	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getBody()[B	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclSigner::signAndBase64Encode([BLjava/lang/String;Lorg/apache/rocketmq/acl/common/SigningAlgorithm;Ljava/nio/charset/Charset;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.codec.binary.Base64::encodeBase64([B)[B	commons-codec:commons-codec:1.9	org.apache.commons.codec.binary.Base64::encodeBase64([B)[B	commons-codec:commons-codec:1.9	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclUtils::getAddresses(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory$RangeRemoteAddressStrategy::ipv6Analysis([Ljava/lang/String;I)Z	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclSigner::signAndBase64Encode(Ljava/lang/String;Ljava/lang/String;Lorg/apache/rocketmq/acl/common/SigningAlgorithm;Ljava/nio/charset/Charset;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.codec.binary.Base64::encodeBase64([B)[B	commons-codec:commons-codec:1.9	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::load()V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	com.alibaba.fastjson.JSONObject::getJSONArray(Ljava/lang/String;)Lcom/alibaba/fastjson/JSONArray;	com.alibaba:fastjson:1.2.76	com.alibaba.fastjson.JSONObject::getJSONArray(Ljava/lang/String;)Lcom/alibaba/fastjson/JSONArray;	com.alibaba:fastjson:1.2.76	3	false	false	ClientToLib
org.apache.rocketmq.acl.common.AclSigner::signAndBase64Encode(Ljava/lang/String;Ljava/lang/String;Lorg/apache/rocketmq/acl/common/SigningAlgorithm;Ljava/nio/charset/Charset;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Throwable;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	ClientToLib
com.alibaba.fastjson.serializer.CalendarCodec::createXMLGregorianCalendar(Ljava/util/Calendar;)Ljavax/xml/datatype/XMLGregorianCalendar;	com.alibaba:fastjson:1.2.76	public	javax.xml.datatype.DatatypeFactory::newXMLGregorianCalendar(Ljava/util/GregorianCalendar;)Ljavax/xml/datatype/XMLGregorianCalendar;	javax.xml.datatype	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.common.Permission::parseResourcePerms(Lorg/apache/rocketmq/acl/plain/PlainAccessResource;Ljava/lang/Boolean;Ljava/util/List;)V	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	ClientToLib
org.apache.rocketmq.common.ServiceThread::shutdown(Z)V	org.apache.rocketmq:rocketmq-common:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Throwable;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader::getConsumerGroup()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getCode()I	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.remoting.protocol.RemotingCommand::decodeCommandCustomHeader(Ljava/lang/Class;)Lorg/apache/rocketmq/remoting/CommandCustomHeader;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	-	-	1	false	false	LibToLib
org.apache.rocketmq.srvutil.FileWatchService::hash(Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	java.security.MessageDigest::update([B)V	java.security	-	-	1	false	false	LibToLib
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.common.PlainAccessConfig::setAccessKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::setAccessKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	2	true	false	LibToLib
org.apache.rocketmq.srvutil.FileWatchService::FileWatchService([Ljava/lang/String;Lorg/apache/rocketmq/srvutil/FileWatchService$Listener;)V	org.apache.rocketmq:rocketmq-srvutil:4.9.1	public	org.apache.commons.lang3.StringUtils::isNotEmpty(Ljava/lang/CharSequence;)Z	org.apache.commons:commons-lang3:3.4	-	-	1	false	false	LibToLib
org.apache.rocketmq.remoting.protocol.RemotingSerializable::toJson(Ljava/lang/Object;Z)Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	com.alibaba.fastjson.JSON::toJSONString(Ljava/lang/Object;Z)Ljava/lang/String;	com.alibaba:fastjson:1.2.76	com.alibaba.fastjson.JSON::toJSONString(Ljava/lang/Object;Z)Ljava/lang/String;	com.alibaba:fastjson:1.2.76	1	false	false	LibToLib
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V	com.alibaba:fastjson:1.2.76	public	org.apache.rocketmq.common.PlainAccessConfig::setSecretKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.PlainAccessConfig::setSecretKey(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	2	true	false	LibToLib
javax.xml.parsers.SAXParser::parse(Lorg/xml/sax/InputSource;Lorg/xml/sax/HandlerBase;)V	javax.xml.parsers	public	org.xml.sax.Parser::setErrorHandler(Lorg/xml/sax/ErrorHandler;)V	org.xml.sax	-	-	1	false	false	LibToLib
org.apache.rocketmq.acl.plain.PlainPermissionManager::buildPlainAccessResource(Lorg/apache/rocketmq/common/PlainAccessConfig;)Lorg/apache/rocketmq/acl/plain/PlainAccessResource;	org.apache.rocketmq:rocketmq-acl:4.9.1	public	org.apache.rocketmq.common.PlainAccessConfig::getSecretKey()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
