Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Label
org.apache.rocketmq.client.impl.consumer.DefaultLitePullConsumerImpl::subscribe(Ljava/lang/String;Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.filter.FilterAPI::buildSubscriptionData(Ljava/lang/String;Ljava/lang/String;)Lorg/apache/rocketmq/common/protocol/heartbeat/SubscriptionData;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.producer.DefaultMQProducerImpl::request(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/common/message/MessageQueue;Lorg/apache/rocketmq/client/producer/RequestCallback;J)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.Message::getProperty(Ljava/lang/String;)Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.PullAPIWrapper::pullKernelImpl(Lorg/apache/rocketmq/common/message/MessageQueue;Ljava/lang/String;Ljava/lang/String;JJIIJJJLorg/apache/rocketmq/client/impl/CommunicationMode;Lorg/apache/rocketmq/client/consumer/PullCallback;)Lorg/apache/rocketmq/client/consumer/PullResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader::setExpressionType(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::fetchConsumeStatsInBroker(Ljava/lang/String;ZJ)Lorg/apache/rocketmq/common/protocol/body/ConsumeStatsList;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.body.ConsumeStatsList::decode([BLjava/lang/Class;)Ljava/lang/Object;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.producer.DefaultMQProducerImpl::sendKernelImpl(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/common/message/MessageQueue;Lorg/apache/rocketmq/client/impl/CommunicationMode;Lorg/apache/rocketmq/client/producer/SendCallback;Lorg/apache/rocketmq/client/impl/producer/TopicPublishInfo;J)Lorg/apache/rocketmq/client/producer/SendResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::setBornTimestamp(Ljava/lang/Long;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::setBornTimestamp(Ljava/lang/Long;)V	org.apache.rocketmq:rocketmq-common:4.9.1	12	false	false	ClientToLib
org.apache.rocketmq.client.log.ClientLogger::createClientAppender()Lorg/apache/rocketmq/logging/inner/Appender;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.inner.LoggingBuilder$AppenderBuilder::withAsync(ZI)Lorg/apache/rocketmq/logging/inner/LoggingBuilder$AppenderBuilder;	org.apache.rocketmq:rocketmq-logging:4.9.1	org.apache.rocketmq.logging.inner.LoggingBuilder$AppenderBuilder::withAsync(ZI)Lorg/apache/rocketmq/logging/inner/LoggingBuilder$AppenderBuilder;	org.apache.rocketmq:rocketmq-logging:4.9.1	3	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl::resetRetryAndNamespace(Ljava/util/List;Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.MessageExt::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::consumerSendMessageBack(Ljava/lang/String;Lorg/apache/rocketmq/common/message/MessageExt;Ljava/lang/String;IJI)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.MessageExt::getCommitLogOffset()J	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.factory.MQClientInstance::topicRouteData2TopicSubscribeInfo(Ljava/lang/String;Lorg/apache/rocketmq/common/protocol/route/TopicRouteData;)Ljava/util/Set;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.constant.PermName::isReadable(I)Z	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.MQClientAPIImpl::queryTopicConsumeByWho(Ljava/lang/String;Ljava/lang/String;J)Lorg/apache/rocketmq/common/protocol/body/GroupList;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getRemark()Ljava/lang/String;	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	1	false	false	ClientToLib
