Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
packageA.foo.CallbackCaller::callbackCallerMethod(LpackageA/foo/CallbackInterface;)V,microbenchmark1-library-1.0-SNAPSHOT,packageA.foo.CallbackInterface::callbackMethod()V,callback.CallbackClient$1::callbackMethod()V,microbenchmark1-client,1
misc.Client::miscClientMethod()V,microbenchmark1-client,packageA.SubClass::method2()V,packageA.SubClass::method2()V,microbenchmark1-library-1.0-SNAPSHOT,1
types.TypesClient::clientMethod(LpackageA/RandomTypes;)V,microbenchmark1-client,packageA.RandomTypes::getString(I)Ljava/lang/String;,packageA.RandomTypes::getString(I)Ljava/lang/String;,microbenchmark1-library-1.0-SNAPSHOT,1
misc.Client::clientMethod1(LpackageA/RandomTypes;)V,microbenchmark1-client,packageA.RandomTypes::getInt()I,packageA.RandomTypes::getInt()I,microbenchmark1-library-1.0-SNAPSHOT,1
callback.CallbackClient::callbackClientMethod()V,microbenchmark1-client,packageA.foo.CallbackCaller::callbackCallerMethod(LpackageA/foo/CallbackInterface;)V,packageA.foo.CallbackCaller::callbackCallerMethod(LpackageA/foo/CallbackInterface;)V,microbenchmark1-library-1.0-SNAPSHOT,2
org.junit.runners.BlockJUnit4ClassRunner::getExpectedException(Lorg/junit/Test;)Ljava/lang/Class;,junit-4.12,org.junit.Test::expected()Ljava/lang/Class;,com.sun.proxy.$Proxy6::expected()Ljava/lang/Class;,com.sun.proxy,3
org.junit.runners.BlockJUnit4ClassRunner::getTimeout(Lorg/junit/Test;)J,junit-4.12,org.junit.Test::timeout()J,com.sun.proxy.$Proxy6::timeout()J,com.sun.proxy,3
types.TypesClient::clientMethod(LpackageA/RandomTypes;)V,microbenchmark1-client,packageA.RandomTypes::getLongArray()[J,packageA.RandomTypes::getLongArray()[J,microbenchmark1-library-1.0-SNAPSHOT,1
types.TypesClient::typesClientMethod()V,microbenchmark1-client,packageA.RandomTypes::getBoolean()Z,packageA.RandomTypes::getBoolean()Z,microbenchmark1-library-1.0-SNAPSHOT,1
org.junit.runner.notification.SynchronizedRunListener::testFinished(Lorg/junit/runner/Description;)V,junit-4.12,org.junit.runner.notification.RunListener::testFinished(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4.JUnit4RunListener::testFinished(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4,3
org.junit.runner.notification.SynchronizedRunListener::testStarted(Lorg/junit/runner/Description;)V,junit-4.12,org.junit.runner.notification.RunListener::testStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4.JUnit4RunListener::testStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4,3
types.TypesClient::typesClientMethod()V,microbenchmark1-client,packageA.RandomTypes::getChar()C,packageA.RandomTypes::getChar()C,microbenchmark1-library-1.0-SNAPSHOT,1
misc.Client::miscClientMethod()V,microbenchmark1-client,packageA.SuperClass::method1()V,packageA.SubClass::method1()V,microbenchmark1-library-1.0-SNAPSHOT,1
misc.Client::clientMethod1(LpackageA/RandomTypes;)V,microbenchmark1-client,packageA.RandomTypes::getDouble()D,packageA.RandomTypes::getDouble()D,microbenchmark1-library-1.0-SNAPSHOT,1
org.junit.runner.notification.SynchronizedRunListener::testRunFinished(Lorg/junit/runner/Result;)V,junit-4.12,org.junit.runner.notification.RunListener::testRunFinished(Lorg/junit/runner/Result;)V,org.apache.maven.surefire.common.junit4.JUnit4RunListener::testRunFinished(Lorg/junit/runner/Result;)V,org.apache.maven.surefire.common.junit4,1
misc.Client::miscClientMethod()V,microbenchmark1-client,packageA.SuperClass::method2()V,packageA.SuperClass::method2()V,microbenchmark1-library-1.0-SNAPSHOT,1
org.junit.runner.notification.SynchronizedRunListener::testRunStarted(Lorg/junit/runner/Description;)V,junit-4.12,org.junit.runner.notification.RunListener::testRunStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4.JUnit4RunListener::testRunStarted(Lorg/junit/runner/Description;)V,org.apache.maven.surefire.common.junit4,1
misc.Client::miscClientMethod()V,microbenchmark1-client,packageB.bar.Middle::getValue1()I,packageB.bar.Middle::getValue1()I,microbenchmark1-library-1.0-SNAPSHOT,1
misc.Client::miscClientMethod()V,microbenchmark1-client,packageB.bar.Middle::getValue2()Ljava/lang/String;,packageB.bar.Middle::getValue2()Ljava/lang/String;,microbenchmark1-library-1.0-SNAPSHOT,1
misc.Client::miscClientMethod()V,microbenchmark1-client,packageB.baz.External::getText()Ljava/lang/String;,packageB.baz.External::getText()Ljava/lang/String;,microbenchmark1-library-1.0-SNAPSHOT,1
