Class Name	Class Visibility	Class Library	Usage	Used In Library
com.fasterxml.jackson.core.type.ResolvedType	public	com.fasterxml.jackson.core:jackson-core:2.12.4	subtyping	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.annotation.JsonIgnore	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.annotation.JsonProperty$Access	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.databind.node.NullNode	default	com.fasterxml.jackson.core:jackson-databind:2.12.4	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.core.filter.FilteringParserDelegate	public	com.fasterxml.jackson.core:jackson-core:2.12.4	instantiation	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.core.JsonParseException	public	com.fasterxml.jackson.core:jackson-core:2.12.4	instantiation	com.fasterxml.jackson.core:jackson-databind:2.12.4
org.json.JSONObject	public	org.json:json:20210307	Class.forName	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.annotation.JsonFormat$Shape	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	method call	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.annotation.ObjectIdGenerator	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.annotation.JsonProperty$Access	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	method call	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.databind.ObjectMapper	public	com.fasterxml.jackson.core:jackson-databind:2.12.4	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
javax.json.stream.JsonParserFactory	public	org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5	subtyping	org.apache.johnzon:johnzon-core:1.2.14
org.json.JSONArray	public	org.json:json:20210307	cast	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.annotation.JsonMerge	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.google.gson.JsonObject	public	com.google.code.gson:gson:2.8.8	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.annotation.JsonSetter$Value	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	method call	com.fasterxml.jackson.core:jackson-databind:2.12.4
java.lang.String	public	unknownLib	Class.forName	net.javacrumbs.json-unit:json-unit-core:2.28.0
org.apache.johnzon.core.JsonProviderImpl	public	org.apache.johnzon:johnzon-core:1.2.14	method call	org.apache.johnzon:johnzon-mapper:1.2.14
org.json.JSONTokener	public	org.json:json:20210307	instantiation	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.annotation.JsonIncludeProperties$Value	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	method call	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.squareup.moshi.Moshi	public	com.squareup.moshi:moshi:1.12.0	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.core.JsonProcessingException	public	com.fasterxml.jackson.core:jackson-core:2.12.4	subtyping	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.google.gson.JsonPrimitive	public	com.google.code.gson:gson:2.8.8	cast	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.core.TreeNode	public	com.fasterxml.jackson.core:jackson-core:2.12.4	subtyping	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.databind.MappingJsonFactory	public	com.fasterxml.jackson.core:jackson-databind:2.12.4	method call	com.fasterxml.jackson.core:jackson-core:2.12.4
com.google.gson.JsonObject	public	com.google.code.gson:gson:2.8.8	cast	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.annotation.JsonFormat	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.annotation.JsonUnwrapped	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
org.json.JSONArray	public	org.json:json:20210307	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.core.json.JsonWriteContext	public	com.fasterxml.jackson.core:jackson-core:2.12.4	method call	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.core.filter.JsonPointerBasedFilter	public	com.fasterxml.jackson.core:jackson-core:2.12.4	instantiation	com.fasterxml.jackson.core:jackson-databind:2.12.4
java.sql.Date	public	java.sql	cast	com.google.code.gson:gson:2.8.8
com.fasterxml.jackson.core.io.SegmentedStringWriter	public	com.fasterxml.jackson.core:jackson-core:2.12.4	method call	com.fasterxml.jackson.core:jackson-databind:2.12.4
okio.Buffer	public	com.squareup.okio:okio:2.10.0	instantiation	com.squareup.moshi:moshi:1.12.0
com.fasterxml.jackson.annotation.JsonAnySetter	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.squareup.moshi.internal.NullSafeJsonAdapter	public	com.squareup.moshi:moshi:1.12.0	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
com.fasterxml.jackson.core.json.JsonReadFeature	public	com.fasterxml.jackson.core:jackson-core:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.annotation.JsonValue	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
com.google.gson.JsonPrimitive	public	com.google.code.gson:gson:2.8.8	method call	net.javacrumbs.json-unit:json-unit-core:2.28.0
kotlin.jvm.internal.Intrinsics	public	org.jetbrains.kotlin:kotlin-stdlib:1.4.31	method call	com.squareup.okio:okio:2.10.0
com.fasterxml.jackson.annotation.JsonIgnoreProperties	public	com.fasterxml.jackson.core:jackson-annotations:2.12.4	cast	com.fasterxml.jackson.core:jackson-databind:2.12.4
