Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
com.fasterxml.jackson.databind.deser.std.BaseNodeDeserializer::_fromInt(Lcom/fasterxml/jackson/core/JsonParser;Lcom/fasterxml/jackson/databind/DeserializationContext;Lcom/fasterxml/jackson/databind/node/JsonNodeFactory;)Lcom/fasterxml/jackson/databind/JsonNode;,com.fasterxml.jackson.core:jackson-databind:2.12.4,public,com.fasterxml.jackson.core.JsonParser::getIntValue()I,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.core.json.ReaderBasedJsonParser::getIntValue()I,com.fasterxml.jackson.core:jackson-core:2.12.4,67,false,false,
net.javacrumbs.jsonunit.core.internal.Jackson2NodeFactory$Jackson2Node::get(Ljava/lang/String;)Lnet/javacrumbs/jsonunit/core/internal/Node;,net.javacrumbs.json-unit:json-unit-core:2.28.0,public,com.fasterxml.jackson.databind.JsonNode::get(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/JsonNode;,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.databind.node.ObjectNode::get(Ljava/lang/String;)Lcom/fasterxml/jackson/databind/JsonNode;,com.fasterxml.jackson.core:jackson-databind:2.12.4,68,false,false,
com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;,com.fasterxml.jackson.core:jackson-core:2.12.4,protected,com.fasterxml.jackson.core.JsonFactory::_decorate(Ljava/io/Reader;Lcom/fasterxml/jackson/core/io/IOContext;)Ljava/io/Reader;,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.databind.MappingJsonFactory::_decorate(Ljava/io/Reader;Lcom/fasterxml/jackson/core/io/IOContext;)Ljava/io/Reader;,com.fasterxml.jackson.core:jackson-databind:2.12.4,63,false,false,
net.javacrumbs.jsonunit.core.internal.GsonNodeFactory$GsonNode::asText()Ljava/lang/String;,net.javacrumbs.json-unit:json-unit-core:2.28.0,public,com.google.gson.JsonElement::getAsString()Ljava/lang/String;,com.google.code.gson:gson:2.8.8,com.google.gson.JsonPrimitive::getAsString()Ljava/lang/String;,com.google.code.gson:gson:2.8.8,4,false,false,
net.javacrumbs.jsonunit.core.internal.JsonOrgNodeFactory::newNode(Ljava/lang/Object;)Lnet/javacrumbs/jsonunit/core/internal/Node;,net.javacrumbs.json-unit:json-unit-core:2.28.0,public,org.json.JSONObject::wrap(Ljava/lang/Object;)Ljava/lang/Object;,org.json:json:20210307,org.json.JSONObject::wrap(Ljava/lang/Object;)Ljava/lang/Object;,org.json:json:20210307,2,false,false,
com.fasterxml.jackson.databind.util.TokenBuffer::writeStartObject(Ljava/lang/Object;)V,com.fasterxml.jackson.core:jackson-databind:2.12.4,public,com.fasterxml.jackson.core.json.JsonWriteContext::writeValue()I,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.core.json.JsonWriteContext::writeValue()I,com.fasterxml.jackson.core:jackson-core:2.12.4,1,false,false,
com.fasterxml.jackson.databind.util.TokenBuffer::writeStartObject(Ljava/lang/Object;)V,com.fasterxml.jackson.core:jackson-databind:2.12.4,public,com.fasterxml.jackson.core.json.JsonWriteContext::createChildObjectContext(Ljava/lang/Object;)Lcom/fasterxml/jackson/core/json/JsonWriteContext;,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.core.json.JsonWriteContext::createChildObjectContext(Ljava/lang/Object;)Lcom/fasterxml/jackson/core/json/JsonWriteContext;,com.fasterxml.jackson.core:jackson-core:2.12.4,1,false,false,
com.fasterxml.jackson.databind.node.ObjectNode::serialize(Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,com.fasterxml.jackson.core:jackson-databind:2.12.4,public,com.fasterxml.jackson.core.JsonGenerator::writeStartObject(Ljava/lang/Object;)V,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator::writeStartObject(Ljava/lang/Object;)V,com.fasterxml.jackson.core:jackson-core:2.12.4,3,false,false,
com.fasterxml.jackson.databind.node.ObjectNode::serialize(Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,com.fasterxml.jackson.core:jackson-databind:2.12.4,public,com.fasterxml.jackson.core.JsonGenerator::writeFieldName(Ljava/lang/String;)V,com.fasterxml.jackson.core:jackson-core:2.12.4,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator::writeFieldName(Ljava/lang/String;)V,com.fasterxml.jackson.core:jackson-core:2.12.4,3,false,false,
okio.Buffer::readString(JLjava/nio/charset/Charset;)Ljava/lang/String;,com.squareup.okio:okio:2.10.0,public,kotlin.jvm.internal.Intrinsics::checkNotNullParameter(Ljava/lang/Object;Ljava/lang/String;)V,org.jetbrains.kotlin:kotlin-stdlib:1.4.31,kotlin.jvm.internal.Intrinsics::checkNotNullParameter(Ljava/lang/Object;Ljava/lang/String;)V,org.jetbrains.kotlin:kotlin-stdlib:1.4.31,6,false,false,
com.fasterxml.jackson.databind.ser.std.NumberSerializers$Base::createContextual(Lcom/fasterxml/jackson/databind/SerializerProvider;Lcom/fasterxml/jackson/databind/BeanProperty;)Lcom/fasterxml/jackson/databind/JsonSerializer;,com.fasterxml.jackson.core:jackson-databind:2.12.4,public,com.fasterxml.jackson.annotation.JsonFormat$Shape::ordinal()I,com.fasterxml.jackson.core:jackson-annotations:2.12.4,com.fasterxml.jackson.annotation.JsonFormat$Shape::ordinal()I,com.fasterxml.jackson.core:jackson-annotations:2.12.4,3,false,false,
