SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.apache.johnzon.core.JohnzonJsonParser,org.apache.johnzon:johnzon-core:1.2.14,javax.json.stream.JsonParser,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
org.apache.johnzon.core.JsonWriterFactoryImpl,org.apache.johnzon:johnzon-core:1.2.14,javax.json.JsonWriterFactory,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.type.ResolvedType,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.util.TokenBufferReadContext,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.JsonStreamContext,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
org.apache.johnzon.mapper.MapperException,org.apache.johnzon:johnzon-mapper:1.2.14,javax.json.JsonException,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.ObjectReader,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
org.apache.johnzon.core.JsonProviderImpl,org.apache.johnzon:johnzon-core:1.2.14,javax.json.spi.JsonProvider,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.Module,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.AnnotationIntrospector,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.node.TreeTraversingParser,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.base.ParserMinimalBase,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.MappingJsonFactory,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.JsonFactory,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
org.apache.johnzon.core.JsonParserFactoryImpl,org.apache.johnzon:johnzon-core:1.2.14,javax.json.stream.JsonParserFactory,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.ser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.12.4,1
com.fasterxml.jackson.databind.ObjectWriter,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.JsonMappingException,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.JsonProcessingException,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
org.apache.johnzon.core.JsonGeneratorFactoryImpl,org.apache.johnzon:johnzon-core:1.2.14,javax.json.stream.JsonGeneratorFactory,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator,public,com.fasterxml.jackson.core:jackson-annotations:2.12.4,1
org.apache.johnzon.core.JsonReaderFactoryImpl,org.apache.johnzon:johnzon-core:1.2.14,javax.json.JsonReaderFactory,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.util.TokenBuffer$Parser,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.base.ParserMinimalBase,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
org.apache.johnzon.core.JsonBuilderFactoryImpl,org.apache.johnzon:johnzon-core:1.2.14,javax.json.JsonBuilderFactory,public,org.apache.geronimo.specs:geronimo-json_1.1_spec:1.5,1
com.fasterxml.jackson.databind.util.TokenBuffer,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.JsonGenerator,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core.TreeNode,public,com.fasterxml.jackson.core:jackson-core:2.12.4,1
