Class Name,Class Visibility,Class Library,Usage,Used In Library
org.apache.flink.api.common.typeutils.base.array.StringArraySerializer$StringArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.FloatPrimitiveArraySerializer$FloatPrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.IntPrimitiveArraySerializer$IntPrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.DoublePrimitiveArraySerializer$DoublePrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.LocalTimeSerializer$LocalTimeSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.IntValueSerializer$IntValueSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.BooleanSerializer$BooleanSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.EnumSerializer$EnumSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.LongSerializer$LongSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
java.nio.DirectByteBuffer,default,unknownLib,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.BooleanPrimitiveArraySerializer$BooleanPrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.CharPrimitiveArraySerializer$CharPrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.ShortPrimitiveArraySerializer$ShortPrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.LongPrimitiveArraySerializer$LongPrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.BytePrimitiveArraySerializer$BytePrimitiveArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.java.This0AccessFinder$1,default,org.apache.flink:flink-core:1.14.0,method call,org.apache.flink:flink-shaded-asm-7:7.1-14.0
org.apache.flink.api.common.typeutils.base.BigDecSerializer$BigDecSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.FloatValueSerializer$FloatValueSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.LocalDateTimeSerializer$LocalDateTimeSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.FloatSerializer$FloatSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeinfo.IntegerTypeInfo,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.LongSerializer$LongSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.java.tuple.Tuple3,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.SqlDateSerializer$SqlDateSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeinfo.FractionalTypeInfo,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.TypeSerializerSerializationUtilTest$1,default,unknownLib,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.ShortComparator,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.array.StringArraySerializer$StringArraySerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.ShortSerializer,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.ListSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
java.lang.Enum,public,unknownLib,Class.forName,org.apache.flink:flink-core:1.14.0
java.lang.Double,public,unknownLib,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.DoubleComparator,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.IntValueSerializer$IntValueSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.shaded.asm7.org.objectweb.asm.MethodVisitor,public,org.apache.flink:flink-shaded-asm-7:7.1-14.0,subtyping,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.java.typeutils.PojoField,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.typeutils.base.DoubleSerializer$DoubleSerializerSnapshot,public,org.apache.flink:flink-core:1.14.0,Class.forName,org.apache.flink:flink-core:1.14.0
java.lang.Byte,public,unknownLib,Class.forName,org.apache.flink:flink-core:1.14.0
java.lang.reflect.Proxy,public,unknownLib,Class.forName,org.apache.flink:flink-core:1.14.0
