Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.eventtime.WatermarkStrategyTest$1::this$0	org.apache.flink.api.common.eventtime.WatermarkStrategyTest$1	org.apache.flink.api.common.eventtime.WatermarkStrategyTest$1	org.apache.flink.api.common.eventtime.WatermarkStrategyTest	FALSE	default	unknownLib	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.eventtime.WatermarkStrategyWithIdleness::serialVersionUID	org.apache.flink.api.common.eventtime.WatermarkStrategyWithIdleness	org.apache.flink.api.common.eventtime.WatermarkStrategyWithIdleness	long	TRUE	private	org.apache.flink:flink-core:1.14.0	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.operators.base.MapOperatorTest$2::val$closed	org.apache.flink.api.common.operators.base.MapOperatorTest$2	org.apache.flink.api.common.operators.base.MapOperatorTest$2	java.util.concurrent.atomic.AtomicBoolean	FALSE	default	unknownLib	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.operators.util.TestNonRichOutputFormat::output	org.apache.flink.api.common.operators.util.TestNonRichOutputFormat	org.apache.flink.api.common.operators.util.TestNonRichOutputFormat	java.util.List<java.lang.String>	FALSE	public	unknownLib	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.operators.base.MapOperatorTest$2::this$0	org.apache.flink.api.common.operators.base.MapOperatorTest$2	org.apache.flink.api.common.operators.base.MapOperatorTest$2	org.apache.flink.api.common.operators.base.MapOperatorTest	FALSE	default	unknownLib	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest$MyGenericPojo::field	org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest$MyGenericPojo	org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest$MyGenericPojo	T[][]	FALSE	public	unknownLib	TRUE	288
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.operators.util.TestRichOutputFormat::output	org.apache.flink.api.common.operators.util.TestRichOutputFormat	org.apache.flink.api.common.operators.util.TestRichOutputFormat	java.util.List<java.lang.String>	FALSE	public	unknownLib	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.eventtime.TimestampAssignerSupplier$SupplierFromSerializableTimestampAssigner::serialVersionUID	org.apache.flink.api.common.eventtime.TimestampAssignerSupplier$SupplierFromSerializableTimestampAssigner	org.apache.flink.api.common.eventtime.TimestampAssignerSupplier$SupplierFromSerializableTimestampAssigner	long	TRUE	private	org.apache.flink:flink-core:1.14.0	TRUE	3
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.operators.base.MapOperatorTest$1::this$0	org.apache.flink.api.common.operators.base.MapOperatorTest$1	org.apache.flink.api.common.operators.base.MapOperatorTest$1	org.apache.flink.api.common.operators.base.MapOperatorTest	FALSE	default	unknownLib	TRUE	1
org.apache.flink:flink-core:1.14.0	org.apache.flink.api.common.eventtime.WatermarkStrategyWithTimestampAssigner::serialVersionUID	org.apache.flink.api.common.eventtime.WatermarkStrategyWithTimestampAssigner	org.apache.flink.api.common.eventtime.WatermarkStrategyWithTimestampAssigner	long	TRUE	private	org.apache.flink:flink-core:1.14.0	TRUE	5
