Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
org.apache.flink.core.memory.MemoryUtils::getUnsafe()Lsun/misc/Unsafe;	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	sun.misc.Unsafe::theUnsafe	sun.misc.Unsafe	unknownLib
org.apache.flink.api.java.typeutils.runtime.FieldSerializer::deserializeField(Ljava/io/ObjectInputStream;)Ljava/lang/reflect/Field;	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest$MyGenericPojo::field	T[][]	unknownLib
org.apache.flink.api.java.typeutils.runtime.FieldSerializer::deserializeField(Ljava/io/ObjectInputStream;)Ljava/lang/reflect/Field;	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.java.typeutils.PojoTypeInfoTest$TestPojo::aString	java.lang.String	unknownLib
org.apache.flink.api.java.ClosureCleaner::cleanThis0(Ljava/lang/Object;Ljava/lang/Class;Ljava/lang/String;)Z	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	default	org.apache.flink.api.common.eventtime.WatermarkStrategyTest$1::this$0	org.apache.flink.api.common.eventtime.WatermarkStrategyTest	unknownLib
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper::UserCodeObjectWrapper(Ljava/lang/Object;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.operators.util.TestNonRichInputFormat::count	int	unknownLib
org.apache.flink.api.java.ClosureCleaner::clean(Ljava/lang/Object;Lorg/apache/flink/api/common/ExecutionConfig$ClosureCleanerLevel;ZLjava/util/Set;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.eventtime.TimestampAssignerSupplier$SupplierFromSerializableTimestampAssigner::assigner	org.apache.flink.api.common.eventtime.SerializableTimestampAssigner<T>	org.apache.flink:flink-core:1.14.0
org.apache.flink.api.java.typeutils.runtime.FieldSerializer::deserializeField(Ljava/io/ObjectInputStream;)Ljava/lang/reflect/Field;	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.java.typeutils.PojoTypeInfoTest$AlternatePojo::someInt	int	unknownLib
org.apache.flink.api.java.ClosureCleaner::clean(Ljava/lang/Object;Lorg/apache/flink/api/common/ExecutionConfig$ClosureCleanerLevel;ZLjava/util/Set;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.eventtime.WatermarkStrategyWithTimestampAssigner::serialVersionUID	long	org.apache.flink:flink-core:1.14.0
org.apache.flink.api.java.typeutils.runtime.PojoFieldUtils::getField(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/reflect/Field;	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest$MyGenericPojo::field	T[][]	unknownLib
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper::UserCodeObjectWrapper(Ljava/lang/Object;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.common.operators.util.TestNonRichOutputFormat::output	java.util.List<java.lang.String>	unknownLib
org.apache.flink.api.java.typeutils.runtime.FieldSerializer::deserializeField(Ljava/io/ObjectInputStream;)Ljava/lang/reflect/Field;	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.java.typeutils.PojoTypeInfoTest$AlternatePojo::doubleArray	java.lang.Double[]	unknownLib
org.apache.flink.api.java.typeutils.runtime.PojoSerializer::PojoSerializer(Ljava/lang/Class;[Lorg/apache/flink/api/common/typeutils/TypeSerializer;[Ljava/lang/reflect/Field;Lorg/apache/flink/api/common/ExecutionConfig;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest$MyGenericPojo::field	T[][]	unknownLib
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper::UserCodeObjectWrapper(Ljava/lang/Object;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	default	org.apache.flink.api.common.operators.base.MapOperatorTest$2::this$0	org.apache.flink.api.common.operators.base.MapOperatorTest	unknownLib
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper::UserCodeObjectWrapper(Ljava/lang/Object;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.operators.util.TestNonRichInputFormat::NAMES	java.lang.String[]	unknownLib
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper::UserCodeObjectWrapper(Ljava/lang/Object;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	public	org.apache.flink.api.common.operators.util.TestRichOutputFormat::output	java.util.List<java.lang.String>	unknownLib
org.apache.flink.api.java.ClosureCleaner::clean(Ljava/lang/Object;Lorg/apache/flink/api/common/ExecutionConfig$ClosureCleanerLevel;ZLjava/util/Set;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.eventtime.TimestampAssignerSupplier$SupplierFromSerializableTimestampAssigner::serialVersionUID	long	org.apache.flink:flink-core:1.14.0
org.apache.flink.api.common.operators.util.UserCodeObjectWrapper::UserCodeObjectWrapper(Ljava/lang/Object;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	default	org.apache.flink.api.common.operators.base.MapOperatorTest$2::val$opened	java.util.concurrent.atomic.AtomicBoolean	unknownLib
org.apache.flink.api.java.ClosureCleaner::clean(Ljava/lang/Object;Lorg/apache/flink/api/common/ExecutionConfig$ClosureCleanerLevel;ZLjava/util/Set;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.eventtime.WatermarkStrategyWithTimestampAssigner::timestampAssigner	org.apache.flink.api.common.eventtime.TimestampAssignerSupplier<T>	org.apache.flink:flink-core:1.14.0
org.apache.flink.api.java.ClosureCleaner::clean(Ljava/lang/Object;Lorg/apache/flink/api/common/ExecutionConfig$ClosureCleanerLevel;ZLjava/util/Set;)V	org.apache.flink:flink-core:1.14.0	java.lang.reflect.Field	private	org.apache.flink.api.common.eventtime.WatermarkStrategyWithIdleness::idlenessTimeout	java.time.Duration	org.apache.flink:flink-core:1.14.0
