Class Name,Class Visibility,Class Library,Usage,Used In Library
org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,subtyping,org.apache.rocketmq:rocketmq-common:4.9.1
org.yaml.snakeyaml.Yaml,public,org.yaml:snakeyaml:1.19,instantiation,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.rocketmq.srvutil.FileWatchService,public,org.apache.rocketmq:rocketmq-srvutil:4.9.1,instantiation,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.rocketmq.srvutil.FileWatchService,public,org.apache.rocketmq:rocketmq-srvutil:4.9.1,method call,org.apache.rocketmq:rocketmq-acl:4.9.1
org.yaml.snakeyaml.Yaml,public,org.yaml:snakeyaml:1.19,method call,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.rocketmq.common.protocol.heartbeat.ConsumerData,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,com.alibaba:fastjson:1.2.76
org.apache.commons.validator.routines.InetAddressValidator,public,commons-validator:commons-validator:1.7,method call,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
org.apache.rocketmq.logging.Slf4jLoggerFactory$Slf4jLogger,public,org.apache.rocketmq:rocketmq-logging:4.9.1,method call,org.apache.rocketmq:rocketmq-acl:4.9.1
java.util.HashSet,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.fastjson.JSON,public,com.alibaba:fastjson:1.2.76,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.remoting.protocol.RemotingCommand,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
java.util.HashMap,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
com.alibaba.fastjson.JSONObject,public,com.alibaba:fastjson:1.2.76,cast,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.commons.lang3.StringUtils,public,org.apache.commons:commons-lang3:3.4,method call,org.apache.rocketmq:rocketmq-srvutil:4.9.1
org.apache.rocketmq.common.AclConfig,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-acl:4.9.1
org.apache.rocketmq.srvutil.FileWatchService,public,org.apache.rocketmq:rocketmq-srvutil:4.9.1,method call,org.apache.rocketmq:rocketmq-common:4.9.1
org.apache.rocketmq.common.protocol.heartbeat.MessageModel,public,org.apache.rocketmq:rocketmq-common:4.9.1,Class.forName,com.alibaba:fastjson:1.2.76
