Callee Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::topic	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2::m	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2	boolean	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::queueId	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	java.lang.Integer	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader::key	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	2
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader::sysFlag	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader	java.lang.Integer	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::bornTimestamp	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	java.lang.Long	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::unitMode	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	boolean	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::producerGroup	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader::topic	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	2
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader::topic	org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader	org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader::beginTimestamp	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	java.lang.Long	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	2
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2::k	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2	boolean	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::sysFlag	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	java.lang.Integer	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader::topic	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader::offset	org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader	org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader	java.lang.Long	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::reconsumeTimes	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	java.lang.Integer	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	5
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupRequestHeader::consumerGroup	org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupRequestHeader	org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupRequestHeader	java.lang.String	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	2
org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader::delayLevel	org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader	org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader	java.lang.Integer	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	1
org.apache.rocketmq:rocketmq-remoting:4.9.1	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader::maxNum	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	java.lang.Integer	FALSE	private	org.apache.rocketmq:rocketmq-common:4.9.1	TRUE	2
