Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
org.apache.rocketmq.acl.common.AclUtils::getAclRPCHook(Ljava/lang/String;)Lorg/apache/rocketmq/remoting/RPCHook;,org.apache.rocketmq:rocketmq-acl:4.9.1,public,com.alibaba.fastjson.JSONObject::getString(Ljava/lang/String;)Ljava/lang/String;,com.alibaba:fastjson:1.2.76,com.alibaba.fastjson.JSONObject::getString(Ljava/lang/String;)Ljava/lang/String;,com.alibaba:fastjson:1.2.76,2,false,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.PlainAccessConfig::setAdmin(Z)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.PlainAccessConfig::setAdmin(Z)V,org.apache.rocketmq:rocketmq-common:4.9.1,102,true,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.PlainAccessConfig::setTopicPerms(Ljava/util/List;)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.PlainAccessConfig::setTopicPerms(Ljava/util/List;)V,org.apache.rocketmq:rocketmq-common:4.9.1,50,true,false,
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader::getConsumerGroup()Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader::getConsumerGroup()Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.1,1,false,false,
org.apache.rocketmq.acl.plain.RemoteAddressStrategyFactory$RangeRemoteAddressStrategy::analysis([Ljava/lang/String;I)Z,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,org.apache.commons:commons-lang3:3.4,org.apache.commons.lang3.StringUtils::split(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,org.apache.commons:commons-lang3:3.4,8,false,false,
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData::getConsumerDataSet()Ljava/util/Set;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData::getConsumerDataSet()Ljava/util/Set;,org.apache.rocketmq:rocketmq-common:4.9.1,1,false,false,
org.apache.rocketmq.acl.plain.PlainAccessValidator::parse(Lorg/apache/rocketmq/remoting/protocol/RemotingCommand;Ljava/lang/String;)Lorg/apache/rocketmq/acl/AccessResource;,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.rocketmq.remoting.protocol.RemotingCommand::getCode()I,org.apache.rocketmq:rocketmq-remoting:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingCommand::getCode()I,org.apache.rocketmq:rocketmq-remoting:4.9.1,33,false,false,
org.apache.rocketmq.acl.plain.PlainPermissionManager::updateAccessConfig(Lorg/apache/rocketmq/common/PlainAccessConfig;)Z,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.rocketmq.common.PlainAccessConfig::getGroupPerms()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.PlainAccessConfig::getGroupPerms()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,6,false,false,
org.apache.rocketmq.acl.plain.PlainAccessResource::getRetryTopic(Ljava/lang/String;)Ljava/lang/String;,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.rocketmq.common.MixAll::getRetryTopic(Ljava/lang/String;)Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.MixAll::getRetryTopic(Ljava/lang/String;)Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.1,376,false,false,
org.apache.rocketmq.acl.plain.PlainPermissionManager::createAclAccessConfigMap(Ljava/util/Map;Lorg/apache/rocketmq/common/PlainAccessConfig;)Ljava/util/Map;,org.apache.rocketmq:rocketmq-acl:4.9.1,public,org.apache.commons.lang3.StringUtils::isEmpty(Ljava/lang/CharSequence;)Z,org.apache.commons:commons-lang3:3.4,org.apache.commons.lang3.StringUtils::isEmpty(Ljava/lang/CharSequence;)Z,org.apache.commons:commons-lang3:3.4,24,false,false,
