SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.header.UnregisterClientRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.acl.plain.PlainPermissionManager$2	org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.srvutil.FileWatchService$Listener	public	org.apache.rocketmq:rocketmq-srvutil:4.9.1	1
org.apache.rocketmq.common.protocol.header.ConsumerSendMsgBackRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.protocol.RemotingSerializable	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.acl.common.AclClientRPCHook	org.apache.rocketmq:rocketmq-acl:4.9.1	org.apache.rocketmq.remoting.RPCHook	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.CommandCustomHeader	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
org.apache.rocketmq.srvutil.FileWatchService	org.apache.rocketmq:rocketmq-srvutil:4.9.1	org.apache.rocketmq.common.ServiceThread	public	org.apache.rocketmq:rocketmq-common:4.9.1	1
org.apache.rocketmq.common.DataVersion	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.remoting.protocol.RemotingSerializable	public	org.apache.rocketmq:rocketmq-remoting:4.9.1	1
