Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.BrokerConfig::brokerPermission,org.apache.rocketmq.common.BrokerConfig,org.apache.rocketmq.common.BrokerConfig,int,false,private,org.apache.rocketmq:rocketmq-common:4.9.1,true,15
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.BrokerConfig::storeReplyMessageEnable,org.apache.rocketmq.common.BrokerConfig,org.apache.rocketmq.common.BrokerConfig,boolean,false,private,org.apache.rocketmq:rocketmq-common:4.9.1,true,15
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.BrokerConfig::longPollingEnable,org.apache.rocketmq.common.BrokerConfig,org.apache.rocketmq.common.BrokerConfig,boolean,false,private,org.apache.rocketmq:rocketmq-common:4.9.1,true,15
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.BrokerConfig::msgTraceTopicName,org.apache.rocketmq.common.BrokerConfig,org.apache.rocketmq.common.BrokerConfig,java.lang.String,false,private,org.apache.rocketmq:rocketmq-common:4.9.1,true,15
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.BrokerConfig::filterServerNums,org.apache.rocketmq.common.BrokerConfig,org.apache.rocketmq.common.BrokerConfig,int,false,private,org.apache.rocketmq:rocketmq-common:4.9.1,true,15
ch.qos.logback:logback-classic:1.0.13,ch.qos.logback.core.spi.FilterReply::ACCEPT,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,true,public,ch.qos.logback:logback-core:1.0.13,false,7
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.store.config.MessageStoreConfig::enableScheduleMessageStats,org.apache.rocketmq.store.config.MessageStoreConfig,org.apache.rocketmq.store.config.MessageStoreConfig,boolean,false,private,org.apache.rocketmq:rocketmq-store:4.9.1,true,15
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.BrokerConfig::commercialTimerCount,org.apache.rocketmq.common.BrokerConfig,org.apache.rocketmq.common.BrokerConfig,int,false,private,org.apache.rocketmq:rocketmq-common:4.9.1,true,15
org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.store.config.MessageStoreConfig::diskFallRecorded,org.apache.rocketmq.store.config.MessageStoreConfig,org.apache.rocketmq.store.config.MessageStoreConfig,boolean,false,private,org.apache.rocketmq:rocketmq-store:4.9.1,true,15
org.apache.rocketmq:rocketmq-broker:4.9.1,org.apache.rocketmq.store.config.BrokerRole::SYNC_MASTER,org.apache.rocketmq.store.config.BrokerRole,org.apache.rocketmq.store.config.BrokerRole,org.apache.rocketmq.store.config.BrokerRole,true,public,org.apache.rocketmq:rocketmq-store:4.9.1,false,1
