Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
com.google.common.base.Preconditions,-,-,com.google.guava:guava:19.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:18.0,1
com.google.common.base.Function,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.collect.AbstractIndexedListIterator,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.base.Predicate,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.collect.AbstractIterator,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.collect.UnmodifiableIterator,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.collect.UnmodifiableListIterator,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.collect.PeekingIterator,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
com.google.common.base.Preconditions,-,-,com.google.guava:guava:18.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:19.0,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$HandshakeHandler,-,-,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelHandler$Sharable,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyEncoder,-,-,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelHandler$Sharable,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$NettyServerHandler,-,-,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelHandler$Sharable,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$NettyConnectManageHandler,-,-,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelHandler$Sharable,public,io.netty:netty-all:4.1.65.Final,1
com.google.common.base.FunctionalEquivalence,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.base.Function,-,-,com.google.guava:guava:19.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:18.0,1
com.google.common.hash.Hasher,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.util.concurrent.UncheckedExecutionException,-,-,com.google.guava:guava:19.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:18.0,1
com.google.common.util.concurrent.ExecutionError,-,-,com.google.guava:guava:19.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:18.0,1
com.google.common.hash.HashFunction,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.hash.PrimitiveSink,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.base.FunctionalEquivalence,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.cache.LoadingCache,-,-,com.google.guava:guava:19.0,com.google.common.annotations.GwtCompatible,public,com.google.guava:guava:18.0,1
com.google.common.hash.Hasher,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.hash.HashFunction,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
com.google.common.hash.PrimitiveSink,-,-,com.google.guava:guava:18.0,com.google.common.annotations.Beta,public,com.google.guava:guava:19.0,1
