Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.TopicConfig::isOrder()Z,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,org.apache.rocketmq.common.TopicConfig::isOrder()Z,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,9,true,false,
org.apache.rocketmq.common.ConfigManager::persist()V,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,public,org.apache.rocketmq.common.ConfigManager::encode(Z)Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,org.apache.rocketmq.broker.topic.TopicConfigManager::encode(Z)Ljava/lang/String;,org.apache.rocketmq:rocketmq-broker:4.9.2-SNAPSHOT,1,false,false,
org.apache.rocketmq.broker.transaction.queue.TransactionalMessageBridge::makeOpMessageInner(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/common/message/MessageQueue;)Lorg/apache/rocketmq/store/MessageExtBrokerInner;,org.apache.rocketmq:rocketmq-broker:4.9.2-SNAPSHOT,public,org.apache.rocketmq.store.MessageExtBrokerInner::setQueueId(I)V,org.apache.rocketmq:rocketmq-store:4.9.2-SNAPSHOT,org.apache.rocketmq.store.MessageExtBrokerInner::setQueueId(I)V,org.apache.rocketmq:rocketmq-store:4.9.2-SNAPSHOT,1,false,false,
ch.qos.logback.core.pattern.parser.Compiler::compile()Lch/qos/logback/core/pattern/Converter;,ch.qos.logback:logback-core:1.0.13,public,ch.qos.logback.core.pattern.DynamicConverter::setOptionList(Ljava/util/List;)V,ch.qos.logback:logback-core:1.0.13,ch.qos.logback.classic.pattern.LineSeparatorConverter::setOptionList(Ljava/util/List;)V,ch.qos.logback:logback-classic:1.0.13,1,false,false,
ch.qos.logback.classic.util.DefaultNestedComponentRules::addDefaultNestedComponentRegistryRules(Lch/qos/logback/core/joran/spi/DefaultNestedComponentRegistry;)V,ch.qos.logback:logback-classic:1.0.13,public,ch.qos.logback.core.net.ssl.SSLNestedComponentRegistryRules::addDefaultNestedComponentRegistryRules(Lch/qos/logback/core/joran/spi/DefaultNestedComponentRegistry;)V,ch.qos.logback:logback-core:1.0.13,ch.qos.logback.core.net.ssl.SSLNestedComponentRegistryRules::addDefaultNestedComponentRegistryRules(Lch/qos/logback/core/joran/spi/DefaultNestedComponentRegistry;)V,ch.qos.logback:logback-core:1.0.13,1,false,false,
org.apache.rocketmq.broker.transaction.queue.TransactionalMessageBridge::putMessage(Lorg/apache/rocketmq/store/MessageExtBrokerInner;)Z,org.apache.rocketmq:rocketmq-broker:4.9.2-SNAPSHOT,public,org.apache.rocketmq.logging.InternalLogger::error(Ljava/lang/String;[Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,org.apache.rocketmq.logging.Slf4jLoggerFactory$Slf4jLogger::error(Ljava/lang/String;[Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,1,false,false,
ch.qos.logback.core.spi.ContextAwareBase::addInfo(Ljava/lang/String;)V,ch.qos.logback:logback-core:1.0.13,public,ch.qos.logback.core.spi.ContextAwareBase::addStatus(Lch/qos/logback/core/status/Status;)V,ch.qos.logback:logback-core:1.0.13,ch.qos.logback.classic.joran.action.LevelAction::addStatus(Lch/qos/logback/core/status/Status;)V,ch.qos.logback:logback-classic:1.0.13,1,false,false,
org.apache.rocketmq.broker.transaction.queue.TransactionalMessageBridge::putOpMessage(Lorg/apache/rocketmq/common/message/MessageExt;Ljava/lang/String;)Z,org.apache.rocketmq:rocketmq-broker:4.9.2-SNAPSHOT,public,org.apache.rocketmq.common.message.MessageExt::getTopic()Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,org.apache.rocketmq.store.MessageExtBrokerInner::getTopic()Ljava/lang/String;,org.apache.rocketmq:rocketmq-store:4.9.2-SNAPSHOT,1,false,false,
org.apache.rocketmq.broker.transaction.queue.TransactionalMessageBridge::renewHalfMessageInner(Lorg/apache/rocketmq/common/message/MessageExt;)Lorg/apache/rocketmq/store/MessageExtBrokerInner;,org.apache.rocketmq:rocketmq-broker:4.9.2-SNAPSHOT,public,org.apache.rocketmq.common.message.MessageExt::getQueueId()I,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,org.apache.rocketmq.common.message.MessageExt::getQueueId()I,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,1,false,false,
org.apache.rocketmq.broker.transaction.queue.TransactionalMessageBridge::putMessageReturnResult(Lorg/apache/rocketmq/store/MessageExtBrokerInner;)Lorg/apache/rocketmq/store/PutMessageResult;,org.apache.rocketmq:rocketmq-broker:4.9.2-SNAPSHOT,public,org.apache.rocketmq.logging.InternalLogger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,org.apache.rocketmq.logging.Slf4jLoggerFactory$Slf4jLogger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,1,false,false,
ch.qos.logback.core.joran.spi.SimpleRuleStore::addRule(Lch/qos/logback/core/joran/spi/ElementSelector;Lch/qos/logback/core/joran/action/Action;)V,ch.qos.logback:logback-core:1.0.13,public,ch.qos.logback.core.joran.action.Action::setContext(Lch/qos/logback/core/Context;)V,ch.qos.logback:logback-core:1.0.13,ch.qos.logback.classic.joran.action.ReceiverAction::setContext(Lch/qos/logback/core/Context;)V,ch.qos.logback:logback-classic:1.0.13,1,false,false,
