Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.apache.rocketmq.client.producer.DefaultMQProducer::request(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/client/producer/RequestCallback;J)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.Message::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.message.Message::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	2	false	false	
org.apache.rocketmq.client.producer.DefaultMQProducer::send(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/client/producer/SendCallback;J)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.Message::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.message.Message::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	5	false	false	
org.apache.rocketmq.client.consumer.store.RemoteBrokerOffsetStore::fetchConsumeOffsetFromBroker(Lorg/apache/rocketmq/common/message/MessageQueue;)J	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.MessageQueue::getBrokerName()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.message.MessageQueue::getBrokerName()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	6	false	false	
org.apache.rocketmq.client.impl.consumer.PullAPIWrapper::pullKernelImpl(Lorg/apache/rocketmq/common/message/MessageQueue;Ljava/lang/String;Ljava/lang/String;JJIIJJJLorg/apache/rocketmq/client/impl/CommunicationMode;Lorg/apache/rocketmq/client/consumer/PullCallback;)Lorg/apache/rocketmq/client/consumer/PullResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader::setCommitOffset(Ljava/lang/Long;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.protocol.header.PullMessageRequestHeader::setCommitOffset(Ljava/lang/Long;)V	org.apache.rocketmq:rocketmq-common:4.9.1	1021	false	false	
org.apache.rocketmq.client.impl.producer.DefaultMQProducerImpl::sendKernelImpl(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/common/message/MessageQueue;Lorg/apache/rocketmq/client/impl/CommunicationMode;Lorg/apache/rocketmq/client/producer/SendCallback;Lorg/apache/rocketmq/client/impl/producer/TopicPublishInfo;J)Lorg/apache/rocketmq/client/producer/SendResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::setSysFlag(Ljava/lang/Integer;)V	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.protocol.header.SendMessageRequestHeader::setSysFlag(Ljava/lang/Integer;)V	org.apache.rocketmq:rocketmq-common:4.9.1	19	false	false	
org.apache.rocketmq.client.impl.factory.MQClientInstance::topicRouteDataIsChange(Lorg/apache/rocketmq/common/protocol/route/TopicRouteData;Lorg/apache/rocketmq/common/protocol/route/TopicRouteData;)Z	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;	org.apache.rocketmq:rocketmq-common:4.9.1	30	false	false	
io.netty.channel.AbstractChannelHandlerContext::callHandlerAdded()V	io.netty:netty-all:4.1.65.Final	public	io.netty.channel.ChannelHandler::handlerAdded(Lio/netty/channel/ChannelHandlerContext;)V	io.netty:netty-all:4.1.65.Final	org.apache.rocketmq.remoting.netty.NettyRemotingClient$NettyClientHandler::handlerAdded(Lio/netty/channel/ChannelHandlerContext;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	58	false	false	
io.netty.util.internal.PlatformDependent0::explicitNoUnsafeCause0()Ljava/lang/Throwable;	io.netty:netty-all:4.1.65.Final	public	io.netty.util.internal.logging.InternalLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V	io.netty:netty-all:4.1.65.Final	org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	1	false	false	
org.apache.rocketmq.client.impl.consumer.DefaultLitePullConsumerImpl::start()V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	org.apache.rocketmq.logging.InnerLoggerFactory$InnerLogger::info(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	26	false	false	
org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl::start()V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	org.apache.rocketmq.logging.InnerLoggerFactory$InnerLogger::info(Ljava/lang/String;Ljava/lang/Object;)V	org.apache.rocketmq:rocketmq-logging:4.9.1	8	false	false	
