Caller Method,Caller Library,setAccessible Called On,Visibility,Callee Name,Field Signature,Callee Library
com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V,com.alibaba:fastjson:1.2.76,java.lang.reflect.Field,private,org.apache.rocketmq.common.message.MessageQueue::brokerName,java.lang.String,org.apache.rocketmq:rocketmq-common:4.9.1
com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V,com.alibaba:fastjson:1.2.76,java.lang.reflect.Method,public,org.apache.rocketmq.client.consumer.store.OffsetSerializeWrapper::setOffsetTable(Ljava/util/concurrent/ConcurrentMap;)V,,org.apache.rocketmq:rocketmq-client:4.9.1
com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V,com.alibaba:fastjson:1.2.76,java.lang.reflect.Field,private,org.apache.rocketmq.common.message.MessageQueue::topic,java.lang.String,org.apache.rocketmq:rocketmq-common:4.9.1
org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;,org.apache.rocketmq:rocketmq-common:4.9.1,java.lang.reflect.Field,private,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::suspendCurrentQueueTimeMillis,long,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;,org.apache.rocketmq:rocketmq-common:4.9.1,java.lang.reflect.Field,private,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::pullThresholdForTopic,int,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;,org.apache.rocketmq:rocketmq-common:4.9.1,java.lang.reflect.Field,private,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::messageModel,org.apache.rocketmq.common.protocol.heartbeat.MessageModel,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;,org.apache.rocketmq:rocketmq-common:4.9.1,java.lang.reflect.Field,private,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeMessageBatchMaxSize,int,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;,org.apache.rocketmq:rocketmq-common:4.9.1,java.lang.reflect.Field,private,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::consumeConcurrentlyMaxSpan,int,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.commons.lang3.reflect.FieldUtils::getDeclaredField(Ljava/lang/Class;Ljava/lang/String;Z)Ljava/lang/reflect/Field;,org.apache.commons:commons-lang3:3.4,java.lang.reflect.Field,private,org.apache.rocketmq.client.impl.MQClientManager::factoryTable,java.util.concurrent.ConcurrentMap<java.lang.String, org.apache.rocketmq.client.impl.factory.MQClientInstance>,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.commons.lang3.reflect.FieldUtils::getDeclaredField(Ljava/lang/Class;Ljava/lang/String;Z)Ljava/lang/reflect/Field;,org.apache.commons:commons-lang3:3.4,java.lang.reflect.Field,private,org.apache.rocketmq.client.impl.consumer.DefaultMQPushConsumerImpl::rpcHook,org.apache.rocketmq.remoting.RPCHook,org.apache.rocketmq:rocketmq-client:4.9.1
com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V,com.alibaba:fastjson:1.2.76,java.lang.reflect.Method,public,org.apache.rocketmq.common.message.MessageQueue::setTopic(Ljava/lang/String;)V,,org.apache.rocketmq:rocketmq-common:4.9.1
com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V,com.alibaba:fastjson:1.2.76,java.lang.reflect.Method,public,org.apache.rocketmq.common.message.MessageQueue::getBrokerName()Ljava/lang/String;,,org.apache.rocketmq:rocketmq-common:4.9.1
org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;,org.apache.rocketmq:rocketmq-common:4.9.1,java.lang.reflect.Field,private,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::pullThresholdForQueue,int,org.apache.rocketmq:rocketmq-client:4.9.1
com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V,com.alibaba:fastjson:1.2.76,java.lang.reflect.Field,private,org.apache.rocketmq.common.message.MessageQueue::queueId,int,org.apache.rocketmq:rocketmq-common:4.9.1
org.apache.commons.lang3.reflect.FieldUtils::getDeclaredField(Ljava/lang/Class;Ljava/lang/String;Z)Ljava/lang/reflect/Field;,org.apache.commons:commons-lang3:3.4,java.lang.reflect.Field,private,org.apache.rocketmq.client.impl.factory.MQClientInstance::brokerAddrTable,java.util.concurrent.ConcurrentMap<java.lang.String, java.util.HashMap<java.lang.Long, java.lang.String>>,org.apache.rocketmq:rocketmq-client:4.9.1
