SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.apache.rocketmq.common.protocol.body.ConsumerConnection,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.CheckClientRequestBody,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.remoting.netty.NettyDecoder,org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.codec.LengthFieldBasedFrameDecoder,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.common.admin.ConsumeStats,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.TopicList,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.remoting.netty.NettyRemotingClient$4,org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelInitializer,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.common.protocol.header.DeleteAccessConfigRequestHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.header.SendMessageResponseHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.header.ResumeCheckHalfMessageRequestHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.ConsumeStatsList,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.header.QueryConsumerOffsetRequestHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.UnlockBatchRequestBody,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.KVTable,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.LockBatchRequestBody,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.header.QueryMessageRequestHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.remoting.common.RemotingUtil$1,org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelFutureListener,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyEncoder,org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.handler.codec.MessageToByteEncoder,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.common.protocol.body.BrokerStatsData,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.client.log.ClientLogger$AppenderProxy,org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.logging.inner.Appender,public,org.apache.rocketmq:rocketmq-logging:4.9.1,1
org.apache.rocketmq.client.impl.ClientRemotingProcessor,org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.remoting.netty.NettyRequestProcessor,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger,org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogger,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.common.protocol.header.CreateAccessConfigRequestHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.body.ConsumeMessageDirectlyResult,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
org.apache.rocketmq.common.protocol.header.EndTransactionRequestHeader,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.remoting.CommandCustomHeader,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,1
