Class Name,Class Visibility,Class Library,Usage,Used In Library
org.apache.rocketmq.common.protocol.body.GroupList,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,cast,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.header.UpdateConsumerOffsetRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,instantiation,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.logging.InnerLoggerFactory$InnerLogger,public,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,method call,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT
org.apache.rocketmq.common.filter.ExpressionType,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.header.ReplyMessageRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,cast,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.header.GetConsumerRunningInfoRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,instantiation,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.body.BrokerStatsData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,cast,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.header.GetMaxOffsetRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,instantiation,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.heartbeat.SubscriptionData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.header.SendMessageRequestHeaderV2,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,org.apache.rocketmq:rocketmq-client:4.9.2-SNAPSHOT
