Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.subscription.SubscriptionGroupConfig::isConsumeEnable()Z,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.subscription.SubscriptionGroupConfig::isConsumeEnable()Z,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ConsumeStatsList::setTotalDiff(J)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ConsumeStatsList::setTotalDiff(J)V,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ProcessQueueInfo::getCachedMsgCount()I,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ProcessQueueInfo::getCachedMsgCount()I,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ProcessQueueInfo::setTryUnlockTimes(J)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ProcessQueueInfo::setTryUnlockTimes(J)V,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
org.apache.rocketmq.common.ServiceThread::start()V,org.apache.rocketmq:rocketmq-common:4.9.1,public,org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.1,org.apache.rocketmq.logging.InnerLoggerFactory$InnerLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.1,9,false,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ConsumerConnection::getConsumeType()Lorg/apache/rocketmq/common/protocol/heartbeat/ConsumeType;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ConsumerConnection::getConsumeType()Lorg/apache/rocketmq/common/protocol/heartbeat/ConsumeType;,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.route.QueueData::setPerm(I)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.route.QueueData::setPerm(I)V,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
org.apache.rocketmq.common.protocol.body.RegisterBrokerBody::decode([BZ)Lorg/apache/rocketmq/common/protocol/body/RegisterBrokerBody;,org.apache.rocketmq:rocketmq-common:4.9.1,public,com.alibaba.fastjson.JSON::parseArray(Ljava/lang/String;Ljava/lang/Class;)Ljava/util/List;,com.alibaba:fastjson:1.2.76,com.alibaba.fastjson.JSON::parseArray(Ljava/lang/String;Ljava/lang/Class;)Ljava/util/List;,com.alibaba:fastjson:1.2.76,1,false,false,
org.apache.rocketmq.common.UtilAll::ipV6Check([B)Z,org.apache.rocketmq:rocketmq-common:4.9.1,public,org.apache.commons.validator.routines.InetAddressValidator::isValidInet6Address(Ljava/lang/String;)Z,commons-validator:commons-validator:1.7,org.apache.commons.validator.routines.InetAddressValidator::isValidInet6Address(Ljava/lang/String;)Z,commons-validator:commons-validator:1.7,18,false,false,
org.apache.rocketmq.common.protocol.NamespaceUtil::isDLQTopic(Ljava/lang/String;)Z,org.apache.rocketmq:rocketmq-common:4.9.1,public,org.apache.commons.lang3.StringUtils::isNotBlank(Ljava/lang/CharSequence;)Z,org.apache.commons:commons-lang3:3.4,org.apache.commons.lang3.StringUtils::isNotBlank(Ljava/lang/CharSequence;)Z,org.apache.commons:commons-lang3:3.4,23,false,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ConsumeMessageDirectlyResult::getConsumeResult()Lorg/apache/rocketmq/common/protocol/body/CMResult;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ConsumeMessageDirectlyResult::getConsumeResult()Lorg/apache/rocketmq/common/protocol/body/CMResult;,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ConsumeStatus::getPullTPS()D,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ConsumeStatus::getPullTPS()D,org.apache.rocketmq:rocketmq-common:4.9.1,2,true,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.subscription.SubscriptionGroupConfig::setGroupName(Ljava/lang/String;)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.subscription.SubscriptionGroupConfig::setGroupName(Ljava/lang/String;)V,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
org.apache.rocketmq.common.utils.NameServerAddressUtils::parseInstanceIdFromEndpoint(Ljava/lang/String;)Ljava/lang/String;,org.apache.rocketmq:rocketmq-common:4.9.1,public,org.apache.commons.lang3.StringUtils::isEmpty(Ljava/lang/CharSequence;)Z,org.apache.commons:commons-lang3:3.4,org.apache.commons.lang3.StringUtils::isEmpty(Ljava/lang/CharSequence;)Z,org.apache.commons:commons-lang3:3.4,2,false,false,
org.apache.rocketmq.common.UtilAll::ipCheck([B)Z,org.apache.rocketmq:rocketmq-common:4.9.1,public,org.apache.commons.validator.routines.InetAddressValidator::getInstance()Lorg/apache/commons/validator/routines/InetAddressValidator;,commons-validator:commons-validator:1.7,org.apache.commons.validator.routines.InetAddressValidator::getInstance()Lorg/apache/commons/validator/routines/InetAddressValidator;,commons-validator:commons-validator:1.7,4,false,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.admin.TopicOffset::getMaxOffset()J,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.admin.TopicOffset::getMaxOffset()J,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.parser.deserializer.FieldDeserializer::setValue(Ljava/lang/Object;Ljava/lang/Object;)V,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.route.QueueData::setTopicSysFlag(I)V,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.route.QueueData::setTopicSysFlag(I)V,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.common.protocol.body.ProcessQueueInfo::getCachedMsgMinOffset()J,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ProcessQueueInfo::getCachedMsgMinOffset()J,org.apache.rocketmq:rocketmq-common:4.9.1,1,true,false,
