Class Name,Class Visibility,Class Library,Usage,Used In Library
com.alibaba.fastjson.JSON,public,com.alibaba:fastjson:1.2.76,method call,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT
org.apache.rocketmq.common.protocol.body.RegisterBrokerBody,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.ConsumeQueueData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.ProcessQueueInfo,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.ConsumeStatus,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.route.TopicRouteData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.QueryCorrectionOffsetBody,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.CheckClientRequestBody,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.consumer.ConsumeFromWhere,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
java.util.HashSet,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.ConsumerConnection,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.body.ConsumerRunningInfo,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,com.alibaba:fastjson:1.2.76
java.sql.Time,public,java.sql,instantiation,com.alibaba:fastjson:1.2.76
java.sql.Timestamp,public,java.sql,instantiation,com.alibaba:fastjson:1.2.76
java.util.HashMap,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.route.BrokerData,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.protocol.topic.OffsetMovedEvent,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.common.message.MessageQueue,public,org.apache.rocketmq:rocketmq-common:4.9.2-SNAPSHOT,method call,com.alibaba:fastjson:1.2.76
