Class Name,Class Visibility,Class Library,Usage,Used In Library
jdk.internal.misc.Unsafe,public,unknownLib,Class.forName,io.netty:netty-all:4.1.65.Final
java.lang.management.RuntimeMXBean,public,unknownLib,Class.forName,io.netty:netty-all:4.1.65.Final
io.netty.channel.socket.nio.NioSocketChannel,public,io.netty:netty-all:4.1.65.Final,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.handler.ssl.JdkSslClientContext,public,io.netty:netty-all:4.1.65.Final,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.handler.codec.LengthFieldBasedFrameDecoder,public,io.netty:netty-all:4.1.65.Final,subtyping,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.channel.ChannelDuplexHandler,public,io.netty:netty-all:4.1.65.Final,subtyping,org.apache.rocketmq:rocketmq-remoting:4.9.1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$NettyConnectManageHandler,default,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,io.netty:netty-all:4.1.65.Final
io.netty.channel.DefaultChannelPipeline,public,io.netty:netty-all:4.1.65.Final,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.channel.ChannelHandler$Sharable,public,io.netty:netty-all:4.1.65.Final,annotation,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.util.internal.logging.InternalLoggerFactory,public,io.netty:netty-all:4.1.65.Final,subtyping,org.apache.rocketmq:rocketmq-remoting:4.9.1
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger,private,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,io.netty:netty-all:4.1.65.Final
io.netty.handler.codec.MessageToByteEncoder,public,io.netty:netty-all:4.1.65.Final,subtyping,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.handler.ssl.JdkSslServerContext,public,io.netty:netty-all:4.1.65.Final,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$7,default,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,io.netty:netty-all:4.1.65.Final
io.netty.channel.ChannelFuture,public,io.netty:netty-all:4.1.65.Final,cast,org.apache.rocketmq:rocketmq-remoting:4.9.1
io.netty.channel.nio.NioEventLoopGroup,public,io.netty:netty-all:4.1.65.Final,instantiation,org.apache.rocketmq:rocketmq-remoting:4.9.1
sun.nio.ch.SelectorImpl,default,unknownLib,Class.forName,io.netty:netty-all:4.1.65.Final
com.alibaba.fastjson.JSON,public,com.alibaba:fastjson:1.2.76,Class.forName,com.alibaba:fastjson:1.2.76
org.apache.rocketmq.remoting.netty.NettyEncoder,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,io.netty:netty-all:4.1.65.Final
org.apache.rocketmq.remoting.netty.NettyRemotingClient$NettyClientHandler,default,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,io.netty:netty-all:4.1.65.Final
org.apache.rocketmq.remoting.netty.NettyRemotingClient$4,default,org.apache.rocketmq:rocketmq-remoting:4.9.1,method call,io.netty:netty-all:4.1.65.Final
java.util.HashMap,public,unknownLib,Class.forName,com.alibaba:fastjson:1.2.76
io.netty.handler.ssl.util.SelfSignedCertificate,public,io.netty:netty-all:4.1.65.Final,instantiation,org.apache.rocketmq:rocketmq-remoting:4.9.1
