Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
org.apache.rocketmq.remoting.netty.NettyRemotingClient$4::initChannel(Lio/netty/channel/socket/SocketChannel;)V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,public,io.netty.handler.ssl.SslContext::newHandler(Lio/netty/buffer/ByteBufAllocator;)Lio/netty/handler/ssl/SslHandler;,io.netty:netty-all:4.1.65.Final,io.netty.handler.ssl.JdkSslClientContext::newHandler(Lio/netty/buffer/ByteBufAllocator;)Lio/netty/handler/ssl/SslHandler;,io.netty:netty-all:4.1.65.Final,11,false,false,
org.apache.rocketmq.remoting.netty.NettyRemotingServer::start()V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,public,io.netty.channel.ChannelFuture::sync()Lio/netty/channel/ChannelFuture;,io.netty:netty-all:4.1.65.Final,io.netty.bootstrap.AbstractBootstrap$PendingRegistrationPromise::sync()Lio/netty/channel/ChannelFuture;,io.netty:netty-all:4.1.65.Final,13,false,false,
io.netty.handler.codec.LengthFieldBasedFrameDecoder::exceededFrameLength(Lio/netty/buffer/ByteBuf;J)V,io.netty:netty-all:4.1.65.Final,private,io.netty.handler.codec.LengthFieldBasedFrameDecoder::failIfNecessary(Z)V,io.netty:netty-all:4.1.65.Final,org.apache.rocketmq.remoting.netty.NettyDecoder::failIfNecessary(Z)V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,1,false,false,
io.netty.channel.AbstractChannelHandlerContext::callHandlerAdded()V,io.netty:netty-all:4.1.65.Final,public,io.netty.channel.ChannelHandler::handlerAdded(Lio/netty/channel/ChannelHandlerContext;)V,io.netty:netty-all:4.1.65.Final,org.apache.rocketmq.remoting.netty.FileRegionEncoder::handlerAdded(Lio/netty/channel/ChannelHandlerContext;)V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,11,false,false,
org.apache.rocketmq.remoting.netty.NettyRemotingClient::createChannel(Ljava/lang/String;)Lio/netty/channel/Channel;,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,public,io.netty.bootstrap.Bootstrap::connect(Ljava/net/SocketAddress;)Lio/netty/channel/ChannelFuture;,io.netty:netty-all:4.1.65.Final,io.netty.bootstrap.Bootstrap::connect(Ljava/net/SocketAddress;)Lio/netty/channel/ChannelFuture;,io.netty:netty-all:4.1.65.Final,13,false,false,
io.netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory::newResourceLeakDetector(Ljava/lang/Class;I)Lio/netty/util/ResourceLeakDetector;,io.netty:netty-all:4.1.65.Final,public,io.netty.util.internal.logging.InternalLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V,io.netty:netty-all:4.1.65.Final,org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,1,false,false,
com.alibaba.fastjson.util.FieldInfo::get(Ljava/lang/Object;)Ljava/lang/Object;,com.alibaba:fastjson:1.2.76,public,org.apache.rocketmq.remoting.protocol.RemotingCommand::getExtFields()Ljava/util/HashMap;,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,org.apache.rocketmq.remoting.protocol.RemotingCommand::getExtFields()Ljava/util/HashMap;,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,30,true,false,
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,public,org.apache.rocketmq.logging.InternalLogger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,org.apache.rocketmq.logging.InnerLoggerFactory$InnerLogger::debug(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.2-SNAPSHOT,1,false,false,
org.apache.rocketmq.remoting.netty.NettyRemotingServer::start()V,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,public,io.netty.bootstrap.ServerBootstrap::localAddress(Ljava/net/SocketAddress;)Lio/netty/bootstrap/AbstractBootstrap;,io.netty:netty-all:4.1.65.Final,io.netty.bootstrap.ServerBootstrap::localAddress(Ljava/net/SocketAddress;)Lio/netty/bootstrap/AbstractBootstrap;,io.netty:netty-all:4.1.65.Final,13,false,false,
io.netty.channel.DefaultChannelPipeline::checkMultiplicity(Lio/netty/channel/ChannelHandler;)V,io.netty:netty-all:4.1.65.Final,public,io.netty.channel.ChannelHandlerAdapter::isSharable()Z,io.netty:netty-all:4.1.65.Final,org.apache.rocketmq.remoting.netty.NettyRemotingServer$HandshakeHandler::isSharable()Z,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,13,false,false,
