SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.apache.rocketmq.remoting.netty.NettyEncoder,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.handler.codec.MessageToByteEncoder,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$NettyConnectManageHandler,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelDuplexHandler,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.FileRegionEncoder,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.handler.codec.MessageToByteEncoder,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.util.internal.logging.InternalLogger,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.common.RemotingUtil$1,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelFutureListener,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$7,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelInitializer,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLoggerFactory,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.util.internal.logging.InternalLoggerFactory,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingAbstract$3,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelFutureListener,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingAbstract$4,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelFutureListener,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingAbstract$5,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelFutureListener,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$NettyServerHandler,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.SimpleChannelInboundHandler,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingClient$NettyConnectManageHandler,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelDuplexHandler,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyDecoder,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.handler.codec.LengthFieldBasedFrameDecoder,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingServer$HandshakeHandler,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.SimpleChannelInboundHandler,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingClient$4,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.ChannelInitializer,public,io.netty:netty-all:4.1.65.Final,1
org.apache.rocketmq.remoting.netty.NettyRemotingClient$NettyClientHandler,org.apache.rocketmq:rocketmq-remoting:4.9.2-SNAPSHOT,io.netty.channel.SimpleChannelInboundHandler,public,io.netty:netty-all:4.1.65.Final,1
