Class Name,Class Visibility,Class Library,Usage,Used In Library
org.apache.rocketmq.common.message.MessageQueue,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-tools:4.9.1
org.slf4j.ILoggerFactory,public,org.slf4j:slf4j-api:1.7.7,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.classic.pattern.DateConverter,public,ch.qos.logback:logback-classic:1.0.13,Class.forName,ch.qos.logback:logback-core:1.0.13
org.apache.rocketmq.common.AclConfig,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.core.BasicStatusManager,public,ch.qos.logback:logback-core:1.0.13,method call,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.MQVersion,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.body.ProducerConnection,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.header.ViewMessageRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.logging.inner.Level,public,org.apache.rocketmq:rocketmq-logging:4.9.1,method call,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.body.ClusterInfo,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.body.KVTable,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.core.ContextBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.admin.ConsumeStats,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.message.MessageExt,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.classic.encoder.PatternLayoutEncoder,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
org.apache.rocketmq.common.protocol.heartbeat.ProducerData,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.body.LockBatchRequestBody,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.classic.pattern.LineSeparatorConverter,public,ch.qos.logback:logback-classic:1.0.13,Class.forName,ch.qos.logback:logback-core:1.0.13
org.apache.rocketmq.common.protocol.body.ProducerConnection,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-tools:4.9.1
org.apache.rocketmq.common.protocol.route.BrokerData,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-tools:4.9.1
org.apache.rocketmq.common.protocol.body.ClusterAclVersionInfo,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.remoting.protocol.RemotingSerializable,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,subtyping,org.apache.rocketmq:rocketmq-common:4.9.1
org.apache.rocketmq.common.protocol.body.CheckClientRequestBody,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.body.LockBatchResponseBody,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.message.MessageQueue,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.client.consumer.DefaultMQPullConsumer,public,org.apache.rocketmq:rocketmq-client:4.9.1,instantiation,org.apache.rocketmq:rocketmq-tools:4.9.1
io.netty.channel.nio.NioEventLoopGroup,public,io.netty:netty-all:4.1.65.Final,method call,org.apache.rocketmq:rocketmq-remoting:4.9.1
org.apache.rocketmq.common.message.Message,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.route.BrokerData,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-tools:4.9.1
org.apache.rocketmq.common.MixAll,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.core.spi.ContextAwareBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.client.impl.MQClientAPIImpl,public,org.apache.rocketmq:rocketmq-client:4.9.1,method call,org.apache.rocketmq:rocketmq-tools:4.9.1
ch.qos.logback.core.spi.ContextAware,public,ch.qos.logback:logback-core:1.0.13,cast,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.core.spi.AppenderAttachableImpl,public,ch.qos.logback:logback-core:1.0.13,method call,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.common.protocol.header.GetConsumeStatsRequestHeader,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.namesrv.TopAddressing,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.namesrv.TopAddressing,public,org.apache.rocketmq:rocketmq-common:4.9.1,instantiation,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.header.GetConsumerListByGroupResponseBody,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.body.QueryCorrectionOffsetBody,public,org.apache.rocketmq:rocketmq-common:4.9.1,cast,org.apache.rocketmq:rocketmq-client:4.9.1
org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData,public,org.apache.rocketmq:rocketmq-common:4.9.1,method call,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.core.status.WarnStatus,public,ch.qos.logback:logback-core:1.0.13,instantiation,ch.qos.logback:logback-classic:1.0.13
org.apache.rocketmq.client.exception.MQClientException,public,org.apache.rocketmq:rocketmq-client:4.9.1,instantiation,org.apache.rocketmq:rocketmq-tools:4.9.1
org.apache.rocketmq.tools.admin.DefaultMQAdminExt,public,org.apache.rocketmq:rocketmq-tools:4.9.1,method call,org.apache.rocketmq:rocketmq-client:4.9.1
ch.qos.logback.core.joran.JoranConfiguratorBase,public,ch.qos.logback:logback-core:1.0.13,subtyping,ch.qos.logback:logback-classic:1.0.13
ch.qos.logback.classic.pattern.LineSeparatorConverter,public,ch.qos.logback:logback-classic:1.0.13,method call,ch.qos.logback:logback-core:1.0.13
