Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.message.MessageType::Trans_Msg_Half,org.apache.rocketmq.common.message.MessageType,org.apache.rocketmq.common.message.MessageType,org.apache.rocketmq.common.message.MessageType,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_RCVBUF,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::CONNECT_TIMEOUT_MILLIS,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.remoting.protocol.LanguageCode::CPP,org.apache.rocketmq.remoting.protocol.LanguageCode,org.apache.rocketmq.remoting.protocol.LanguageCode,org.apache.rocketmq.remoting.protocol.LanguageCode,true,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,false,1
ch.qos.logback:logback-classic:1.0.13,ch.qos.logback.core.spi.FilterReply::NEUTRAL,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,true,public,ch.qos.logback:logback-core:1.0.13,false,14
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::INFO,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.MQVersion::CURRENT_VERSION,org.apache.rocketmq.common.MQVersion,org.apache.rocketmq.common.MQVersion,int,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,2
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.ServiceState::SHUTDOWN_ALREADY,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,4
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::TCP_NODELAY,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Boolean>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.ServiceState::CREATE_JUST,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::WARN,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.message.MessageType::Delay_Msg,org.apache.rocketmq.common.message.MessageType,org.apache.rocketmq.common.message.MessageType,org.apache.rocketmq.common.message.MessageType,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
ch.qos.logback:logback-classic:1.0.13,ch.qos.logback.core.spi.FilterReply::ACCEPT,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,true,public,ch.qos.logback:logback-core:1.0.13,false,7
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.remoting.netty.TlsSystemConfig::tlsEnable,org.apache.rocketmq.remoting.netty.TlsSystemConfig,org.apache.rocketmq.remoting.netty.TlsSystemConfig,boolean,true,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,false,1
org.apache.rocketmq:rocketmq-tools:4.9.1,org.apache.rocketmq.client.consumer.listener.ConsumeConcurrentlyStatus::CONSUME_SUCCESS,org.apache.rocketmq.client.consumer.listener.ConsumeConcurrentlyStatus,org.apache.rocketmq.client.consumer.listener.ConsumeConcurrentlyStatus,org.apache.rocketmq.client.consumer.listener.ConsumeConcurrentlyStatus,true,public,org.apache.rocketmq:rocketmq-client:4.9.1,false,1
org.apache.rocketmq:rocketmq-tools:4.9.1,org.apache.rocketmq.common.ServiceState::SHUTDOWN_ALREADY,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.remoting.protocol.LanguageCode::JAVA,org.apache.rocketmq.remoting.protocol.LanguageCode,org.apache.rocketmq.remoting.protocol.LanguageCode,org.apache.rocketmq.remoting.protocol.LanguageCode,true,public,org.apache.rocketmq:rocketmq-remoting:4.9.1,false,1
org.slf4j:slf4j-api:1.7.7,org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION,org.slf4j.impl.StaticLoggerBinder,org.slf4j.impl.StaticLoggerBinder,java.lang.String,true,public,ch.qos.logback:logback-classic:1.0.13,false,1
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType::CONSUME_ACTIVELY,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,2
org.apache.rocketmq:rocketmq-tools:4.9.1,org.apache.rocketmq.common.ServiceState::RUNNING,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::ERROR,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-tools:4.9.1,org.apache.rocketmq.common.MQVersion$Version::V3_1_8_SNAPSHOT,org.apache.rocketmq.common.MQVersion$Version,org.apache.rocketmq.common.MQVersion$Version,org.apache.rocketmq.common.MQVersion$Version,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::DEBUG,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_KEEPALIVE,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Boolean>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-tools:4.9.1,org.apache.rocketmq.common.ServiceState::START_FAILED,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.util.internal.logging.InternalLogLevel::TRACE,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,io.netty.util.internal.logging.InternalLogLevel,true,public,io.netty:netty-all:4.1.65.Final,false,7
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.ServiceState::RUNNING,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,7
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType::CONSUME_PASSIVELY,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType,org.apache.rocketmq.common.protocol.heartbeat.ConsumeType,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,3
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.consumer.ConsumeFromWhere::CONSUME_FROM_LAST_OFFSET,org.apache.rocketmq.common.consumer.ConsumeFromWhere,org.apache.rocketmq.common.consumer.ConsumeFromWhere,org.apache.rocketmq.common.consumer.ConsumeFromWhere,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,3
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.utils.NameServerAddressUtils::NAMESRV_ENDPOINT_PATTERN,org.apache.rocketmq.common.utils.NameServerAddressUtils,org.apache.rocketmq.common.utils.NameServerAddressUtils,java.util.regex.Pattern,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
ch.qos.logback:logback-classic:1.0.13,ch.qos.logback.core.CoreConstants::LINE_SEPARATOR,ch.qos.logback.core.CoreConstants,ch.qos.logback.core.CoreConstants,java.lang.String,true,public,ch.qos.logback:logback-core:1.0.13,false,7
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.message.MessageType::Normal_Msg,org.apache.rocketmq.common.message.MessageType,org.apache.rocketmq.common.message.MessageType,org.apache.rocketmq.common.message.MessageType,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,1
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.protocol.heartbeat.MessageModel::CLUSTERING,org.apache.rocketmq.common.protocol.heartbeat.MessageModel,org.apache.rocketmq.common.protocol.heartbeat.MessageModel,org.apache.rocketmq.common.protocol.heartbeat.MessageModel,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,7
org.apache.rocketmq:rocketmq-tools:4.9.1,org.apache.rocketmq.common.ServiceState::CREATE_JUST,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,2
org.apache.rocketmq:rocketmq-remoting:4.9.1,io.netty.channel.ChannelOption::SO_SNDBUF,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption,io.netty.channel.ChannelOption<java.lang.Integer>,true,public,io.netty:netty-all:4.1.65.Final,false,1
org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.common.ServiceState::START_FAILED,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,org.apache.rocketmq.common.ServiceState,true,public,org.apache.rocketmq:rocketmq-common:4.9.1,false,4
ch.qos.logback:logback-classic:1.0.13,ch.qos.logback.core.spi.FilterReply::DENY,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,ch.qos.logback.core.spi.FilterReply,true,public,ch.qos.logback:logback-core:1.0.13,false,10
