Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
org.apache.rocketmq.tools.admin.DefaultMQAdminExtImpl::fetchAllTopicList()Lorg/apache/rocketmq/common/protocol/body/TopicList;,org.apache.rocketmq:rocketmq-tools:4.9.1,public,org.apache.rocketmq.client.impl.factory.MQClientInstance::getMQClientAPIImpl()Lorg/apache/rocketmq/client/impl/MQClientAPIImpl;,org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.client.impl.factory.MQClientInstance::getMQClientAPIImpl()Lorg/apache/rocketmq/client/impl/MQClientAPIImpl;,org.apache.rocketmq:rocketmq-client:4.9.1,2,false,false,
org.apache.rocketmq.tools.monitor.MonitorService::MonitorService(Lorg/apache/rocketmq/tools/monitor/MonitorConfig;Lorg/apache/rocketmq/tools/monitor/MonitorListener;Lorg/apache/rocketmq/remoting/RPCHook;)V,org.apache.rocketmq:rocketmq-tools:4.9.1,public,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::setNamesrvAddr(Ljava/lang/String;)V,org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.client.consumer.DefaultMQPushConsumer::setNamesrvAddr(Ljava/lang/String;)V,org.apache.rocketmq:rocketmq-client:4.9.1,1,false,false,
org.apache.rocketmq.srvutil.ServerUtil::parseCmdLine(Ljava/lang/String;[Ljava/lang/String;Lorg/apache/commons/cli/Options;Lorg/apache/commons/cli/CommandLineParser;)Lorg/apache/commons/cli/CommandLine;,org.apache.rocketmq:rocketmq-srvutil:4.9.1,public,org.apache.commons.cli.HelpFormatter::setWidth(I)V,commons-cli:commons-cli:1.2,org.apache.commons.cli.HelpFormatter::setWidth(I)V,commons-cli:commons-cli:1.2,3,false,false,
io.netty.util.internal.PlatformDependent0::explicitNoUnsafeCause0()Ljava/lang/Throwable;,io.netty:netty-all:4.1.65.Final,public,io.netty.util.internal.logging.InternalLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V,io.netty:netty-all:4.1.65.Final,org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::debug(Ljava/lang/String;Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-remoting:4.9.1,1,false,false,
ch.qos.logback.core.pattern.parser.Compiler::compile()Lch/qos/logback/core/pattern/Converter;,ch.qos.logback:logback-core:1.0.13,public,ch.qos.logback.core.pattern.DynamicConverter::setOptionList(Ljava/util/List;)V,ch.qos.logback:logback-core:1.0.13,ch.qos.logback.classic.pattern.LineSeparatorConverter::setOptionList(Ljava/util/List;)V,ch.qos.logback:logback-classic:1.0.13,1,false,false,
org.apache.rocketmq.common.ServiceThread::start()V,org.apache.rocketmq:rocketmq-common:4.9.1,public,org.apache.rocketmq.logging.InternalLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.1,org.apache.rocketmq.logging.InnerLoggerFactory$InnerLogger::info(Ljava/lang/String;[Ljava/lang/Object;)V,org.apache.rocketmq:rocketmq-logging:4.9.1,2,false,false,
org.apache.rocketmq.tools.admin.DefaultMQAdminExtImpl::getConsumeStatus(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/util/Map;,org.apache.rocketmq:rocketmq-tools:4.9.1,public,org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,1,false,false,
org.apache.rocketmq.tools.command.broker.BrokerConsumeStatsSubCommad::execute(Lorg/apache/commons/cli/CommandLine;Lorg/apache/commons/cli/Options;Lorg/apache/rocketmq/remoting/RPCHook;)V,org.apache.rocketmq:rocketmq-tools:4.9.1,public,org.apache.rocketmq.common.protocol.body.ConsumeStatsList::getConsumeStatsList()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.body.ConsumeStatsList::getConsumeStatsList()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,1,false,false,
org.apache.rocketmq.tools.admin.DefaultMQAdminExtImpl::start()V,org.apache.rocketmq:rocketmq-tools:4.9.1,public,org.apache.rocketmq.client.impl.factory.MQClientInstance::start()V,org.apache.rocketmq:rocketmq-client:4.9.1,org.apache.rocketmq.client.impl.factory.MQClientInstance::start()V,org.apache.rocketmq:rocketmq-client:4.9.1,1,false,false,
org.apache.rocketmq.tools.admin.DefaultMQAdminExtImpl::examineProducerConnectionInfo(Ljava/lang/String;Ljava/lang/String;)Lorg/apache/rocketmq/common/protocol/body/ProducerConnection;,org.apache.rocketmq:rocketmq-tools:4.9.1,public,org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,org.apache.rocketmq.common.protocol.route.TopicRouteData::getBrokerDatas()Ljava/util/List;,org.apache.rocketmq:rocketmq-common:4.9.1,1,false,false,
