Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.bouncycastle:bcpkix-jdk15on:1.69	org.bouncycastle.asn1.oiw.OIWObjectIdentifiers::idSHA1	org.bouncycastle.asn1.oiw.OIWObjectIdentifiers	org.bouncycastle.asn1.oiw.OIWObjectIdentifiers	org.bouncycastle.asn1.ASN1ObjectIdentifier	true	public	org.bouncycastle:bcprov-jdk15on:1.69	false	1
org.bouncycastle:bcpkix-jdk15on:1.69	org.bouncycastle.asn1.pkcs.PKCSObjectIdentifiers::id_RSASSA_PSS	org.bouncycastle.asn1.pkcs.PKCSObjectIdentifiers	org.bouncycastle.asn1.pkcs.PKCSObjectIdentifiers	org.bouncycastle.asn1.ASN1ObjectIdentifier	true	public	org.bouncycastle:bcprov-jdk15on:1.69	false	4
org.bouncycastle:bcpkix-jdk15on:1.69	org.bouncycastle.asn1.x509.Extension::issuerAlternativeName	org.bouncycastle.asn1.x509.Extension	org.bouncycastle.asn1.x509.Extension	org.bouncycastle.asn1.ASN1ObjectIdentifier	true	public	org.bouncycastle:bcprov-jdk15on:1.69	false	1
com.google.code.gson:gson:2.8.7	org.cryptomator.cryptolib.common.MasterkeyFile::scryptCostParam	org.cryptomator.cryptolib.common.MasterkeyFile	org.cryptomator.cryptolib.common.MasterkeyFile	int	false	public	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	true	20
org.bouncycastle:bcpkix-jdk15on:1.69	org.bouncycastle.asn1.nist.NISTObjectIdentifiers::id_shake128_len	org.bouncycastle.asn1.nist.NISTObjectIdentifiers	org.bouncycastle.asn1.nist.NISTObjectIdentifiers	org.bouncycastle.asn1.ASN1ObjectIdentifier	true	public	org.bouncycastle:bcprov-jdk15on:1.69	false	1
org.bouncycastle:bcpkix-jdk15on:1.69	org.bouncycastle.asn1.nist.NISTObjectIdentifiers::id_shake256_len	org.bouncycastle.asn1.nist.NISTObjectIdentifiers	org.bouncycastle.asn1.nist.NISTObjectIdentifiers	org.bouncycastle.asn1.ASN1ObjectIdentifier	true	public	org.bouncycastle:bcprov-jdk15on:1.69	false	1
com.google.code.gson:gson:2.8.7	org.cryptomator.cryptolib.common.MasterkeyFile::scryptBlockSize	org.cryptomator.cryptolib.common.MasterkeyFile	org.cryptomator.cryptolib.common.MasterkeyFile	int	false	public	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	true	20
com.google.code.gson:gson:2.8.7	org.cryptomator.cryptolib.common.MasterkeyFile::versionMac	org.cryptomator.cryptolib.common.MasterkeyFile	org.cryptomator.cryptolib.common.MasterkeyFile	byte[]	false	public	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	true	20
org.bouncycastle:bcpkix-jdk15on:1.69	org.bouncycastle.asn1.x509.Extension::subjectAlternativeName	org.bouncycastle.asn1.x509.Extension	org.bouncycastle.asn1.x509.Extension	org.bouncycastle.asn1.ASN1ObjectIdentifier	true	public	org.bouncycastle:bcprov-jdk15on:1.69	false	1
com.google.code.gson:gson:2.8.7	org.cryptomator.cryptolib.common.MasterkeyFile::macMasterKey	org.cryptomator.cryptolib.common.MasterkeyFile	org.cryptomator.cryptolib.common.MasterkeyFile	byte[]	false	public	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	true	20
