Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.cryptomator.cryptolib.v2.FileNameCryptorImpl::decryptFilename(Lcom/google/common/io/BaseEncoding;Ljava/lang/String;[[B)Ljava/lang/String;	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	com.google.common.io.BaseEncoding::decode(Ljava/lang/CharSequence;)[B	com.google.guava:guava:30.1.1-jre	com.google.common.io.BaseEncoding$StandardBaseEncoding::decode(Ljava/lang/CharSequence;)[B	com.google.guava:guava:30.1.1-jre	105	false	false	
org.cryptomator.cryptolib.api.Masterkey::checkKeyLength([B)[B	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	com.google.common.base.Preconditions::checkArgument(ZLjava/lang/String;I)V	com.google.guava:guava:30.1.1-jre	com.google.common.base.Preconditions::checkArgument(ZLjava/lang/String;I)V	com.google.guava:guava:30.1.1-jre	707	false	false	
org.cryptomator.cryptolib.common.X509CertBuilder::init(Ljava/security/KeyPair;Ljava/lang/String;)Lorg/cryptomator/cryptolib/common/X509CertBuilder;	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	java.security.KeyPair::getPrivate()Ljava/security/PrivateKey;	java.security	java.security.KeyPair::getPrivate()Ljava/security/PrivateKey;	java.security	18	false	false	
org.cryptomator.cryptolib.ecies.KeyDerivationFunction::ansiX963sha256Kdf([B[BI)[B	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	java.security.MessageDigest::getDigestLength()I	java.security	java.security.MessageDigest$Delegate::getDigestLength()I	java.security	13	false	false	
org.bouncycastle.cert.jcajce.JcaX509v3CertificateBuilder::JcaX509v3CertificateBuilder(Lorg/bouncycastle/asn1/x500/X500Name;Ljava/math/BigInteger;Ljava/util/Date;Ljava/util/Date;Lorg/bouncycastle/asn1/x500/X500Name;Ljava/security/PublicKey;)V	org.bouncycastle:bcpkix-jdk15on:1.69	public	org.bouncycastle.asn1.x509.SubjectPublicKeyInfo::getInstance(Ljava/lang/Object;)Lorg/bouncycastle/asn1/x509/SubjectPublicKeyInfo;	org.bouncycastle:bcprov-jdk15on:1.69	org.bouncycastle.asn1.x509.SubjectPublicKeyInfo::getInstance(Ljava/lang/Object;)Lorg/bouncycastle/asn1/x509/SubjectPublicKeyInfo;	org.bouncycastle:bcprov-jdk15on:1.69	7	false	false	
org.cryptomator.cryptolib.common.DestroyableSecretKey::getAlgorithm()Ljava/lang/String;	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	com.google.common.base.Preconditions::checkState(ZLjava/lang/Object;)V	com.google.guava:guava:30.1.1-jre	com.google.common.base.Preconditions::checkState(ZLjava/lang/Object;)V	com.google.guava:guava:30.1.1-jre	115	false	false	
org.cryptomator.cryptolib.common.DestroyableSecretKey::getFormat()Ljava/lang/String;	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	com.google.common.base.Preconditions::checkState(ZLjava/lang/Object;)V	com.google.guava:guava:30.1.1-jre	com.google.common.base.Preconditions::checkState(ZLjava/lang/Object;)V	com.google.guava:guava:30.1.1-jre	72	false	false	
java.security.SecureRandom::SecureRandom(Ljava/security/SecureRandomSpi;Ljava/security/Provider;Ljava/lang/String;)V	java.security	private	java.security.SecureRandom::getThreadSafe()Z	java.security	org.cryptomator.cryptolib.common.ReseedingSecureRandom::getThreadSafe()Z	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	3	false	false	
org.bouncycastle.cert.X509v3CertificateBuilder::generateStructure(Lorg/bouncycastle/asn1/x509/TBSCertificate;Lorg/bouncycastle/asn1/x509/AlgorithmIdentifier;[B)Lorg/bouncycastle/asn1/x509/Certificate;	org.bouncycastle:bcpkix-jdk15on:1.69	public	org.bouncycastle.asn1.ASN1EncodableVector::add(Lorg/bouncycastle/asn1/ASN1Encodable;)V	org.bouncycastle:bcprov-jdk15on:1.69	org.bouncycastle.asn1.ASN1EncodableVector::add(Lorg/bouncycastle/asn1/ASN1Encodable;)V	org.bouncycastle:bcprov-jdk15on:1.69	21	false	false	
org.cryptomator.cryptolib.common.MasterkeyFile$ByteArrayJsonAdapter::write(Lcom/google/gson/stream/JsonWriter;[B)V	org.cryptomator:cryptolib:2.1.0-SNAPSHOT	public	com.google.gson.stream.JsonWriter::value(Ljava/lang/String;)Lcom/google/gson/stream/JsonWriter;	com.google.code.gson:gson:2.8.7	com.google.gson.stream.JsonWriter::value(Ljava/lang/String;)Lcom/google/gson/stream/JsonWriter;	com.google.code.gson:gson:2.8.7	29	false	false	
