Class Name,Class Visibility,Class Library,Usage,Used In Library
org.xml.sax.Attributes,public,org.xml.sax,subtyping,xalan:xalan:2.7.0
com.sun.xml.bind.v2.ContextFactory,public,unknownLib,Class.forName,javax.xml.bind
org.w3c.dom.Element,public,org.w3c.dom,subtyping,xalan:xalan:2.7.0
org.xml.sax.ContentHandler,public,org.xml.sax,subtyping,javax.xml.bind
javax.xml.transform.TransformerException,public,javax.xml.transform,instantiation,xalan:xalan:2.7.0
javax.xml.transform.SourceLocator,public,javax.xml.transform,subtyping,xalan:xalan:2.7.0
org.apache.xml.serializer.ToTextStream,public,xalan:xalan:2.7.0,Class.forName,xalan:xalan:2.7.0
org.w3c.dom.Text,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.w3c.dom.Element,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.w3c.dom.Attr,public,org.w3c.dom,cast,xalan:xalan:2.7.0
com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core,subtyping,com.fasterxml.jackson.databind
org.w3c.dom.Document,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.xml.sax.DTDHandler,public,org.xml.sax,subtyping,xalan:xalan:2.7.0
javax.xml.transform.TransformerConfigurationException,public,javax.xml.transform,instantiation,xalan:xalan:2.7.0
javax.xml.transform.TransformerException,public,javax.xml.transform,cast,xalan:xalan:2.7.0
org.w3c.dom.EntityReference,public,org.w3c.dom,cast,xalan:xalan:2.7.0
com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core,subtyping,com.fasterxml.jackson.databind
org.w3c.dom.DOMException,public,org.w3c.dom,instantiation,xalan:xalan:2.7.0
org.w3c.dom.Entity,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.apache.xml.serializer.ObjectFactory,default,xalan:xalan:2.7.0,Class.forName,xalan:xalan:2.7.0
org.xml.sax.SAXException,public,org.xml.sax,cast,xalan:xalan:2.7.0
java.security.AccessController,public,unknownLib,Class.forName,xalan:xalan:2.7.0
org.xml.sax.ContentHandler,public,org.xml.sax,subtyping,xalan:xalan:2.7.0
com.fasterxml.jackson.core.TreeNode,public,com.fasterxml.jackson.core,subtyping,com.fasterxml.jackson.databind
javax.xml.transform.ErrorListener,public,javax.xml.transform,subtyping,xalan:xalan:2.7.0
org.xml.sax.ErrorHandler,public,org.xml.sax,subtyping,xalan:xalan:2.7.0
org.xml.sax.ContentHandler,public,org.xml.sax,subtyping,javax.xml.validation
org.xml.sax.SAXParseException,public,org.xml.sax,cast,xalan:xalan:2.7.0
org.w3c.dom.Comment,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.w3c.dom.Document,public,org.w3c.dom,subtyping,xalan:xalan:2.7.0
org.xml.sax.SAXException,public,org.xml.sax,instantiation,xalan:xalan:2.7.0
org.w3c.dom.Node,public,org.w3c.dom,subtyping,xalan:xalan:2.7.0
org.xml.sax.InputSource,public,org.xml.sax,instantiation,javax.xml.parsers
org.w3c.dom.DocumentFragment,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.xml.sax.Attributes,public,org.xml.sax,cast,xalan:xalan:2.7.0
org.xml.sax.Locator,public,org.xml.sax,cast,xalan:xalan:2.7.0
org.xml.sax.DTDHandler,public,org.xml.sax,cast,xalan:xalan:2.7.0
org.xml.sax.SAXException,public,org.xml.sax,subtyping,xalan:xalan:2.7.0
org.w3c.dom.ProcessingInstruction,public,org.w3c.dom,cast,xalan:xalan:2.7.0
org.xml.sax.SAXNotRecognizedException,public,org.xml.sax,instantiation,javax.xml.validation
javax.xml.transform.Transformer,public,javax.xml.transform,subtyping,xalan:xalan:2.7.0
javax.xml.transform.Templates,public,javax.xml.transform,subtyping,xalan:xalan:2.7.0
org.xml.sax.ContentHandler,public,org.xml.sax,cast,xalan:xalan:2.7.0
org.w3c.dom.NodeList,public,org.w3c.dom,subtyping,xalan:xalan:2.7.0
org.apache.xml.serializer.OutputPropertiesFactory,public,xalan:xalan:2.7.0,Class.forName,xalan:xalan:2.7.0
