SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.databind,com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core,1
org.apache.xml.serializer.ExtendedContentHandler,xalan:xalan:2.7.0,org.xml.sax.ContentHandler,public,org.xml.sax,1
org.apache.xml.utils.UnImplNode,xalan:xalan:2.7.0,org.w3c.dom.NodeList,public,org.w3c.dom,1
org.apache.xpath.ExpressionNode,xalan:xalan:2.7.0,javax.xml.transform.SourceLocator,public,javax.xml.transform,1
org.apache.xml.serializer.SerializationHandler,xalan:xalan:2.7.0,org.xml.sax.ErrorHandler,public,org.xml.sax,1
org.apache.xml.utils.UnImplNode,xalan:xalan:2.7.0,org.w3c.dom.Element,public,org.w3c.dom,1
org.apache.xml.utils.DefaultErrorHandler,xalan:xalan:2.7.0,org.xml.sax.ErrorHandler,public,org.xml.sax,1
org.apache.xml.utils.StopParseException,xalan:xalan:2.7.0,org.xml.sax.SAXException,public,org.xml.sax,1
javax.xml.validation.ValidatorHandler,javax.xml.validation,org.xml.sax.ContentHandler,public,org.xml.sax,1
org.apache.xml.utils.UnImplNode,xalan:xalan:2.7.0,org.w3c.dom.Node,public,org.w3c.dom,1
javax.xml.bind.UnmarshallerHandler,javax.xml.bind,org.xml.sax.ContentHandler,public,org.xml.sax,1
org.apache.xml.utils.UnImplNode,xalan:xalan:2.7.0,org.w3c.dom.Document,public,org.w3c.dom,1
org.apache.xalan.transformer.TransformerIdentityImpl,xalan:xalan:2.7.0,javax.xml.transform.Transformer,public,javax.xml.transform,1
org.apache.xalan.templates.StylesheetRoot,xalan:xalan:2.7.0,javax.xml.transform.Templates,public,javax.xml.transform,1
org.apache.xml.utils.DefaultErrorHandler,xalan:xalan:2.7.0,javax.xml.transform.ErrorListener,public,javax.xml.transform,1
com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.databind,com.fasterxml.jackson.core.TreeNode,public,com.fasterxml.jackson.core,1
org.apache.xml.utils.SAXSourceLocator,xalan:xalan:2.7.0,javax.xml.transform.SourceLocator,public,javax.xml.transform,1
org.apache.xml.serializer.SerializationHandler,xalan:xalan:2.7.0,org.xml.sax.DTDHandler,public,org.xml.sax,1
com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.databind,com.fasterxml.jackson.core.ObjectCodec,public,com.fasterxml.jackson.core,1
org.apache.xml.serializer.utils.AttList,xalan:xalan:2.7.0,org.xml.sax.Attributes,public,org.xml.sax,1
