Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.glowroot.common.model.TransactionNameSummaryCollector$TransactionNameSummary	-	-	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.ThinClassVisitor$ThinClass	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.IncidentRepository$ResolvedIncident	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.common2.repo.IncidentRepository$OpenIncident	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.embedded.repo.AggregateDao$MutableOverallAggregate	-	-	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.ShimType	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.ThinClassVisitor$ThinMethod	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
org.glowroot.agent.weaving.AnalyzedWorld$ParseContext	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.agent.weaving.AnalyzedWorld$AnalyzedClassAndLoader	-	-	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.common.util.Styles$AllParameters	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1
org.glowroot.common2.config.EmbeddedStorageConfig	-	-	org.glowroot:glowroot-common2:0.13.7-SNAPSHOT	org.immutables.value.Value$Immutable	public	org.immutables:value:2.8.8	1
