Class Name	Class Visibility	Class Library	Usage	Used In Library
org.objectweb.asm.Handle	public	org.ow2.asm:asm:7.3.1	instantiation	org.ow2.asm:asm-commons:7.3.1
ch.qos.logback.classic.pattern.MessageConverter	public	ch.qos.logback:logback-classic:1.2.3	Class.forName	ch.qos.logback:logback-core:1.2.3
org.objectweb.asm.commons.AdviceAdapter	public	org.ow2.asm:asm-commons:7.3.1	subtyping	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT
ch.qos.logback.classic.joran.action.EvaluatorAction	public	ch.qos.logback:logback-classic:1.2.3	method call	ch.qos.logback:logback-core:1.2.3
org.glowroot.wire.api.model.TraceOuterClass$Trace$SharedQueryText	public	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	cast	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT
org.glowroot.wire.api.model.AgentConfigOuterClass$AgentConfig$AlertConfig$AlertCondition$HeartbeatCondition$1	default	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	method call	com.google.protobuf:protobuf-java:3.5.1
ch.qos.logback.core.status.WarnStatus	public	ch.qos.logback:logback-core:1.2.3	instantiation	ch.qos.logback:logback-classic:1.2.3
org.objectweb.asm.tree.TryCatchBlockNode	public	org.ow2.asm:asm-tree:7.3.1	cast	org.ow2.asm:asm-commons:7.3.1
org.glowroot.agent.embedded.util.CappedDatabaseOutputStream$FsyncRunnable	private	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	method call	org.glowroot:glowroot-common:0.13.7-SNAPSHOT
org.glowroot.common.config.GaugeConfig	public	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	cast	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT
org.glowroot.wire.api.model.AggregateOuterClass$Aggregate$Builder	public	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	method call	com.google.protobuf:protobuf-java:3.5.1
