Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
ch.qos.logback.core.pattern.ConverterUtil::startConverters(Lch/qos/logback/core/pattern/Converter;)V	ch.qos.logback:logback-core:1.2.3	public	ch.qos.logback.core.pattern.DynamicConverter::start()V	ch.qos.logback:logback-core:1.2.3	ch.qos.logback.classic.pattern.MessageConverter::start()V	ch.qos.logback:logback-classic:1.2.3	1	false	false	
org.glowroot.agent.embedded.util.DataSource::debug(Lorg/slf4j/Logger;Ljava/lang/String;[Ljava/lang/Object;)V	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	public	org.slf4j.Logger::isDebugEnabled()Z	org.slf4j:slf4j-api:1.7.30	ch.qos.logback.classic.Logger::isDebugEnabled()Z	ch.qos.logback:logback-classic:1.2.3	28	false	false	
org.glowroot.agent.embedded.repo.AggregateDao::getTableName(Lorg/glowroot/common/live/LiveAggregateRepository$AggregateQuery;)Ljava/lang/String;	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	public	org.glowroot.common.live.LiveAggregateRepository$AggregateQuery::transactionName()Ljava/lang/String;	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	org.glowroot.common.live.ImmutableAggregateQuery::transactionName()Ljava/lang/String;	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	1	false	false	
org.glowroot.agent.embedded.repo.AggregateInsert::toStored(Lorg/glowroot/common/model/QueryCollector;)Ljava/util/List;	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	public	com.google.common.collect.ImmutableList::of()Lcom/google/common/collect/ImmutableList;	com.google.guava:guava:31.0.1-jre	com.google.common.collect.ImmutableList::of()Lcom/google/common/collect/ImmutableList;	com.google.guava:guava:31.0.1-jre	4	false	false	
com.google.protobuf.GeneratedMessageV3::GeneratedMessageV3(Lcom/google/protobuf/GeneratedMessageV3$Builder;)V	com.google.protobuf:protobuf-java:3.5.1	public	com.google.protobuf.GeneratedMessageV3$Builder::getUnknownFields()Lcom/google/protobuf/UnknownFieldSet;	com.google.protobuf:protobuf-java:3.5.1	org.glowroot.wire.api.model.Proto$OptionalDouble$Builder::getUnknownFields()Lcom/google/protobuf/UnknownFieldSet;	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	6	false	false	
org.objectweb.asm.commons.Remapper::mapSignature(Ljava/lang/String;Z)Ljava/lang/String;	org.ow2.asm:asm-commons:7.3.1	public	org.objectweb.asm.signature.SignatureWriter::toString()Ljava/lang/String;	org.ow2.asm:asm:7.3.1	org.objectweb.asm.signature.SignatureWriter::toString()Ljava/lang/String;	org.ow2.asm:asm:7.3.1	2364	false	false	
ch.qos.logback.core.joran.GenericConfigurator::registerSafeConfiguration(Ljava/util/List;)V	ch.qos.logback:logback-core:1.2.3	public	ch.qos.logback.core.Context::putObject(Ljava/lang/String;Ljava/lang/Object;)V	ch.qos.logback:logback-core:1.2.3	ch.qos.logback.classic.LoggerContext::putObject(Ljava/lang/String;Ljava/lang/Object;)V	ch.qos.logback:logback-classic:1.2.3	1	false	false	
org.glowroot.agent.embedded.util.Schemas::getMetaDataIndexInfo(Ljava/sql/Connection;Ljava/lang/String;)Ljava/sql/ResultSet;	org.glowroot:glowroot-agent-embedded-unshaded:0.13.7-SNAPSHOT	public	java.sql.DatabaseMetaData::getIndexInfo(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZZ)Ljava/sql/ResultSet;	java.sql	org.h2.jdbc.JdbcDatabaseMetaData::getIndexInfo(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZZ)Ljava/sql/ResultSet;	com.h2database:h2:1.3.176	27	false	false	
com.google.protobuf.GeneratedMessageV3$Builder::mergeUnknownFields(Lcom/google/protobuf/UnknownFieldSet;)Lcom/google/protobuf/GeneratedMessageV3$Builder;	com.google.protobuf:protobuf-java:3.5.1	public	com.google.protobuf.GeneratedMessageV3$Builder::setUnknownFields(Lcom/google/protobuf/UnknownFieldSet;)Lcom/google/protobuf/GeneratedMessageV3$Builder;	com.google.protobuf:protobuf-java:3.5.1	org.glowroot.wire.api.model.TraceOuterClass$Trace$Header$Builder::setUnknownFields(Lcom/google/protobuf/UnknownFieldSet;)Lcom/google/protobuf/GeneratedMessageV3$Builder;	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	17	false	false	
org.glowroot.wire.api.model.AgentConfigOuterClass$AgentConfig$AlertConfig$AlertCondition$MetricCondition::AgentConfigOuterClass$AgentConfig$AlertConfig$AlertCondition$MetricCondition(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)V	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	public	com.google.protobuf.CodedInputStream::readInt64()J	com.google.protobuf:protobuf-java:3.5.1	com.google.protobuf.CodedInputStream$ArrayDecoder::readInt64()J	com.google.protobuf:protobuf-java:3.5.1	2	false	false	
