SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.objectweb.asm.commons.AdviceAdapter	org.ow2.asm:asm-commons:7.3.1	org.objectweb.asm.Opcodes	public	org.ow2.asm:asm:7.3.1	1
org.glowroot.agent.weaving.PluginDetailBuilder$MemberClassVisitor	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.objectweb.asm.ClassVisitor	public	org.ow2.asm:asm:7.3.1	1
org.h2.jdbc.JdbcBatchUpdateException	com.h2database:h2:1.3.176	java.sql.BatchUpdateException	public	java.sql	1
org.glowroot.agent.weaving.FrameDeduppingMethodVisitor	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.objectweb.asm.MethodVisitor	public	org.ow2.asm:asm:7.3.1	1
org.glowroot.wire.api.model.AggregateOuterClass$Aggregate$Timer$Builder	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	com.google.protobuf.GeneratedMessageV3$Builder	public	com.google.protobuf:protobuf-java:3.5.1	1
ch.qos.logback.classic.joran.ReconfigureOnChangeTask	ch.qos.logback:logback-classic:1.2.3	ch.qos.logback.core.spi.ContextAwareBase	public	ch.qos.logback:logback-core:1.2.3	1
org.glowroot.wire.api.model.AgentConfigOuterClass$AgentConfig$MBeanAttribute	org.glowroot:glowroot-wire-api:0.13.7-SNAPSHOT	com.google.protobuf.GeneratedMessageV3	public	com.google.protobuf:protobuf-java:3.5.1	1
org.glowroot.common.util.SizeLimitBypassingParser	org.glowroot:glowroot-common:0.13.7-SNAPSHOT	com.google.protobuf.AbstractParser	public	com.google.protobuf:protobuf-java:3.5.1	1
org.h2.jdbc.JdbcSavepoint	com.h2database:h2:1.3.176	java.sql.Savepoint	public	java.sql	1
org.glowroot.agent.weaving.MethodInfoImpl	org.glowroot:glowroot-agent-core-unshaded:0.13.7-SNAPSHOT	org.glowroot.agent.plugin.api.MethodInfo	public	org.glowroot:glowroot-agent-plugin-api:0.13.7-SNAPSHOT	1
