Class Name	Class Visibility	Class Library	Usage	Used In Library
org.owasp.esapi.codecs.HTMLEntityCodec	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.accesscontrol.DelegatingACR	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
javax.crypto.NullCipher	public	unknownLib	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.DefaultAccessController	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.accesscontrol.policyloader.DynaBeanACRParameterLoader	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
java.util.Random	public	unknownLib	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.waf.internal.InterceptingServletOutputStream	public	org.owasp.esapi:esapi:2.2.3.1	method call	javax.servlet
javax.crypto.Cipher	public	unknownLib	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.accesscontrol.EchoRuntimeParameterACR	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.DefaultSecurityConfiguration	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.w3c.dom.Element	public	org.w3c.dom	cast	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.accesscontrol.AlwaysTrueACR	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.codecs.CSSCodec	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.logging.java.JavaLogFactory	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
java.lang.String	public	unknownLib	Class.forName	org.owasp.esapi:esapi:2.2.3.1
java.util.ArrayList	public	unknownLib	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.DefaultEncoder	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.DefaultIntrusionDetector	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.codecs.PercentCodec	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
javax.servlet.Filter	public	javax.servlet	subtyping	org.owasp.esapi:esapi:2.2.3.1
javax.servlet.ServletOutputStream	public	javax.servlet	subtyping	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.reference.crypto.JavaEncryptor	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
org.owasp.esapi.codecs.JavaScriptCodec	public	org.owasp.esapi:esapi:2.2.3.1	Class.forName	org.owasp.esapi:esapi:2.2.3.1
