Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.owasp.dependencycheck.exception.InitializationException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.reporting.ReportGenerator	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.nvdcve.CveDB	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.DateUtil	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.hints.HintRule	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.suppression.SuppressionRule	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.AnalysisTask	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.Filter	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.Engine	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.pom.License	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.dependency.Evidence	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.exception.ReportException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.xml.hints.HintErrorHandler	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.exception.ParseException	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.data.cwe.CweDB	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.UrlStringUtils	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.utils.TooManyRequestsException	-	-	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	javax.annotation.concurrent.ThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
org.owasp.dependencycheck.exception.ExceptionCollection	-	-	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	javax.annotation.concurrent.NotThreadSafe	public	com.google.code.findbugs:jsr305:3.0.2	1
