Class Name	Class Visibility	Class Library	Usage	Used In Library
java.security.MessageDigest$Delegate	default	java.security	method call	commons-codec:commons-codec:1.15
com.fasterxml.jackson.annotation.JsonIdentityReference	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
com.fasterxml.jackson.annotation.JacksonAnnotation	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	annotation	com.fasterxml.jackson.core:jackson-databind:2.13.0
com.fasterxml.jackson.annotation.JsonTypeInfo	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
java.sql.ResultSet	public	java.sql	subtyping	com.h2database:h2:1.4.199
com.fasterxml.jackson.core.JsonParser	public	com.fasterxml.jackson.core:jackson-core:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.apache.commons.lang3.builder.HashCodeBuilder	public	org.apache.commons:commons-lang3:3.12.0	instantiation	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.annotation.JsonBackReference	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
com.fasterxml.jackson.annotation.JsonPropertyOrder	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.apache.commons.text.WordUtils	public	org.apache.commons:commons-text:1.9	instantiation	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.core.JsonFactory	public	com.fasterxml.jackson.core:jackson-core:2.13.0	subtyping	com.fasterxml.jackson.core:jackson-databind:2.13.0
com.google.common.io.Resources	public	com.google.guava:guava:31.0.1-jre	method call	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.core.JsonGenerator	public	com.fasterxml.jackson.core:jackson-core:2.13.0	subtyping	com.fasterxml.jackson.core:jackson-databind:2.13.0
us.springett.parsers.cpe.values.LogicalValue	public	us.springett:cpe-parser:2.0.2	method call	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
us.springett.parsers.cpe.Cpe	public	us.springett:cpe-parser:2.0.2	method call	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
org.h2.Driver	public	com.h2database:h2:1.4.199	Class.forName	java.sql
org.owasp.dependencycheck.utils.FileUtils	public	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	method call	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
org.apache.commons.lang3.Range	public	org.apache.commons:commons-lang3:3.12.0	method call	org.apache.commons:commons-text:1.9
com.fasterxml.jackson.annotation.JsonAutoDetect	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.apache.lucene.analysis.Analyzer$TokenStreamComponents	public	org.apache.lucene:lucene-core:8.10.1	instantiation	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
java.sql.SQLInvalidAuthorizationSpecException	public	java.sql	subtyping	com.h2database:h2:1.4.199
com.fasterxml.jackson.annotation.ObjectIdGenerator$IdKey	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	instantiation	com.fasterxml.jackson.core:jackson-databind:2.13.0
us.springett.parsers.cpe.CpeBuilder	public	us.springett:cpe-parser:2.0.2	method call	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.core.util.Instantiatable	public	com.fasterxml.jackson.core:jackson-core:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
com.fasterxml.jackson.annotation.JsonUnwrapped	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
javax.xml.parsers.SAXParserFactory	public	javax.xml.parsers	method call	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT
com.fasterxml.jackson.annotation.JsonIdentityInfo	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
java.sql.Timestamp	public	java.sql	instantiation	com.h2database:h2:1.4.199
sun.security.provider.NativePRNG	public	unknownLib	Class.forName	java.security
java.sql.SQLException	public	java.sql	subtyping	com.h2database:h2:1.4.199
org.owasp.dependencycheck.utils.WriteLockCleanupHook	public	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	Class.forName	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.annotation.JsonProperty	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
com.fasterxml.jackson.core.TreeNode	public	com.fasterxml.jackson.core:jackson-core:2.13.0	subtyping	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream	public	org.apache.commons:commons-compress:1.21	instantiation	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
java.sql.Timestamp	public	java.sql	instantiation	org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.core.PrettyPrinter	public	com.fasterxml.jackson.core:jackson-core:2.13.0	cast	com.fasterxml.jackson.core:jackson-databind:2.13.0
java.sql.Clob	public	java.sql	cast	com.h2database:h2:1.4.199
