Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonGenerator$Feature::WRITE_BIGDECIMAL_AS_PLAIN	com.fasterxml.jackson.core.JsonGenerator$Feature	com.fasterxml.jackson.core.JsonGenerator$Feature	com.fasterxml.jackson.core.JsonGenerator$Feature	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	2
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonFormat$Shape::ARRAY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	4
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::START_OBJECT	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	24
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonInclude$Include::NON_DEFAULT	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	1
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonProperty$Access::AUTO	com.fasterxml.jackson.annotation.JsonProperty$Access	com.fasterxml.jackson.annotation.JsonProperty$Access	com.fasterxml.jackson.annotation.JsonProperty$Access	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	2
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonParser$NumberType::INT	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	11
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.Nulls::FAIL	com.fasterxml.jackson.annotation.Nulls	com.fasterxml.jackson.annotation.Nulls	com.fasterxml.jackson.annotation.Nulls	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	2
org.owasp:dependency-check-core:6.4.2-SNAPSHOT	org.apache.commons.lang3.time.DateFormatUtils::ISO_8601_EXTENDED_DATETIME_TIME_ZONE_FORMAT	org.apache.commons.lang3.time.DateFormatUtils	org.apache.commons.lang3.time.DateFormatUtils	org.apache.commons.lang3.time.FastDateFormat	true	public	org.apache.commons:commons-lang3:3.12.0	false	1
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonFormat$Shape::BINARY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	1
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonTypeInfo$As::WRAPPER_ARRAY	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	2
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::VALUE_FALSE	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	2
org.owasp:dependency-check-core:6.4.2-SNAPSHOT	us.springett.parsers.cpe.values.LogicalValue::ANY	us.springett.parsers.cpe.values.LogicalValue	us.springett.parsers.cpe.values.LogicalValue	us.springett.parsers.cpe.values.LogicalValue	true	public	us.springett:cpe-parser:2.0.2	false	3
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.StreamReadCapability::DUPLICATE_PROPERTIES	com.fasterxml.jackson.core.StreamReadCapability	com.fasterxml.jackson.core.StreamReadCapability	com.fasterxml.jackson.core.StreamReadCapability	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	1
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonTypeInfo$As::EXTERNAL_PROPERTY	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	com.fasterxml.jackson.annotation.JsonTypeInfo$As	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	4
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::VALUE_NUMBER_INT	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	9
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::VALUE_EMBEDDED_OBJECT	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	15
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonTypeInfo$Id::NONE	com.fasterxml.jackson.annotation.JsonTypeInfo$Id	com.fasterxml.jackson.annotation.JsonTypeInfo$Id	com.fasterxml.jackson.annotation.JsonTypeInfo$Id	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	1
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonParser$NumberType::FLOAT	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	3
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonParser$NumberType::LONG	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	6
org.owasp:dependency-check-core:6.4.2-SNAPSHOT	us.springett.parsers.cpe.values.LogicalValue::NA	us.springett.parsers.cpe.values.LogicalValue	us.springett.parsers.cpe.values.LogicalValue	us.springett.parsers.cpe.values.LogicalValue	true	public	us.springett:cpe-parser:2.0.2	false	4
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility::DEFAULT	com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility	com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility	com.fasterxml.jackson.annotation.JsonAutoDetect$Visibility	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	8
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.annotation.JsonFormat$Shape::OBJECT	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	true	public	com.fasterxml.jackson.core:jackson-annotations:2.13.0	false	6
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.util.InternCache::instance	com.fasterxml.jackson.core.util.InternCache	com.fasterxml.jackson.core.util.InternCache	com.fasterxml.jackson.core.util.InternCache	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	3
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonParser$NumberType::DOUBLE	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	com.fasterxml.jackson.core.JsonParser$NumberType	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	3
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::START_ARRAY	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	19
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::END_ARRAY	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	30
com.fasterxml.jackson.core:jackson-databind:2.13.0	com.fasterxml.jackson.core.JsonToken::VALUE_NUMBER_FLOAT	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	com.fasterxml.jackson.core.JsonToken	true	public	com.fasterxml.jackson.core:jackson-core:2.13.0	false	9
org.owasp:dependency-check-core:6.4.2-SNAPSHOT	java.sql.JDBCType::INTEGER	java.sql.JDBCType	java.sql.JDBCType	java.sql.JDBCType	true	public	java.sql	false	1
