Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.owasp.dependencycheck.dependency.VulnerableSoftware::hashCode()I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.HashCodeBuilder::toHashCode()I	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.HashCodeBuilder::toHashCode()I	org.apache.commons:commons-lang3:3.12.0	3	false	false	
org.owasp.dependencycheck.dependency.Dependency::calculateChecksums(Ljava/io/File;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.Checksum::getSHA256Checksum(Ljava/io/File;)Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.Checksum::getSHA256Checksum(Ljava/io/File;)Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	12	false	false	
org.h2.message.DbException::DbException(Ljava/sql/SQLException;)V	com.h2database:h2:1.4.199	public	java.sql.SQLException::getMessage()Ljava/lang/String;	java.sql	java.sql.SQLException::getMessage()Ljava/lang/String;	java.sql	1	false	false	
org.apache.commons.codec.digest.DigestUtils::getDigest(Ljava/lang/String;)Ljava/security/MessageDigest;	commons-codec:commons-codec:1.15	public	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	java.security.MessageDigest::getInstance(Ljava/lang/String;)Ljava/security/MessageDigest;	java.security	6	false	false	
org.owasp.dependencycheck.utils.XmlUtils::getPrettyParseExceptionInfo(Lorg/xml/sax/SAXParseException;)Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	public	org.xml.sax.SAXParseException::getSystemId()Ljava/lang/String;	org.xml.sax	org.xml.sax.SAXParseException::getSystemId()Ljava/lang/String;	org.xml.sax	1	false	false	
org.owasp.dependencycheck.dependency.naming.PurlIdentifier::compareTo(Lorg/owasp/dependencycheck/dependency/naming/Identifier;)I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.CompareToBuilder::toComparison()I	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.CompareToBuilder::toComparison()I	org.apache.commons:commons-lang3:3.12.0	4	false	false	
org.owasp.dependencycheck.data.nvdcve.DatabaseManager::getH2DataFile(Lorg/owasp/dependencycheck/utils/Settings;)Ljava/io/File;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.Settings::getH2DataDirectory()Ljava/io/File;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.Settings::getH2DataDirectory()Ljava/io/File;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	1	false	false	
org.owasp.dependencycheck.xml.suppression.SuppressionParser::parseSuppressionRules(Ljava/io/InputStream;)Ljava/util/List;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.io.input.BOMInputStream::getBOM()Lorg/apache/commons/io/ByteOrderMark;	commons-io:commons-io:2.11.0	org.apache.commons.io.input.BOMInputStream::getBOM()Lorg/apache/commons/io/ByteOrderMark;	commons-io:commons-io:2.11.0	4	false	false	
org.owasp.dependencycheck.dependency.VulnerableSoftware::compareVersions(Lorg/owasp/dependencycheck/dependency/VulnerableSoftware;Ljava/lang/String;)Z	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	us.springett.parsers.cpe.values.LogicalValue::getAbbreviation()Ljava/lang/String;	us.springett:cpe-parser:2.0.2	us.springett.parsers.cpe.values.LogicalValue::getAbbreviation()Ljava/lang/String;	us.springett:cpe-parser:2.0.2	12	false	false	
org.owasp.dependencycheck.dependency.naming.CpeIdentifier::hashCode()I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.HashCodeBuilder::append(Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/HashCodeBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.HashCodeBuilder::append(Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/HashCodeBuilder;	org.apache.commons:commons-lang3:3.12.0	28	false	false	
org.owasp.dependencycheck.xml.assembly.GrokParser::parse(Ljava/io/InputStream;)Lorg/owasp/dependencycheck/xml/assembly/AssemblyData;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.XmlUtils::buildSecureSaxParser([Ljava/io/InputStream;)Ljavax/xml/parsers/SAXParser;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.XmlUtils::buildSecureSaxParser([Ljava/io/InputStream;)Ljavax/xml/parsers/SAXParser;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	1	false	false	
org.owasp.dependencycheck.dependency.naming.PurlIdentifier::PurlIdentifier(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/owasp/dependencycheck/dependency/Confidence;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	com.github.packageurl.PackageURLBuilder::aPackageURL()Lcom/github/packageurl/PackageURLBuilder;	com.github.package-url:packageurl-java:1.4.1	com.github.packageurl.PackageURLBuilder::aPackageURL()Lcom/github/packageurl/PackageURLBuilder;	com.github.package-url:packageurl-java:1.4.1	3	false	false	
us.springett.parsers.cpe.Cpe::Cpe(Lus/springett/parsers/cpe/values/Part;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V	us.springett:cpe-parser:2.0.2	private	us.springett.parsers.cpe.Cpe::validate(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V	us.springett:cpe-parser:2.0.2	org.owasp.dependencycheck.dependency.VulnerableSoftware::validate(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	19	false	false	
org.owasp.dependencycheck.dependency.Evidence::hashCode()I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.HashCodeBuilder::append(Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/HashCodeBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.HashCodeBuilder::append(Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/HashCodeBuilder;	org.apache.commons:commons-lang3:3.12.0	8	false	false	
org.h2.Driver::load()Lorg/h2/Driver;	com.h2database:h2:1.4.199	public	java.sql.DriverManager::registerDriver(Ljava/sql/Driver;)V	java.sql	java.sql.DriverManager::registerDriver(Ljava/sql/Driver;)V	java.sql	1	false	false	
org.apache.commons.text.translate.NumericEntityEscaper::NumericEntityEscaper(IIZ)V	org.apache.commons:commons-text:1.9	public	org.apache.commons.lang3.Range::between(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/apache/commons/lang3/Range;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.Range::between(Ljava/lang/Comparable;Ljava/lang/Comparable;)Lorg/apache/commons/lang3/Range;	org.apache.commons:commons-lang3:3.12.0	6	false	false	
org.owasp.dependencycheck.xml.assembly.GrokParser::parse(Ljava/io/InputStream;)Lorg/owasp/dependencycheck/xml/assembly/AssemblyData;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.FileUtils::getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.FileUtils::getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	1	false	false	
org.owasp.dependencycheck.dependency.naming.GenericIdentifier::hashCode()I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.HashCodeBuilder::toHashCode()I	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.HashCodeBuilder::toHashCode()I	org.apache.commons:commons-lang3:3.12.0	6	false	false	
org.owasp.dependencycheck.dependency.Evidence::equals(Ljava/lang/Object;)Z	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.EqualsBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/EqualsBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.EqualsBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/EqualsBuilder;	org.apache.commons:commons-lang3:3.12.0	40	false	false	
org.owasp.dependencycheck.xml.pom.License::equals(Ljava/lang/Object;)Z	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.EqualsBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/EqualsBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.EqualsBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/EqualsBuilder;	org.apache.commons:commons-lang3:3.12.0	2	false	false	
org.owasp.dependencycheck.dependency.Evidence::compareTo(Lorg/owasp/dependencycheck/dependency/Evidence;)I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.CompareToBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/CompareToBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.CompareToBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/CompareToBuilder;	org.apache.commons:commons-lang3:3.12.0	76	false	false	
org.owasp.dependencycheck.data.nvdcve.DatabaseManager::getResource(Ljava/lang/String;)Ljava/lang/String;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	com.google.common.io.Resources::toString(Ljava/net/URL;Ljava/nio/charset/Charset;)Ljava/lang/String;	com.google.guava:guava:31.0.1-jre	com.google.common.io.Resources::toString(Ljava/net/URL;Ljava/nio/charset/Charset;)Ljava/lang/String;	com.google.guava:guava:31.0.1-jre	3	false	false	
org.apache.commons.text.StringSubstitutor::resolveVariable(Ljava/lang/String;Lorg/apache/commons/text/TextStringBuilder;II)Ljava/lang/String;	org.apache.commons:commons-text:1.9	public	org.apache.commons.text.lookup.StringLookup::lookup(Ljava/lang/String;)Ljava/lang/String;	org.apache.commons:commons-text:1.9	org.owasp.dependencycheck.xml.pom.Model$PropertyLookup::lookup(Ljava/lang/String;)Ljava/lang/String;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	6	false	false	
org.owasp.dependencycheck.utils.WriteLockShutdownHookFactory::getHook(Lorg/owasp/dependencycheck/utils/Settings;)Lorg/owasp/dependencycheck/utils/WriteLockShutdownHook;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.Settings::getString(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.Settings::getString(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	1	false	false	
org.owasp.dependencycheck.data.nvdcve.DatabaseManager::initialize()V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.Settings::getBoolean(Ljava/lang/String;Z)Z	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.Settings::getBoolean(Ljava/lang/String;Z)Z	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	1	false	false	
org.owasp.dependencycheck.data.nvdcve.DatabaseManager::ensureSchemaVersion(Ljava/sql/Connection;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.Settings::getBoolean(Ljava/lang/String;Z)Z	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.Settings::getBoolean(Ljava/lang/String;Z)Z	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	3	false	false	
org.owasp.dependencycheck.dependency.VulnerableSoftware::hashCode()I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.HashCodeBuilder::append(Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/HashCodeBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.HashCodeBuilder::append(Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/HashCodeBuilder;	org.apache.commons:commons-lang3:3.12.0	12	false	false	
org.owasp.dependencycheck.utils.XmlUtils::getPrettyParseExceptionInfo(Lorg/xml/sax/SAXParseException;)Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	public	org.xml.sax.SAXParseException::getMessage()Ljava/lang/String;	org.xml.sax	org.xml.sax.SAXParseException::getMessage()Ljava/lang/String;	org.xml.sax	1	false	false	
org.owasp.dependencycheck.utils.DateUtil::parseXmlDate(Ljava/lang/String;)Ljava/util/Calendar;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	javax.xml.datatype.DatatypeFactory::newInstance()Ljavax/xml/datatype/DatatypeFactory;	javax.xml.datatype	javax.xml.datatype.DatatypeFactory::newInstance()Ljavax/xml/datatype/DatatypeFactory;	javax.xml.datatype	5	false	false	
org.owasp.dependencycheck.data.nvdcve.DatabaseManager::updateSchema(Ljava/sql/Connection;Lorg/owasp/dependencycheck/utils/DependencyVersion;Lorg/owasp/dependencycheck/utils/DependencyVersion;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	java.sql.Connection::createStatement()Ljava/sql/Statement;	java.sql	org.h2.jdbc.JdbcConnection::createStatement()Ljava/sql/Statement;	com.h2database:h2:1.4.199	3	false	false	
org.owasp.dependencycheck.dependency.VulnerableSoftware::compareTo(Ljava/lang/Object;)I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.CompareToBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/CompareToBuilder;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.CompareToBuilder::append(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/builder/CompareToBuilder;	org.apache.commons:commons-lang3:3.12.0	8	false	false	
org.apache.commons.text.translate.NumericEntityEscaper::translate(ILjava/io/Writer;)Z	org.apache.commons:commons-text:1.9	public	org.apache.commons.lang3.Range::contains(Ljava/lang/Object;)Z	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.Range::contains(Ljava/lang/Object;)Z	org.apache.commons:commons-lang3:3.12.0	12	false	false	
org.owasp.dependencycheck.dependency.naming.CpeIdentifier::CpeIdentifier(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/owasp/dependencycheck/dependency/Confidence;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	us.springett.parsers.cpe.CpeBuilder::version(Ljava/lang/String;)Lus/springett/parsers/cpe/CpeBuilder;	us.springett:cpe-parser:2.0.2	us.springett.parsers.cpe.CpeBuilder::version(Ljava/lang/String;)Lus/springett/parsers/cpe/CpeBuilder;	us.springett:cpe-parser:2.0.2	11	false	false	
org.owasp.dependencycheck.dependency.VulnerableSoftware::equals(Ljava/lang/Object;)Z	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.builder.EqualsBuilder::isEquals()Z	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.builder.EqualsBuilder::isEquals()Z	org.apache.commons:commons-lang3:3.12.0	3	false	false	
org.owasp.dependencycheck.data.nvdcve.DatabaseManager::getResource(Ljava/lang/String;)Ljava/lang/String;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	com.google.common.io.Resources::getResource(Ljava/lang/String;)Ljava/net/URL;	com.google.guava:guava:31.0.1-jre	com.google.common.io.Resources::getResource(Ljava/lang/String;)Ljava/net/URL;	com.google.guava:guava:31.0.1-jre	3	false	false	
org.owasp.dependencycheck.xml.suppression.SuppressionParser::parseSuppressionRules(Ljava/io/InputStream;)Ljava/util/List;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.owasp.dependencycheck.utils.FileUtils::getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	org.owasp.dependencycheck.utils.FileUtils::getResourceAsStream(Ljava/lang/String;)Ljava/io/InputStream;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	16	false	false	
org.owasp.dependencycheck.xml.hints.HintParser::parseHints(Ljava/io/InputStream;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.xml.sax.SAXException::getMessage()Ljava/lang/String;	org.xml.sax	org.xml.sax.SAXException::getMessage()Ljava/lang/String;	org.xml.sax	1	false	false	
org.owasp.dependencycheck.dependency.naming.PurlIdentifier::compareTo(Lorg/owasp/dependencycheck/dependency/naming/Identifier;)I	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	com.github.packageurl.PackageURL::canonicalize()Ljava/lang/String;	com.github.package-url:packageurl-java:1.4.1	com.github.packageurl.PackageURL::canonicalize()Ljava/lang/String;	com.github.package-url:packageurl-java:1.4.1	8	false	false	
org.owasp.dependencycheck.utils.DependencyVersion::toString()Ljava/lang/String;	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	org.apache.commons.lang3.StringUtils::join(Ljava/lang/Iterable;C)Ljava/lang/String;	org.apache.commons:commons-lang3:3.12.0	org.apache.commons.lang3.StringUtils::join(Ljava/lang/Iterable;C)Ljava/lang/String;	org.apache.commons:commons-lang3:3.12.0	25	false	false	
org.owasp.dependencycheck.dependency.naming.CpeIdentifier::CpeIdentifier(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/owasp/dependencycheck/dependency/Confidence;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	public	us.springett.parsers.cpe.CpeBuilder::build()Lus/springett/parsers/cpe/Cpe;	us.springett:cpe-parser:2.0.2	us.springett.parsers.cpe.CpeBuilder::build()Lus/springett/parsers/cpe/Cpe;	us.springett:cpe-parser:2.0.2	11	false	false	
org.owasp.dependencycheck.utils.XmlUtils::buildSecureSaxParser()Ljavax/xml/parsers/SAXParser;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	public	javax.xml.parsers.SAXParserFactory::newInstance()Ljavax/xml/parsers/SAXParserFactory;	javax.xml.parsers	javax.xml.parsers.SAXParserFactory::newInstance()Ljavax/xml/parsers/SAXParserFactory;	javax.xml.parsers	12	false	false	
