Caller Method	Caller Library	Interface Name	Interface Library	Callee Method	Impl. Name	Impl. Library
org.owasp.dependencycheck.utils.Settings::getArray(Ljava/lang/String;)[Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.utils.Settings::setArrayIfNotEmpty(Ljava/lang/String;[Ljava/lang/String;)V	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.utils.Settings::setArrayIfNotEmpty(Ljava/lang/String;Ljava/util/List;)V	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.data.update.nvd.NvdCveParser::parse(Ljava/io/File;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::registerModule(Lcom/fasterxml/jackson/databind/Module;)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.utils.Settings::getArray(Ljava/lang/String;)[Ljava/lang/String;	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.utils.Settings::setArrayIfNotEmpty(Ljava/lang/String;[Ljava/lang/String;)V	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.utils.Settings::setArrayIfNotEmpty(Ljava/lang/String;Ljava/util/List;)V	org.owasp:dependency-check-utils:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.data.update.nvd.NvdCveParser::parse(Ljava/io/File;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/DeserializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.data.update.nvd.NvdCveParser::parse(Ljava/io/File;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::readerFor(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectReader;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.data.artifactory.ArtifactorySearch::ArtifactorySearch(Lorg/owasp/dependencycheck/utils/Settings;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::configure(Lcom/fasterxml/jackson/databind/DeserializationFeature;Z)Lcom/fasterxml/jackson/databind/ObjectMapper;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
org.owasp.dependencycheck.data.artifactory.ArtifactorySearch::ArtifactorySearch(Lorg/owasp/dependencycheck/utils/Settings;)V	org.owasp:dependency-check-core:6.4.2-SNAPSHOT	com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.core:jackson-core:2.13.0	com.fasterxml.jackson.databind.ObjectMapper::readerFor(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectReader;	com.fasterxml.jackson.databind.ObjectMapper	com.fasterxml.jackson.core:jackson-databind:2.13.0
