Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	public	org.owasp.dependencycheck.data.artifactory.ChecksumsImpl::setSha1(Ljava/lang/String;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	private	org.owasp.dependencycheck.data.artifactory.ItemImpl::setModifiedBy(Ljava/lang/String;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	public	org.owasp.dependencycheck.data.artifactory.FileImpl::setSize(J)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	private	org.owasp.dependencycheck.data.artifactory.ItemImpl::setPath(Ljava/lang/String;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	private	org.owasp.dependencycheck.data.artifactory.ItemImpl::setLastModified(Ljava/util/Date;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	private	org.owasp.dependencycheck.data.artifactory.ItemImpl::setLastUpdated(Ljava/util/Date;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	public	org.owasp.dependencycheck.data.artifactory.FileImpl::setCreatedBy(Ljava/lang/String;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	public	org.owasp.dependencycheck.data.artifactory.FileImpl::setMimeType(Ljava/lang/String;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	public	org.owasp.dependencycheck.data.artifactory.FileImpl::setCreated(Ljava/util/Date;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.13.0	java.lang.reflect.Method	public	org.owasp.dependencycheck.data.artifactory.FileImpl::setRemoteUrl(Ljava/lang/String;)V		org.owasp:dependency-check-core:6.4.2-SNAPSHOT
