Class Name,Class Visibility,Class Library,Usage,Used In Library
org.elasticsearch.action.index.IndexResponse,public,org.elasticsearch:elasticsearch:7.12.1,method call,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.common.collect.ImmutableOpenMap,public,org.elasticsearch:elasticsearch:7.12.1,cast,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.action.bulk.BulkResponse,public,org.elasticsearch:elasticsearch:7.12.1,method call,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.search.aggregations.AbstractAggregationBuilder,public,org.elasticsearch:elasticsearch:7.12.1,cast,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.common.geo.GeoDistance,default,org.elasticsearch:elasticsearch:7.12.1,method call,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.action.admin.indices.alias.get.GetAliasesRequest,public,org.elasticsearch:elasticsearch:7.12.1,instantiation,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.search.fetch.subphase.highlight.HighlightBuilder,public,org.elasticsearch:elasticsearch:7.12.1,instantiation,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.index.reindex.DeleteByQueryRequestBuilder,public,org.elasticsearch:elasticsearch:7.12.1,cast,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.common.xcontent.XContentFactory,public,org.elasticsearch.common.xcontent,method call,org.elasticsearch:elasticsearch:7.12.1
org.elasticsearch.action.update.UpdateRequest,public,org.elasticsearch:elasticsearch:7.12.1,method call,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.action.index.IndexResponse,public,org.elasticsearch:elasticsearch:7.12.1,cast,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.action.search.ClearScrollRequest,public,org.elasticsearch:elasticsearch:7.12.1,instantiation,org.springframework.data:spring-data-elasticsearch:4.2.5
com.fasterxml.jackson.core.Versioned,public,com.fasterxml.jackson.core,subtyping,com.fasterxml.jackson.databind
com.fasterxml.jackson.core.TreeNode,public,com.fasterxml.jackson.core,subtyping,com.fasterxml.jackson.databind
org.elasticsearch.action.DocWriteRequest$OpType,public,org.elasticsearch:elasticsearch:7.12.1,method call,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.action.update.UpdateRequest,public,org.elasticsearch:elasticsearch:7.12.1,cast,org.springframework.data:spring-data-elasticsearch:4.2.5
org.elasticsearch.common.xcontent.XContentBuilderExtension,public,org.elasticsearch.common.xcontent,subtyping,org.elasticsearch:elasticsearch:7.12.1
org.elasticsearch.action.search.SearchScrollRequest,public,org.elasticsearch:elasticsearch:7.12.1,method call,org.springframework.data:spring-data-elasticsearch:4.2.5
