Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
com.fasterxml.jackson.databind	com.fasterxml.jackson.core.JsonEncoding::UTF8	com.fasterxml.jackson.core.JsonEncoding	com.fasterxml.jackson.core.JsonEncoding	com.fasterxml.jackson.core.JsonEncoding	TRUE	public	com.fasterxml.jackson.core	FALSE	12
org.springframework.data:spring-data-elasticsearch:4.2.5	org.elasticsearch.script.ScriptType::INLINE	org.elasticsearch.script.ScriptType	org.elasticsearch.script.ScriptType	org.elasticsearch.script.ScriptType	TRUE	public	org.elasticsearch:elasticsearch:7.12.1	FALSE	1
org.springframework.data:spring-data-elasticsearch:4.2.5	org.elasticsearch.common.xcontent.XContentType::JSON	org.elasticsearch.common.xcontent.XContentType	org.elasticsearch.common.xcontent.XContentType	org.elasticsearch.common.xcontent.XContentType	TRUE	public	org.elasticsearch.common.xcontent	FALSE	7
org.springframework.data:spring-data-elasticsearch:4.2.5	org.elasticsearch.action.admin.cluster.node.info.NodesInfoAction::INSTANCE	org.elasticsearch.action.admin.cluster.node.info.NodesInfoAction	org.elasticsearch.action.admin.cluster.node.info.NodesInfoAction	org.elasticsearch.action.admin.cluster.node.info.NodesInfoAction	TRUE	public	org.elasticsearch:elasticsearch:7.12.1	FALSE	1
org.springframework.data:spring-data-elasticsearch:4.2.5	org.elasticsearch.search.sort.SortOrder::DESC	org.elasticsearch.search.sort.SortOrder	org.elasticsearch.search.sort.SortOrder	org.elasticsearch.search.sort.SortOrder	TRUE	public	org.elasticsearch:elasticsearch:7.12.1	FALSE	1
org.springframework.data:spring-data-elasticsearch:4.2.5	org.elasticsearch.index.reindex.UpdateByQueryAction::INSTANCE	org.elasticsearch.index.reindex.UpdateByQueryAction	org.elasticsearch.index.reindex.UpdateByQueryAction	org.elasticsearch.index.reindex.UpdateByQueryAction	TRUE	public	org.elasticsearch:elasticsearch:7.12.1	FALSE	1
com.fasterxml.jackson.databind	com.fasterxml.jackson.core.JsonParser$Feature::AUTO_CLOSE_SOURCE	com.fasterxml.jackson.core.JsonParser$Feature	com.fasterxml.jackson.core.JsonParser$Feature	com.fasterxml.jackson.core.JsonParser$Feature	TRUE	public	com.fasterxml.jackson.core	FALSE	3
org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ObjectParser$ValueType::OBJECT_ARRAY	org.elasticsearch.common.xcontent.ObjectParser$ValueType	org.elasticsearch.common.xcontent.ObjectParser$ValueType	org.elasticsearch.common.xcontent.ObjectParser$ValueType	TRUE	public	org.elasticsearch.common.xcontent	FALSE	2
org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.XContentType::YAML	org.elasticsearch.common.xcontent.XContentType	org.elasticsearch.common.xcontent.XContentType	org.elasticsearch.common.xcontent.XContentType	TRUE	public	org.elasticsearch.common.xcontent	FALSE	1
org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ObjectParser$ValueType::STRING	org.elasticsearch.common.xcontent.ObjectParser$ValueType	org.elasticsearch.common.xcontent.ObjectParser$ValueType	org.elasticsearch.common.xcontent.ObjectParser$ValueType	TRUE	public	org.elasticsearch.common.xcontent	FALSE	4
