Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.elasticsearch.index.get.GetResult::fromXContentEmbedded(Lorg/elasticsearch/common/xcontent/XContentParser;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lorg/elasticsearch/index/get/GetResult;	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.XContentBuilder::close()V	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.XContentBuilder::close()V	org.elasticsearch.common.xcontent	7	false	false	
org.elasticsearch.search.aggregations.ParsedAggregation::declareAggregationFields(Lorg/elasticsearch/common/xcontent/AbstractObjectParser;)V	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.AbstractObjectParser::declareObject(Ljava/util/function/BiConsumer;Lorg/elasticsearch/common/xcontent/ContextParser;Lorg/elasticsearch/common/ParseField;)V	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.ObjectParser::declareObject(Ljava/util/function/BiConsumer;Lorg/elasticsearch/common/xcontent/ContextParser;Lorg/elasticsearch/common/ParseField;)V	org.elasticsearch.common.xcontent	2	false	false	
org.elasticsearch.search.sort.GeoDistanceSortBuilder::toXContent(Lorg/elasticsearch/common/xcontent/XContentBuilder;Lorg/elasticsearch/common/xcontent/ToXContent$Params;)Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.XContentBuilder::field(Ljava/lang/String;Ljava/lang/String;)Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.XContentBuilder::field(Ljava/lang/String;Ljava/lang/String;)Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	1	false	false	
org.elasticsearch.search.rescore.RescorerBuilder::toXContent(Lorg/elasticsearch/common/xcontent/XContentBuilder;Lorg/elasticsearch/common/xcontent/ToXContent$Params;)Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.XContentBuilder::endObject()Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.XContentBuilder::endObject()Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	2	false	false	
org.springframework.data.elasticsearch.client.util.RequestConverters::getStyleRequest(Ljava/lang/String;Lorg/elasticsearch/action/get/GetRequest;)Lorg/elasticsearch/client/Request;	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.action.get.GetRequest::routing()Ljava/lang/String;	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.action.get.GetRequest::routing()Ljava/lang/String;	org.elasticsearch:elasticsearch:7.12.1	7	false	false	
org.springframework.data.elasticsearch.client.util.RequestConverters::multiGet(Lorg/elasticsearch/action/get/MultiGetRequest;)Lorg/elasticsearch/client/Request;	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.action.get.MultiGetRequest::refresh()Z	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.action.get.MultiGetRequest::refresh()Z	org.elasticsearch:elasticsearch:7.12.1	3	false	false	
org.springframework.data.elasticsearch.core.index.MappingParameters::writeTypeAndParametersTo(Lorg/elasticsearch/common/xcontent/XContentBuilder;)V	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.common.xcontent.XContentBuilder::endObject()Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.XContentBuilder::endObject()Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	4	false	false	
org.elasticsearch.index.query.NestedQueryBuilder::doXContent(Lorg/elasticsearch/common/xcontent/XContentBuilder;Lorg/elasticsearch/common/xcontent/ToXContent$Params;)V	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.XContentBuilder::field(Ljava/lang/String;Ljava/lang/String;)Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.XContentBuilder::field(Ljava/lang/String;Ljava/lang/String;)Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	6	false	false	
org.springframework.data.elasticsearch.core.RequestFactory::prepareSearchRequest(Lorg/springframework/data/elasticsearch/core/query/Query;Ljava/lang/Class;Lorg/springframework/data/elasticsearch/core/mapping/IndexCoordinates;)Lorg/elasticsearch/action/search/SearchRequest;	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.search.builder.SearchSourceBuilder::timeout(Lorg/elasticsearch/common/unit/TimeValue;)Lorg/elasticsearch/search/builder/SearchSourceBuilder;	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.search.builder.SearchSourceBuilder::timeout(Lorg/elasticsearch/common/unit/TimeValue;)Lorg/elasticsearch/search/builder/SearchSourceBuilder;	org.elasticsearch:elasticsearch:7.12.1	1	false	false	
org.elasticsearch.action.admin.indices.alias.IndicesAliasesRequest$AliasActions::parser(Ljava/lang/String;Ljava/util/function/Supplier;)Lorg/elasticsearch/common/xcontent/ObjectParser;	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.ObjectParser::fromList(Ljava/lang/Class;Ljava/util/function/BiConsumer;)Ljava/util/function/BiConsumer;	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.ObjectParser::fromList(Ljava/lang/Class;Ljava/util/function/BiConsumer;)Ljava/util/function/BiConsumer;	org.elasticsearch.common.xcontent	6	false	false	
org.elasticsearch.index.query.BoolQueryBuilder::doXArrayContent(Lorg/elasticsearch/common/ParseField;Ljava/util/List;Lorg/elasticsearch/common/xcontent/XContentBuilder;Lorg/elasticsearch/common/xcontent/ToXContent$Params;)V	org.elasticsearch:elasticsearch:7.12.1	public	org.elasticsearch.common.xcontent.XContentBuilder::endArray()Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	org.elasticsearch.common.xcontent.XContentBuilder::endArray()Lorg/elasticsearch/common/xcontent/XContentBuilder;	org.elasticsearch.common.xcontent	50	false	false	
org.springframework.data.elasticsearch.core.ElasticsearchTemplate::doBulkOperation(Ljava/util/List;Lorg/springframework/data/elasticsearch/core/query/BulkOptions;Lorg/springframework/data/elasticsearch/core/mapping/IndexCoordinates;)Ljava/util/List;	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.action.bulk.BulkRequestBuilder::execute()Lorg/elasticsearch/action/ActionFuture;	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.action.bulk.BulkRequestBuilder::execute()Lorg/elasticsearch/action/ActionFuture;	org.elasticsearch:elasticsearch:7.12.1	6	false	false	
org.springframework.data.elasticsearch.core.RequestFactory::searchRequest(Lorg/springframework/data/elasticsearch/core/query/Query;Ljava/lang/Class;Lorg/springframework/data/elasticsearch/core/mapping/IndexCoordinates;)Lorg/elasticsearch/action/search/SearchRequest;	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.action.search.SearchRequest::source()Lorg/elasticsearch/search/builder/SearchSourceBuilder;	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.action.search.SearchRequest::source()Lorg/elasticsearch/search/builder/SearchSourceBuilder;	org.elasticsearch:elasticsearch:7.12.1	56	false	false	
org.springframework.data.elasticsearch.client.util.RequestConverters$Params::withIndicesOptions(Lorg/elasticsearch/action/support/IndicesOptions;)Lorg/springframework/data/elasticsearch/client/util/RequestConverters$Params;	org.springframework.data:spring-data-elasticsearch:4.2.5	public	org.elasticsearch.action.support.IndicesOptions::expandWildcardsClosed()Z	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.action.support.IndicesOptions::expandWildcardsClosed()Z	org.elasticsearch:elasticsearch:7.12.1	10	false	false	
